MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
UppL4_megahit_metabat_bin-264,0,0,0,0,0
UppL4_megahit_metabat_bin-777,0,0,0,0,0
UppL4_megahit_metabat_bin-492,0,0,0,0,0
UppL4_megahit_metabat_bin-386,0,0,0,0,0
UppL4_megahit_metabat_bin-798,0,0,0,0,0
UppL4_megahit_metabat_bin-636,0,0,0,0,0
UppL4_megahit_metabat_bin-622,0,0,0,0,0
UppL4_megahit_metabat_bin-156,0,0,0,0,0
UppL4_megahit_metabat_bin-432,4,1,1,2,0
UppL4_megahit_metabat_bin-830,0,0,0,0,0
UppL4_megahit_metabat_bin-187,0,0,0,0,0
UppL4_megahit_metabat_bin-105,0,0,0,0,0
UppL4_megahit_metabat_bin-403,1,0,1,0,0
UppL4_megahit_metabat_bin-107,0,0,0,0,0
UppL4_megahit_metabat_bin-281,0,0,0,0,0
UppL4_megahit_metabat_bin-449,0,0,0,0,0
UppL4_megahit_metabat_bin-521,1,0,1,0,0
UppL4_megahit_metabat_bin-471,0,0,0,0,0
UppL4_megahit_metabat_bin-747,0,0,0,0,0
UppL4_megahit_metabat_bin-097,0,0,0,0,0
UppL4_megahit_metabat_bin-921,0,0,0,0,0
UppL4_megahit_metabat_bin-339,4,1,1,1,1
UppL4_megahit_metabat_bin-081,4,0,4,0,0
