MAG,orf,FeGenie_HMM,Shaomei_Type
C-4_megahit_metabat_bin-054,Not found,Not found,Not found
C-4_megahit_metabat_bin-040,Not found,Not found,Not found
C-4_megahit_metabat_bin-035,Not found,Not found,Not found
C-4_megahit_metabat_bin-230,Not found,Not found,Not found
C-4_megahit_metabat_bin-114,bin-114:196/244_2,Cyc2_repCluster2,Not found
C-4_megahit_metabat_bin-103,Not found,Not found,Not found
C-4_megahit_metabat_bin-269,Not found,Not found,Not found
C-4_megahit_metabat_bin-130,bin-130:341/344_4,Cyc2_repCluster2,Not found
C-4_megahit_metabat_bin-130,bin-130:019/344_36,MtoA,Not found
C-4_megahit_metabat_bin-130,bin-130:019/344_37,MtrB_TIGR03509,Not found
C-4_megahit_metabat_bin-127,bin-127:76/85_330,Cyc1,Not found
C-4_megahit_metabat_bin-127,bin-127:76/85_331,Cyc2_repCluster2,Not found
C-4_megahit_metabat_bin-127,bin-127:77/85_54,Cyc2_repCluster2,Not found
C-4_megahit_metabat_bin-132,Not found,Not found,Not found
