MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC
E-2_megahit_metabat_bin-357,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-239,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-272,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-340,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-196,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-190,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-451,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-497,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-065,bin-065:059/158_31,Cyc2_repCluster2,Not_found,Not_found
E-2_megahit_metabat_bin-346,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-514,bin-514:0721/1096_3,Cyc2_repCluster2,Not_found,Not_found
E-2_megahit_metabat_bin-347,bin-347:105/236_1,Cyc1,Not_found,Not_found
E-2_megahit_metabat_bin-347,bin-347:105/236_2,Cyc2_repCluster2,Not_found,Not_found
E-2_megahit_metabat_bin-347,bin-347:173/236_4,Cyc1,Not_found,Not_found
E-2_megahit_metabat_bin-347,bin-347:173/236_5,Cyc2_repCluster2,Not_found,Not_found
E-2_megahit_metabat_bin-347,bin-347:028/236_1,EetA,Not_found,Not_found
E-2_megahit_metabat_bin-347,bin-347:028/236_2,EetB,Not_found,Not_found
E-2_megahit_metabat_bin-480,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-351,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-332,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-054,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-023,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-316,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-231,bin-231:109/484_1,MtoA,Not_found,Not_found
E-2_megahit_metabat_bin-231,bin-231:109/484_2,MtrB_TIGR03509,Not_found,Not_found
E-2_megahit_metabat_bin-311,bin-311:312/884_2,CbcB,Not_found,Not_found
E-2_megahit_metabat_bin-311,bin-311:453/884_2,CbcL,Not_found,Not_found
E-2_megahit_metabat_bin-311,bin-311:056/884_1,MtrC_TIGR03507,Outer_Surface_MHC,mtrC
E-2_megahit_metabat_bin-311,bin-311:064/884_1,DFE_0449,Not_found,Not_found
E-2_megahit_metabat_bin-311,bin-311:312/884_1,DFE_0461,Not_found,Not_found
E-2_megahit_metabat_bin-311,bin-311:348/884_4,MtrC_TIGR03507,Not_found,mtrC
E-2_megahit_metabat_bin-413,bin-413:052/525_4,Cyc2_repCluster2,Not_found,Not_found
E-2_megahit_metabat_bin-223,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-116,bin-116:123/146_15,MtoA,Not_found,Not_found
E-2_megahit_metabat_bin-116,bin-116:123/146_16,MtrB_TIGR03509,Not_found,Not_found
E-2_megahit_metabat_bin-116,bin-116:071/146_4,EetA,Not_found,Not_found
E-2_megahit_metabat_bin-116,bin-116:071/146_5,EetB,Not_found,Not_found
E-2_megahit_metabat_bin-338,Not_found,Not_found,Not_found,Not_found
E-2_megahit_metabat_bin-269,Not_found,Not_found,Not_found,Not_found
