MAG,orf,FeGenie_HMM,Shaomei_Type
KT2_megahit_metabat_bin-282,bin-282:341/819_2,Not_found,Outer_Surface_MHC
KT2_megahit_metabat_bin-580,Not_found,Not_found,Not_found
KT2_megahit_metabat_bin-606,Not_found,Not_found,Not_found
KT2_megahit_metabat_bin-402,bin-402:0886/2127_1,MtoA,Not_found
KT2_megahit_metabat_bin-402,bin-402:0886/2127_2,MtrB_TIGR03509,Not_found
KT2_megahit_metabat_bin-402,bin-402:1461/2127_2,CbcB,Not_found
KT2_megahit_metabat_bin-402,bin-402:0161/2127_1,MtrC_TIGR03507,Outer_Surface_MHC
KT2_megahit_metabat_bin-402,bin-402:0829/2127_1,DFE_0449,Not_found
KT2_megahit_metabat_bin-402,bin-402:1197/2127_3,MtrC_TIGR03507,Outer_Surface_MHC
KT2_megahit_metabat_bin-402,bin-402:1350/2127_2,MtrC_TIGR03507,Outer_Surface_MHC
KT2_megahit_metabat_bin-402,bin-402:1385/2127_3,MtrC_TIGR03507,Not_found
KT2_megahit_metabat_bin-402,bin-402:1461/2127_1,DFE_0461,Not_found
KT2_megahit_metabat_bin-402,bin-402:1532/2127_2,MtrC_TIGR03507,Outer_Surface_MHC
KT2_megahit_metabat_bin-402,bin-402:1603/2127_1,DFE_0449,Periplasmic_MHC_in_PCC
KT2_megahit_metabat_bin-402,bin-402:1614/2127_1,MtrC_TIGR03507,Outer_Surface_MHC
KT2_megahit_metabat_bin-402,bin-402:1721/2127_3,MtoA,Not_found
KT2_megahit_metabat_bin-402,bin-402:1197/2127_1,Not_found,Outer_Surface_MHC
KT2_megahit_metabat_bin-402,bin-402:1603/2127_2,Not_found,Outer_Surface_MHC
KT2_megahit_metabat_bin-659,Not_found,Not_found,Not_found
KT2_megahit_metabat_bin-722,Not_found,Not_found,Not_found
KT2_megahit_metabat_bin-278,bin-278:322/393_2,EetA,Not_found
KT2_megahit_metabat_bin-278,bin-278:322/393_3,EetB,Not_found
KT2_megahit_metabat_bin-741,bin-741:286/988_3,DFE_0465,Outer_Surface_MHC
KT2_megahit_metabat_bin-741,bin-741:322/988_1,MtrB_TIGR03509,Not_found
KT2_megahit_metabat_bin-741,bin-741:854/988_2,DFE_0462,Not_found
