MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
C5-5_megahit_metabat_bin-089,0,0,0,0,0
C5-5_megahit_metabat_bin-067,0,0,0,0,0
C5-5_megahit_metabat_bin-004,0,0,0,0,0
C5-5_megahit_metabat_bin-318,0,0,0,0,0
C5-5_megahit_metabat_bin-104,0,0,0,0,0
C5-5_megahit_metabat_bin-105,0,0,0,0,0
C5-5_megahit_metabat_bin-252,0,0,0,0,0
C5-5_megahit_metabat_bin-021,0,0,0,0,0
C5-5_megahit_metabat_bin-415,0,0,0,0,0
C5-5_megahit_metabat_bin-287,0,0,0,0,0
C5-5_megahit_metabat_bin-543,0,0,0,0,0
C5-5_megahit_metabat_bin-241,0,0,0,0,0
C5-5_megahit_metabat_bin-365,0,0,0,0,0
C5-5_megahit_metabat_bin-541,0,0,0,0,0
