MAG,orf,FeGenie_HMM,Shaomei_Type
G1_megahit_metabat_bin-0874,Not found,Not found,Not found
G1_megahit_metabat_bin-0036,bin-0036:3783/5396_1,Cyc2_repCluster2,Not found
G1_megahit_metabat_bin-0036,bin-0036:0945/5396_3,Cyc2_repCluster2,Not found
G1_megahit_metabat_bin-0927,bin-0927:066/304_27,Cyc2_repCluster2,Not found
G1_megahit_metabat_bin-0927,bin-0927:066/304_87,Cyc2_repCluster2,Not found
G1_megahit_metabat_bin-0042,bin-0042:2640/2811_1,Cyc2_repCluster2,Not found
G1_megahit_metabat_bin-0676,bin-0676:327/670_1,Cyc2_repCluster3,Not found
G1_megahit_metabat_bin-0676,bin-0676:259/670_10,Cyc2_repCluster3,Not found
G1_megahit_metabat_bin-0676,bin-0676:276/670_3,Cyc2_repCluster3,Not found
G1_megahit_metabat_bin-0676,bin-0676:589/670_1,Cyc2_repCluster3,Not found
G1_megahit_metabat_bin-0341,bin-0341:0503/1158_3,Cyc2_repCluster2,Not found
G1_megahit_metabat_bin-0341,bin-0341:0050/1158_3,MtoA,Not found
G1_megahit_metabat_bin-0341,bin-0341:0050/1158_4,MtrB_TIGR03509,Not found
G1_megahit_metabat_bin-0640,bin-0640:073/273_1,Cyc1,Not found
G1_megahit_metabat_bin-0640,bin-0640:073/273_2,Cyc2_repCluster2,Not found
G1_megahit_metabat_bin-0261,bin-0261:1005/2236_2,Cyc2_repCluster3,Not found
G1_megahit_metabat_bin-0261,bin-0261:1994/2236_2,ImcH,Not found
G1_megahit_metabat_bin-0261,bin-0261:0407/2236_1,MtoA,Not found
G1_megahit_metabat_bin-0261,bin-0261:1413/2236_3,DFE_0462,Not found
G1_megahit_metabat_bin-0261,bin-0261:1860/2236_3,DFE_0462,Outer Surface MHC
G1_megahit_metabat_bin-0191,Not found,Not found,Not found
