MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
MJ120730B_megahit_metabat_bin-622,8,2,2,3,1
MJ120730B_megahit_metabat_bin-353,0,0,0,0,0
MJ120730B_megahit_metabat_bin-331,0,0,0,0,0
MJ120730B_megahit_metabat_bin-766,0,0,0,0,0
MJ120730B_megahit_metabat_bin-655,0,0,0,0,0
MJ120730B_megahit_metabat_bin-004,0,0,0,0,0
MJ120730B_megahit_metabat_bin-263,0,0,0,0,0
MJ120730B_megahit_metabat_bin-350,11,2,5,3,1
MJ120730B_megahit_metabat_bin-771,0,0,0,0,0
MJ120730B_megahit_metabat_bin-437,0,0,0,0,0
MJ120730B_megahit_metabat_bin-130,2,0,2,0,0
MJ120730B_megahit_metabat_bin-356,3,0,2,0,1
MJ120730B_megahit_metabat_bin-321,0,0,0,0,0
MJ120730B_megahit_metabat_bin-061,0,0,0,0,0
MJ120730B_megahit_metabat_bin-259,0,0,0,0,0
MJ120730B_megahit_metabat_bin-760,0,0,0,0,0
MJ120730B_megahit_metabat_bin-678,0,0,0,0,0
MJ120730B_megahit_metabat_bin-491,0,0,0,0,0
MJ120730B_megahit_metabat_bin-308,5,0,4,0,1
MJ120730B_megahit_metabat_bin-258,0,0,0,0,0
MJ120730B_megahit_metabat_bin-183,0,0,0,0,0
MJ120730B_megahit_metabat_bin-647,6,0,4,0,2
MJ120730B_megahit_metabat_bin-311,0,0,0,0,0
MJ120730B_megahit_metabat_bin-520,5,1,3,1,0
MJ120730B_megahit_metabat_bin-237,3,0,3,0,0
MJ120730B_megahit_metabat_bin-100,4,1,2,1,0
MJ120730B_megahit_metabat_bin-096,0,0,0,0,0
MJ120730B_megahit_metabat_bin-404,0,0,0,0,0
MJ120730B_megahit_metabat_bin-459,0,0,0,0,0
MJ120730B_megahit_metabat_bin-719,0,0,0,0,0
MJ120730B_megahit_metabat_bin-676,7,1,3,3,0
MJ120730B_megahit_metabat_bin-473,4,1,1,1,1
MJ120730B_megahit_metabat_bin-174,0,0,0,0,0
MJ120730B_megahit_metabat_bin-460,0,0,0,0,0
MJ120730B_megahit_metabat_bin-167,0,0,0,0,0
MJ120730B_megahit_metabat_bin-721,0,0,0,0,0
MJ120730B_megahit_metabat_bin-348,0,0,0,0,0
MJ120730B_megahit_metabat_bin-547,0,0,0,0,0
MJ120730B_megahit_metabat_bin-594,8,1,4,1,2
MJ120730B_megahit_metabat_bin-734,0,0,0,0,0
MJ120730B_megahit_metabat_bin-035,0,0,0,0,0
MJ120730B_megahit_metabat_bin-113,0,0,0,0,0
MJ120730B_megahit_metabat_bin-582,0,0,0,0,0
MJ120730B_megahit_metabat_bin-449,3,0,2,0,1
MJ120730B_megahit_metabat_bin-518,4,0,4,0,0
