MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
B-4_megahit_metabat_bin-304,1,0,1,0,0
B-4_megahit_metabat_bin-116,0,0,0,0,0
B-4_megahit_metabat_bin-428,0,0,0,0,0
B-4_megahit_metabat_bin-639,0,0,0,0,0
B-4_megahit_metabat_bin-689,0,0,0,0,0
B-4_megahit_metabat_bin-224,0,0,0,0,0
B-4_megahit_metabat_bin-281,0,0,0,0,0
B-4_megahit_metabat_bin-329,0,0,0,0,0
B-4_megahit_metabat_bin-070,2,0,1,0,1
B-4_megahit_metabat_bin-480,0,0,0,0,0
B-4_megahit_metabat_bin-431,0,0,0,0,0
B-4_megahit_metabat_bin-350,0,0,0,0,0
B-4_megahit_metabat_bin-014,0,0,0,0,0
B-4_megahit_metabat_bin-512,0,0,0,0,0
B-4_megahit_metabat_bin-196,0,0,0,0,0
