MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
Ja1-D5_megahit_metabat_bin-059,0,0,0,0,0
Ja1-D5_megahit_metabat_bin-011,2,1,0,1,0
Ja1-D5_megahit_metabat_bin-344,0,0,0,0,0
Ja1-D5_megahit_metabat_bin-345,2,0,2,0,0
Ja1-D5_megahit_metabat_bin-038,0,0,0,0,0
Ja1-D5_megahit_metabat_bin-705,0,0,0,0,0
Ja1-D5_megahit_metabat_bin-456,0,0,0,0,0
Ja1-D5_megahit_metabat_bin-387,4,0,3,0,1
Ja1-D5_megahit_metabat_bin-266,0,0,0,0,0
Ja1-D5_megahit_metabat_bin-150,0,0,0,0,0
Ja1-D5_megahit_metabat_bin-717,0,0,0,0,0
Ja1-D5_megahit_metabat_bin-340,5,1,0,4,0
Ja1-D5_megahit_metabat_bin-016,2,0,2,0,0
Ja1-D5_megahit_metabat_bin-098,11,1,7,3,0
Ja1-D5_megahit_metabat_bin-809,10,1,6,3,0
Ja1-D5_megahit_metabat_bin-289,28,3,11,13,1
Ja1-D5_megahit_metabat_bin-131,1,0,1,0,0
Ja1-D5_megahit_metabat_bin-554,6,1,4,1,0
Ja1-D5_megahit_metabat_bin-116,0,0,0,0,0
Ja1-D5_megahit_metabat_bin-744,0,0,0,0,0
Ja1-D5_megahit_metabat_bin-080,0,0,0,0,0
Ja1-D5_megahit_metabat_bin-733,3,0,3,0,0
Ja1-D5_megahit_metabat_bin-676,9,0,8,0,1
Ja1-D5_megahit_metabat_bin-221,2,0,2,0,0
Ja1-D5_megahit_metabat_bin-675,10,0,8,0,2
Ja1-D5_megahit_metabat_bin-237,0,0,0,0,0
Ja1-D5_megahit_metabat_bin-795,0,0,0,0,0
Ja1-D5_megahit_metabat_bin-724,4,0,4,0,0
Ja1-D5_megahit_metabat_bin-779,0,0,0,0,0
Ja1-D5_megahit_metabat_bin-794,2,0,2,0,0
Ja1-D5_megahit_metabat_bin-407,17,1,12,1,3
Ja1-D5_megahit_metabat_bin-462,9,0,7,0,2
Ja1-D5_megahit_metabat_bin-278,6,0,5,0,1
Ja1-D5_megahit_metabat_bin-034,2,0,2,0,0
Ja1-D5_megahit_metabat_bin-658,12,0,9,0,3
Ja1-D5_megahit_metabat_bin-139,0,0,0,0,0
Ja1-D5_megahit_metabat_bin-545,3,0,3,0,0
Ja1-D5_megahit_metabat_bin-172,1,0,1,0,0
Ja1-D5_megahit_metabat_bin-578,4,0,3,0,1
Ja1-D5_megahit_metabat_bin-349,6,0,3,0,3
Ja1-D5_megahit_metabat_bin-547,3,0,3,0,0
Ja1-D5_megahit_metabat_bin-245,6,0,5,0,1
