
3300025487-bin_17,Ga0208105_1000098_31,Ga0208105_1000098_29
3300025487-bin_8,Ga0208105_1000096_15,Ga0208105_1000096_22
3300025487-bin_8,Ga0208105_1000096_18,Ga0208105_1000096_22
3300025838-bin_66,Ga0208872_1000783_7,Ga0208872_1000783_11
3300025838-bin_70,Ga0208872_1000285_9,Ga0208872_1000285_6
3300025838-bin_70,Ga0208872_1000285_9,Ga0208872_1000285_11
3300025648-bin_7,Ga0208507_1002478_3,Ga0208507_1002478_5
3300025838-bin_16,Ga0208872_1000731_2,Ga0208872_1000731_1
3300025838-bin_16,Ga0208872_1006286_3,Ga0208872_1006286_1
3300025648-bin_36,Ga0208507_1000069_10,Ga0208507_1000069_14
3300025648-bin_36,Ga0208507_1000069_11,Ga0208507_1000069_14
3300025420-bin_10,Ga0208111_1000046_13,Ga0208111_1000046_11
3300025420-bin_10,Ga0208111_1000046_13,Ga0208111_1000046_16
