MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
Umea3p2_megahit_metabat_bin-0586,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0081,4,0,3,0,1
Umea3p2_megahit_metabat_bin-1088,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0473,1,0,1,0,0
Umea3p2_megahit_metabat_bin-1120,3,0,1,0,2
Umea3p2_megahit_metabat_bin-0410,1,0,1,0,0
Umea3p2_megahit_metabat_bin-0364,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1071,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1274,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0614,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0936,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1229,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0220,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0858,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0592,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0306,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0732,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0537,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0338,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0268,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1351,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1059,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1141,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1108,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0367,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0406,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1073,1,0,1,0,0
Umea3p2_megahit_metabat_bin-1140,1,0,1,0,0
Umea3p2_megahit_metabat_bin-0372,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0189,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0545,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0281,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0279,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1265,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0814,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1321,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1271,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1342,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0020,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1337,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0816,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0348,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1196,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0530,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0665,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0282,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1118,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1183,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0383,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1177,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0712,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0739,1,0,1,0,0
Umea3p2_megahit_metabat_bin-1373,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0831,1,0,1,0,0
Umea3p2_megahit_metabat_bin-0141,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1293,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0137,1,0,1,0,0
Umea3p2_megahit_metabat_bin-0974,2,0,1,0,1
Umea3p2_megahit_metabat_bin-1030,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0819,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0949,4,0,3,0,1
Umea3p2_megahit_metabat_bin-1268,8,0,4,0,4
Umea3p2_megahit_metabat_bin-0483,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0229,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0426,2,0,1,0,1
Umea3p2_megahit_metabat_bin-0576,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0135,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0378,6,1,2,2,1
Umea3p2_megahit_metabat_bin-1242,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0938,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0210,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1092,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0570,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0182,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1245,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0239,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0700,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0566,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0334,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0074,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1069,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0153,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0504,1,0,1,0,0
Umea3p2_megahit_metabat_bin-1374,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0028,0,0,0,0,0
Umea3p2_megahit_metabat_bin-1279,0,0,0,0,0
Umea3p2_megahit_metabat_bin-0893,0,0,0,0,0
