MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
MJ120620A_megahit_metabat_bin-778,0,0,0,0,0
MJ120620A_megahit_metabat_bin-019,0,0,0,0,0
MJ120620A_megahit_metabat_bin-032,0,0,0,0,0
MJ120620A_megahit_metabat_bin-018,0,0,0,0,0
MJ120620A_megahit_metabat_bin-471,4,0,4,0,0
MJ120620A_megahit_metabat_bin-661,0,0,0,0,0
MJ120620A_megahit_metabat_bin-601,0,0,0,0,0
MJ120620A_megahit_metabat_bin-592,0,0,0,0,0
MJ120620A_megahit_metabat_bin-411,0,0,0,0,0
MJ120620A_megahit_metabat_bin-466,0,0,0,0,0
MJ120620A_megahit_metabat_bin-312,0,0,0,0,0
MJ120620A_megahit_metabat_bin-024,0,0,0,0,0
MJ120620A_megahit_metabat_bin-578,0,0,0,0,0
MJ120620A_megahit_metabat_bin-403,0,0,0,0,0
MJ120620A_megahit_metabat_bin-460,0,0,0,0,0
MJ120620A_megahit_metabat_bin-104,0,0,0,0,0
MJ120620A_megahit_metabat_bin-023,0,0,0,0,0
MJ120620A_megahit_metabat_bin-376,0,0,0,0,0
MJ120620A_megahit_metabat_bin-233,2,0,2,0,0
MJ120620A_megahit_metabat_bin-664,0,0,0,0,0
MJ120620A_megahit_metabat_bin-295,7,1,3,3,0
MJ120620A_megahit_metabat_bin-375,2,0,2,0,0
MJ120620A_megahit_metabat_bin-316,0,0,0,0,0
MJ120620A_megahit_metabat_bin-091,0,0,0,0,0
MJ120620A_megahit_metabat_bin-740,0,0,0,0,0
MJ120620A_megahit_metabat_bin-583,2,0,2,0,0
MJ120620A_megahit_metabat_bin-353,0,0,0,0,0
MJ120620A_megahit_metabat_bin-497,0,0,0,0,0
MJ120620A_megahit_metabat_bin-426,0,0,0,0,0
MJ120620A_megahit_metabat_bin-640,0,0,0,0,0
MJ120620A_megahit_metabat_bin-184,0,0,0,0,0
MJ120620A_megahit_metabat_bin-576,0,0,0,0,0
MJ120620A_megahit_metabat_bin-379,8,0,4,0,4
MJ120620A_megahit_metabat_bin-635,0,0,0,0,0
MJ120620A_megahit_metabat_bin-480,2,1,0,1,0
MJ120620A_megahit_metabat_bin-517,0,0,0,0,0
MJ120620A_megahit_metabat_bin-010,6,0,4,0,2
MJ120620A_megahit_metabat_bin-529,0,0,0,0,0
MJ120620A_megahit_metabat_bin-125,0,0,0,0,0
MJ120620A_megahit_metabat_bin-180,0,0,0,0,0
MJ120620A_megahit_metabat_bin-098,3,0,2,0,1
MJ120620A_megahit_metabat_bin-212,13,2,6,3,2
MJ120620A_megahit_metabat_bin-798,5,0,4,0,1
MJ120620A_megahit_metabat_bin-077,0,0,0,0,0
MJ120620A_megahit_metabat_bin-652,0,0,0,0,0
MJ120620A_megahit_metabat_bin-799,7,1,2,2,2
MJ120620A_megahit_metabat_bin-442,0,0,0,0,0
MJ120620A_megahit_metabat_bin-340,0,0,0,0,0
