MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC
A2_megahit_metabat_bin-0938,Not_found,Not_found,Not_found,Not_found
A2_megahit_metabat_bin-0076,bin-0076:148/672_3,CymA,Not_found,Not_found
A2_megahit_metabat_bin-0076,bin-0076:148/672_4,MtrB_TIGR03509,Not_found,Not_found
A2_megahit_metabat_bin-0076,bin-0076:148/672_5,MtoA,Not_found,Not_found
A2_megahit_metabat_bin-0076,bin-0076:534/672_4,Cyc1,Not_found,Not_found
A2_megahit_metabat_bin-0076,bin-0076:534/672_5,Cyc2_repCluster2,Not_found,Not_found
A2_megahit_metabat_bin-0571,bin-0571:312/361_1,Cyc2_repCluster2,Not_found,Not_found
A2_megahit_metabat_bin-0571,bin-0571:279/361_1,Cyc2_repCluster2,Not_found,Not_found
A2_megahit_metabat_bin-0571,bin-0571:279/361_2,Cyc1,Not_found,Not_found
A2_megahit_metabat_bin-0571,bin-0571:246/361_2,MtrB_TIGR03509,Not_found,mtrB
A2_megahit_metabat_bin-0571,bin-0571:246/361_3,MtoA,Not_found,Not_found
A2_megahit_metabat_bin-0571,bin-0571:246/361_4,CbcL,Not_found,Not_found
A2_megahit_metabat_bin-0571,bin-0571:122/361_2,CbcB,Not_found,Not_found
A2_megahit_metabat_bin-0571,bin-0571:107/361_2,CbcB,Not_found,Not_found
A2_megahit_metabat_bin-0571,bin-0571:008/361_2,DFE_0461,Outer_Surface_MHC,Not_found
A2_megahit_metabat_bin-0571,bin-0571:096/361_10,MtrB_TIGR03509,Not_found,mtrB
A2_megahit_metabat_bin-0571,bin-0571:096/361_11,MtoA,Periplasmic_MHC_in_PCC,Not_found
A2_megahit_metabat_bin-0571,bin-0571:096/361_12,MtrC_TIGR03507,Outer_Surface_MHC,mtrC
A2_megahit_metabat_bin-0571,bin-0571:096/361_9,MtrC_TIGR03507,Outer_Surface_MHC,mtrC
A2_megahit_metabat_bin-0571,bin-0571:107/361_1,DFE_0448,Not_found,Not_found
A2_megahit_metabat_bin-0571,bin-0571:122/361_1,DFE_0461,Not_found,Not_found
A2_megahit_metabat_bin-0571,bin-0571:129/361_1,DFE_0462,Outer_Surface_MHC_in_PCC,Not_found
A2_megahit_metabat_bin-0571,bin-0571:129/361_7,DFE_0449,Outer_Surface_MHC_in_PCC,Not_found
A2_megahit_metabat_bin-0571,bin-0571:213/361_19,DFE_0449,Periplasmic_MHC_in_PCC,Not_found
A2_megahit_metabat_bin-0571,bin-0571:213/361_20,DFE_0461,Outer_Surface_MHC,mtrC
A2_megahit_metabat_bin-0571,bin-0571:326/361_1,DFE_0462,Outer_Surface_MHC_in_PCC,Not_found
A2_megahit_metabat_bin-0571,bin-0571:129/361_2,Not_found,PCC_porin,Not_found
A2_megahit_metabat_bin-0571,bin-0571:326/361_2,Not_found,PCC_porin,Not_found
A2_megahit_metabat_bin-0571,bin-0571:096/361_3,Not_found,Periplasmic_MHC_in_PCC,Not_found
A2_megahit_metabat_bin-0799,Not_found,Not_found,Not_found,Not_found
A2_megahit_metabat_bin-0694,Not_found,Not_found,Not_found,Not_found
A2_megahit_metabat_bin-0775,bin-0775:004/374_5,EetB,Not_found,Not_found
A2_megahit_metabat_bin-0775,bin-0775:070/374_3,EetB,Not_found,Not_found
A2_megahit_metabat_bin-0775,bin-0775:070/374_4,EetA,Not_found,Not_found
A2_megahit_metabat_bin-0775,bin-0775:194/374_3,MtoA,Not_found,Not_found
A2_megahit_metabat_bin-0204,Not_found,Not_found,Not_found,Not_found
A2_megahit_metabat_bin-0989,bin-0989:163/691_2,Cyc2_repCluster2,Not_found,Not_found
A2_megahit_metabat_bin-0989,bin-0989:654/691_1,MtoA,Not_found,Not_found
A2_megahit_metabat_bin-0989,bin-0989:654/691_2,MtrB_TIGR03509,Not_found,Not_found
A2_megahit_metabat_bin-0566,bin-0566:031/302_3,MtoA,Not_found,Not_found
A2_megahit_metabat_bin-0566,bin-0566:031/302_4,MtrB_TIGR03509,Not_found,Not_found
A2_megahit_metabat_bin-0566,bin-0566:031/302_5,CymA,Not_found,Not_found
A2_megahit_metabat_bin-0566,bin-0566:161/302_3,Cyc2_repCluster2,Not_found,Not_found
A2_megahit_metabat_bin-0566,bin-0566:161/302_4,Cyc1,Not_found,Not_found
A2_megahit_metabat_bin-0892,bin-0892:137/928_2,Cyc1,Not_found,Not_found
A2_megahit_metabat_bin-0892,bin-0892:137/928_3,Cyc2_repCluster2,Not_found,Not_found
A2_megahit_metabat_bin-0146,bin-0146:085/320_20,Cyc2_repCluster3,Not_found,Not_found
A2_megahit_metabat_bin-0146,bin-0146:005/320_2,CbcL,Not_found,Not_found
A2_megahit_metabat_bin-0146,bin-0146:175/320_7,643596352_YP_002493935_{pc}_hypothetical_protein_[Anaeromyxobacter_dehalogenans_2CP-1:_NC_011891],Outer_Surface_MHC_in_PCC,Not_found
A2_megahit_metabat_bin-0146,bin-0146:175/320_8,643596351_YP_002493934_{porin}_hypothetical_protein_[Anaeromyxobacter_dehalogenans_2CP-1:_NC_011891],PCC_porin,Not_found
A2_megahit_metabat_bin-0146,bin-0146:175/320_9,2514223670_filler_{omc}_Geobacter_sulfurreducens_CxxxxCH...CXXCH_domain-containing_protein_[Ignavibacterium_album_Mat9-16;_JCM_16511_:_NC_017464],Outer_Surface_MHC_in_PCC,Not_found
A2_megahit_metabat_bin-0146,bin-0146:005/320_4,DFE_0448,Not_found,Not_found
A2_megahit_metabat_bin-0146,bin-0146:137/320_36,MtrC_TIGR03507,Outer_Surface_MHC,mtrC
A2_megahit_metabat_bin-0146,bin-0146:254/320_19,DFE_0461,Not_found,nrfH
A2_megahit_metabat_bin-0146,bin-0146:053/320_1,Not_found,Outer_Surface_MHC,Not_found
A2_megahit_metabat_bin-0146,bin-0146:130/320_8,Not_found,Outer_Surface_MHC,Not_found
A2_megahit_metabat_bin-0146,bin-0146:209/320_5,Not_found,Outer_Surface_MHC,Not_found
A2_megahit_metabat_bin-0146,bin-0146:223/320_1,Not_found,Outer_Surface_MHC,Not_found
A2_megahit_metabat_bin-1019,Not_found,Not_found,Not_found,Not_found
A2_megahit_metabat_bin-0123,bin-0123:292/492_11,Cyc2_repCluster1,Not_found,Not_found
A2_megahit_metabat_bin-0123,bin-0123:035/492_14,EetA,Not_found,Not_found
A2_megahit_metabat_bin-0123,bin-0123:035/492_15,EetB,Not_found,Not_found
A2_megahit_metabat_bin-0123,bin-0123:049/492_4,DFE_0448,Not_found,Not_found
A2_megahit_metabat_bin-0123,bin-0123:284/492_9,DFE_0461,Outer_Surface_MHC,Not_found
A2_megahit_metabat_bin-0123,bin-0123:287/492_8,DFE_0449,Periplasmic_MHC_in_PCC,Not_found
A2_megahit_metabat_bin-0123,bin-0123:287/492_9,DFE_0462,Outer_Surface_MHC,Not_found
A2_megahit_metabat_bin-0123,bin-0123:347/492_2,MtoA,Not_found,Not_found
A2_megahit_metabat_bin-0123,bin-0123:347/492_3,,Not_found,Not_found
A2_megahit_metabat_bin-0123,bin-0123:460/492_1,Not_found,Outer_Surface_MHC,mtrC
A2_megahit_metabat_bin-0517,bin-0517:05/39_49,ExtC_pcc_lp_cyt,Outer_Surface_MHC_in_PCC,Not_found
A2_megahit_metabat_bin-0517,bin-0517:05/39_50,ExtB_porin,PCC_porin,Not_found
A2_megahit_metabat_bin-0517,bin-0517:39/39_94,CbcL,Not_found,Not_found
A2_megahit_metabat_bin-0517,bin-0517:39/39_95,CbcL,Not_found,Not_found
A2_megahit_metabat_bin-0517,bin-0517:09/39_55,ImcH,Not_found,Not_found
A2_megahit_metabat_bin-0517,bin-0517:05/39_48,637127415_NP_953769_{omc}_cytochrome_c_family_protein_[Geobacter_sulfurreducens_PCA:_NC_002939],Outer_Surface_MHC_in_PCC,Not_found
A2_megahit_metabat_bin-0517,bin-0517:05/39_51,Not_found,Outer_Surface_MHC_in_PCC,mtrC
A2_megahit_metabat_bin-0517,bin-0517:20/39_120,Not_found,Outer_Surface_MHC,Not_found
A2_megahit_metabat_bin-0517,bin-0517:33/39_40,Not_found,Outer_Surface_MHC,Not_found
A2_megahit_metabat_bin-0517,bin-0517:38/39_77,Not_found,Outer_Surface_MHC,Not_found
A2_megahit_metabat_bin-0669,bin-0669:063/206_2,Cyc2_repCluster2,Not_found,Not_found
A2_megahit_metabat_bin-0669,bin-0669:063/206_3,Cyc1,Not_found,Not_found
A2_megahit_metabat_bin-0669,bin-0669:104/206_2,EetB,Not_found,Not_found
A2_megahit_metabat_bin-0669,bin-0669:104/206_3,EetA,Not_found,Not_found
A2_megahit_metabat_bin-0831,Not_found,Not_found,Not_found,Not_found
A2_megahit_metabat_bin-0575,Not_found,Not_found,Not_found,Not_found
A2_megahit_metabat_bin-0881,Not_found,Not_found,Not_found,Not_found
A2_megahit_metabat_bin-0656,Not_found,Not_found,Not_found,Not_found
A2_megahit_metabat_bin-0192,bin-0192:613/813_1,CbcL,Not_found,Not_found
A2_megahit_metabat_bin-0192,bin-0192:613/813_2,CbcL,Not_found,Not_found
A2_megahit_metabat_bin-0192,bin-0192:392/813_6,Not_found,Outer_Surface_MHC,Not_found
A2_megahit_metabat_bin-0109,Not_found,Not_found,Not_found,Not_found
A2_megahit_metabat_bin-0635,bin-0635:024/492_2,DFE_0461,Not_found,Not_found
A2_megahit_metabat_bin-0917,bin-0917:0558/2097_4,CbcL,Not_found,Not_found
A2_megahit_metabat_bin-0917,bin-0917:0442/2097_3,DFE_0461,Outer_Surface_MHC,Not_found
A2_megahit_metabat_bin-1030,bin-1030:002/439_1,Cyc2_repCluster1,Not_found,Not_found
A2_megahit_metabat_bin-1030,bin-1030:104/439_1,Cyc2_repCluster1,Not_found,Not_found
A2_megahit_metabat_bin-1030,bin-1030:207/439_23,MtoA,Not_found,Not_found
A2_megahit_metabat_bin-1030,bin-1030:207/439_24,MtrB_TIGR03509,Not_found,mtrB
A2_megahit_metabat_bin-1030,bin-1030:061/439_5,DFE_0461,Outer_Surface_MHC,Not_found
A2_megahit_metabat_bin-1030,bin-1030:061/439_6,DFE_0448,Periplasmic_MHC_in_PCC,Not_found
A2_megahit_metabat_bin-1030,bin-1030:093/439_8,DFE_0461,Outer_Surface_MHC,Not_found
A2_megahit_metabat_bin-1030,bin-1030:214/439_4,MtoA,Not_found,Not_found
A2_megahit_metabat_bin-1030,bin-1030:355/439_11,EetA,Not_found,Not_found
A2_megahit_metabat_bin-1030,bin-1030:355/439_12,EetB,Not_found,Not_found
A2_megahit_metabat_bin-0623,Not_found,Not_found,Not_found,Not_found
A2_megahit_metabat_bin-0915,bin-0915:099/147_8,CbcB,Not_found,Not_found
A2_megahit_metabat_bin-0915,bin-0915:101/147_33,CbcL,Outer_Surface_MHC_in_PCC,mtrC
A2_megahit_metabat_bin-0915,bin-0915:088/147_21,CbcL,Not_found,Not_found
