MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
F1_megahit_metabat_bin-111,0,0,0,0,0
F1_megahit_metabat_bin-314,0,0,0,0,0
F1_megahit_metabat_bin-613,0,0,0,0,0
F1_megahit_metabat_bin-293,0,0,0,0,0
F1_megahit_metabat_bin-237,0,0,0,0,0
F1_megahit_metabat_bin-371,0,0,0,0,0
F1_megahit_metabat_bin-508,0,0,0,0,0
F1_megahit_metabat_bin-031,0,0,0,0,0
F1_megahit_metabat_bin-313,0,0,0,0,0
F1_megahit_metabat_bin-195,0,0,0,0,0
F1_megahit_metabat_bin-016,0,0,0,0,0
F1_megahit_metabat_bin-421,0,0,0,0,0
F1_megahit_metabat_bin-266,0,0,0,0,0
F1_megahit_metabat_bin-259,0,0,0,0,0
F1_megahit_metabat_bin-089,0,0,0,0,0
F1_megahit_metabat_bin-424,0,0,0,0,0
F1_megahit_metabat_bin-263,0,0,0,0,0
F1_megahit_metabat_bin-635,0,0,0,0,0
