MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC,Within80
Erken-D9_megahit_metabat_bin-0142,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0191,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0433,bin-0433:431/778_1,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0433,bin-0433:691/778_2,MtoA,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0608,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0007,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0299,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0496,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0157,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0622,bin-0622:094/220_8,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
Erken-D9_megahit_metabat_bin-0444,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0896,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0088,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0275,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0216,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0759,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0156,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0501,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0657,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0880,bin-0880:259/758_1,EetB,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0880,bin-0880:259/758_2,EetA,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0878,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0066,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0895,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0517,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0067,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0154,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0656,bin-0656:175/614_1,DFE_0462,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0656,bin-0656:476/614_4,DFE_0465,Outer_Surface_MHC_in_PCC,Not_found,DFE_0465&Outer_Surface_MHC&Outer_Surface_MHC_in_PCC&,
Erken-D9_megahit_metabat_bin-0656,bin-0656:476/614_2,Not_found,PCC_porin,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0656,bin-0656:012/614_1,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&Outer_Surface_MHC_in_PCC&,
Erken-D9_megahit_metabat_bin-0446,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0187,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0831,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0122,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0478,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0029,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0002,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0966,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0213,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0075,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0343,Not_found,Not_found,Not_found,Not_found,Irrelevant
Erken-D9_megahit_metabat_bin-0098,bin-0098:0460/1521_2,sulfocyanin,Not_found,Not_found,Irrelevant
