MAG,orf,FeGenie_HMM,Shaomei_Type
MJ110712B_megahit_metabat_bin-061,bin-061:429/455_1,CymA,Not_found
MJ110712B_megahit_metabat_bin-061,bin-061:429/455_2,MtrB_TIGR03509,Not_found
MJ110712B_megahit_metabat_bin-061,bin-061:429/455_3,MtoA,Not_found
MJ110712B_megahit_metabat_bin-014,Not_found,Not_found,Not_found
MJ110712B_megahit_metabat_bin-355,bin-355:192/662_2,MtrB_TIGR03509,Not_found
MJ110712B_megahit_metabat_bin-355,bin-355:192/662_3,MtoA,Not_found
MJ110712B_megahit_metabat_bin-355,bin-355:230/662_1,Cyc2_repCluster2,Not_found
MJ110712B_megahit_metabat_bin-355,bin-355:409/662_1,Cyc2_repCluster2,Not_found
MJ110712B_megahit_metabat_bin-126,bin-126:318/517_1,MtrB_TIGR03509,Not_found
MJ110712B_megahit_metabat_bin-126,bin-126:318/517_2,MtoA,Not_found
MJ110712B_megahit_metabat_bin-126,bin-126:318/517_3,CbcL,Not_found
MJ110712B_megahit_metabat_bin-126,bin-126:240/517_3,CbcB,Not_found
MJ110712B_megahit_metabat_bin-126,bin-126:422/517_3,Cyc2_repCluster2,Not_found
MJ110712B_megahit_metabat_bin-126,bin-126:422/517_4,Cyc2_repCluster2,Not_found
MJ110712B_megahit_metabat_bin-126,bin-126:214/517_4,DFE_0462,Not_found
MJ110712B_megahit_metabat_bin-340,bin-340:381/534_3,Cyc2_repCluster3,Not_found
MJ110712B_megahit_metabat_bin-340,bin-340:480/534_1,Cyc2_repCluster3,Not_found
MJ110712B_megahit_metabat_bin-340,bin-340:476/534_2,Cyc2_repCluster3,Not_found
MJ110712B_megahit_metabat_bin-340,bin-340:133/534_1,Cyc2_repCluster1,Not_found
MJ110712B_megahit_metabat_bin-340,bin-340:412/534_3,DFE_0461,Not_found
MJ110712B_megahit_metabat_bin-379,bin-379:109/885_1,DFE_0462,Not_found
MJ110712B_megahit_metabat_bin-379,bin-379:258/885_3,DFE_0449,Not_found
MJ110712B_megahit_metabat_bin-379,bin-379:673/885_2,DFE_0462,Outer_Surface_MHC_in_PCC
MJ110712B_megahit_metabat_bin-379,bin-379:673/885_1,Not_found,PCC_porin
MJ110712B_megahit_metabat_bin-134,bin-134:199/293_46,Cyc1,Not_found
MJ110712B_megahit_metabat_bin-134,bin-134:199/293_47,Cyc2_repCluster2,Not_found
MJ110712B_megahit_metabat_bin-134,bin-134:114/293_6,CbcB,Not_found
MJ110712B_megahit_metabat_bin-134,bin-134:037/293_1,MtoA,Periplasmic_MHC_in_PCC
MJ110712B_megahit_metabat_bin-134,bin-134:037/293_2,MtrB_TIGR03509,Not_found
MJ110712B_megahit_metabat_bin-134,bin-134:037/293_4,MtrC_TIGR03507,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-134,bin-134:037/293_5,MtrC_TIGR03507,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-134,bin-134:080/293_10,MtrB_TIGR03509,Not_found
MJ110712B_megahit_metabat_bin-134,bin-134:080/293_8,MtrC_TIGR03507,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-134,bin-134:080/293_9,MtoA,Periplasmic_MHC_in_PCC
MJ110712B_megahit_metabat_bin-134,bin-134:101/293_1,DFE_0462,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-134,bin-134:114/293_7,DFE_0462,Not_found
MJ110712B_megahit_metabat_bin-134,bin-134:132/293_1,DFE_0448,Outer_Surface_MHC_in_PCC
MJ110712B_megahit_metabat_bin-134,bin-134:245/293_5,DFE_0462,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-134,bin-134:254/293_1,MtrC_TIGR03507,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-134,bin-134:132/293_2,Not_found,PCC_porin
MJ110712B_megahit_metabat_bin-134,bin-134:101/293_2,Not_found,Periplasmic_MHC_in_PCC
MJ110712B_megahit_metabat_bin-154,Not_found,Not_found,Not_found
MJ110712B_megahit_metabat_bin-516,bin-516:247/391_36,ImcH,Not_found
MJ110712B_megahit_metabat_bin-516,bin-516:046/391_13,ExtA_pcc_cyt,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-516,bin-516:222/391_3,Cyc2_repCluster2,Not_found
MJ110712B_megahit_metabat_bin-516,bin-516:046/391_12,DFE_0462,Periplasmic_MHC_in_PCC
MJ110712B_megahit_metabat_bin-516,bin-516:216/391_3,DFE_0449,Not_found
MJ110712B_megahit_metabat_bin-516,bin-516:048/391_30,Not_found,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-516,bin-516:352/391_3,Not_found,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-072,bin-072:06/59_52,ExtC_pcc_lp_cyt,Outer_Surface_MHC_in_PCC
MJ110712B_megahit_metabat_bin-072,bin-072:06/59_53,ExtB_porin,PCC_porin
MJ110712B_megahit_metabat_bin-072,bin-072:38/59_145,ImcH,Not_found
MJ110712B_megahit_metabat_bin-072,bin-072:46/59_19,CbcL,Not_found
MJ110712B_megahit_metabat_bin-072,bin-072:46/59_20,CbcL,Not_found
MJ110712B_megahit_metabat_bin-072,bin-072:06/59_51,637127415_NP_953769_{omc}_cytochrome_c_family_protein_[Geobacter_sulfurreducens_PCA:_NC_002939],Outer_Surface_MHC_in_PCC
MJ110712B_megahit_metabat_bin-072,bin-072:06/59_54,Not_found,Outer_Surface_MHC_in_PCC
MJ110712B_megahit_metabat_bin-072,bin-072:12/59_40,Not_found,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-072,bin-072:29/59_14,Not_found,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-072,bin-072:44/59_5,Not_found,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-092,bin-092:16/24_202,OmcS,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-092,bin-092:22/24_77,OmcF,Not_found
MJ110712B_megahit_metabat_bin-092,bin-092:15/24_23,OmcS,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-092,bin-092:15/24_178,DFE_0462,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-092,bin-092:15/24_182,DFE_0463,Not_found
MJ110712B_megahit_metabat_bin-092,bin-092:15/24_183,DFE_0462,Periplasmic_MHC_in_PCC
MJ110712B_megahit_metabat_bin-092,bin-092:15/24_184,DFE_0461,Periplasmic_MHC_in_PCC
MJ110712B_megahit_metabat_bin-092,bin-092:15/24_190,OmcS,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-092,bin-092:12/24_2,CbcB,Not_found
MJ110712B_megahit_metabat_bin-092,bin-092:15/24_39,MtrA,Not_found
MJ110712B_megahit_metabat_bin-092,bin-092:21/24_231,MtoA,Not_found
MJ110712B_megahit_metabat_bin-315,bin-315:213/336_1,Cyc2_repCluster2,Not_found
MJ110712B_megahit_metabat_bin-315,bin-315:289/336_1,Cyc2_repCluster2,Not_found
MJ110712B_megahit_metabat_bin-315,bin-315:289/336_2,Cyc1,Not_found
MJ110712B_megahit_metabat_bin-315,bin-315:114/336_2,EetB,Not_found
MJ110712B_megahit_metabat_bin-315,bin-315:114/336_3,EetA,Not_found
MJ110712B_megahit_metabat_bin-417,Not_found,Not_found,Not_found
MJ110712B_megahit_metabat_bin-296,bin-296:166/233_4,Cyc2_repCluster1,Not_found
MJ110712B_megahit_metabat_bin-296,bin-296:174/233_28,EetB,Not_found
MJ110712B_megahit_metabat_bin-296,bin-296:174/233_29,EetA,Not_found
MJ110712B_megahit_metabat_bin-035,bin-035:112/647_1,MtrB_TIGR03509,Not_found
MJ110712B_megahit_metabat_bin-035,bin-035:112/647_2,MtrA,Not_found
MJ110712B_megahit_metabat_bin-035,bin-035:363/647_1,Cyc2_repCluster2,Not_found
MJ110712B_megahit_metabat_bin-035,bin-035:069/647_1,MtrC_TIGR03507,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-106,Not_found,Not_found,Not_found
MJ110712B_megahit_metabat_bin-295,bin-295:265/493_2,MtrB_TIGR03509,Not_found
MJ110712B_megahit_metabat_bin-295,bin-295:265/493_3,MtoA,Not_found
MJ110712B_megahit_metabat_bin-107,Not_found,Not_found,Not_found
MJ110712B_megahit_metabat_bin-231,bin-231:045/114_12,MtoA,Not_found
MJ110712B_megahit_metabat_bin-231,bin-231:045/114_13,MtrB_TIGR03509,Not_found
MJ110712B_megahit_metabat_bin-231,bin-231:045/114_14,CymA,Not_found
MJ110712B_megahit_metabat_bin-374,bin-374:206/468_4,Cyc2_repCluster2,Not_found
MJ110712B_megahit_metabat_bin-374,bin-374:112/468_1,Not_found,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-374,bin-374:420/468_4,Not_found,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-281,bin-281:557/802_5,Cyc2_repCluster2,Not_found
MJ110712B_megahit_metabat_bin-281,bin-281:735/802_2,CbcB,Not_found
MJ110712B_megahit_metabat_bin-281,bin-281:514/802_2,MtrC_TIGR03507,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-281,bin-281:574/802_1,MtrC_TIGR03507,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-281,bin-281:112/802_1,Not_found,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-281,bin-281:387/802_2,Not_found,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-019,Not_found,Not_found,Not_found
MJ110712B_megahit_metabat_bin-051,Not_found,Not_found,Not_found
MJ110712B_megahit_metabat_bin-542,Not_found,Not_found,Not_found
MJ110712B_megahit_metabat_bin-537,bin-537:473/656_3,ImcH,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-537,bin-537:292/656_4,CbcL,Not_found
MJ110712B_megahit_metabat_bin-537,bin-537:588/656_2,DFE_0449,Periplasmic_MHC_in_PCC
MJ110712B_megahit_metabat_bin-537,bin-537:588/656_3,DFE_0449,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-537,bin-537:047/656_2,Not_found,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-537,bin-537:590/656_4,Not_found,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-405,bin-405:031/236_3,Cyc2_repCluster3,Not_found
MJ110712B_megahit_metabat_bin-405,bin-405:116/236_26,Cyc2_repCluster3,Not_found
MJ110712B_megahit_metabat_bin-405,bin-405:037/236_8,Cyc2_repCluster3,Not_found
MJ110712B_megahit_metabat_bin-405,bin-405:054/236_2,DFE_0461,Not_found
MJ110712B_megahit_metabat_bin-102,bin-102:060/532_13,ImcH,Not_found
MJ110712B_megahit_metabat_bin-102,bin-102:150/532_3,DFE_0448,Not_found
MJ110712B_megahit_metabat_bin-102,bin-102:451/532_5,DFE_0449,Periplasmic_MHC_in_PCC
MJ110712B_megahit_metabat_bin-102,bin-102:451/532_6,DFE_0449,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-102,bin-102:451/532_7,Not_found,Outer_Surface_MHC
MJ110712B_megahit_metabat_bin-242,Not_found,Not_found,Not_found
MJ110712B_megahit_metabat_bin-081,bin-081:178/250_1,Cyc2_repCluster3,Not_found
MJ110712B_megahit_metabat_bin-081,bin-081:221/250_1,Cyc2_repCluster3,Not_found
MJ110712B_megahit_metabat_bin-081,bin-081:157/250_11,DFE_0461,Not_found
