MAG,orf,FeGenie_HMM,Shaomei_Type
A-1_megahit_metabat_bin-073,Not found,Not found,Not found
A-1_megahit_metabat_bin-248,Not found,Not found,Not found
A-1_megahit_metabat_bin-193,bin-193:025/119_31,Cyc2_repCluster2,Not found
A-1_megahit_metabat_bin-193,bin-193:025/119_32,Cyc1,Not found
A-1_megahit_metabat_bin-502,Not found,Not found,Not found
A-1_megahit_metabat_bin-350,Not found,Not found,Not found
A-1_megahit_metabat_bin-249,bin-249:151/158_3,Cyc2_repCluster2,Not found
A-1_megahit_metabat_bin-141,Not found,Not found,Not found
A-1_megahit_metabat_bin-004,bin-004:06/64_1,CbcL,Not found
A-1_megahit_metabat_bin-004,bin-004:06/64_2,DFE_0449,Not found
A-1_megahit_metabat_bin-332,Not found,Not found,Not found
A-1_megahit_metabat_bin-598,Not found,Not found,Not found
A-1_megahit_metabat_bin-430,Not found,Not found,Not found
A-1_megahit_metabat_bin-433,bin-433:148/161_4,Cyc2_repCluster2,Not found
A-1_megahit_metabat_bin-433,bin-433:019/161_4,EetA,Not found
A-1_megahit_metabat_bin-433,bin-433:019/161_5,EetB,Not found
A-1_megahit_metabat_bin-331,Not found,Not found,Not found
A-1_megahit_metabat_bin-012,Not found,Not found,Not found
A-1_megahit_metabat_bin-071,Not found,Not found,Not found
A-1_megahit_metabat_bin-006,Not found,Not found,Not found
A-1_megahit_metabat_bin-501,Not found,Not found,Not found
A-1_megahit_metabat_bin-378,bin-378:023/360_32,Cyc1,Not found
A-1_megahit_metabat_bin-378,bin-378:023/360_33,Cyc2_repCluster2,Not found
A-1_megahit_metabat_bin-549,bin-549:12/16_4,DFE_0461,Outer Surface MHC in PCC
A-1_megahit_metabat_bin-549,bin-549:12/16_5,DFE_0449,Outer Surface MHC in PCC
A-1_megahit_metabat_bin-549,bin-549:12/16_2,Not found,PCC porin
A-1_megahit_metabat_bin-210,bin-210:014/356_2,MtoA,Not found
A-1_megahit_metabat_bin-126,bin-126:109/515_8,Cyc2_repCluster2,Not found
A-1_megahit_metabat_bin-340,Not found,Not found,Not found
A-1_megahit_metabat_bin-063,Not found,Not found,Not found
A-1_megahit_metabat_bin-588,bin-588:021/552_1,Cyc2_repCluster2,Not found
A-1_megahit_metabat_bin-588,bin-588:312/552_5,Cyc2_repCluster2,Not found
A-1_megahit_metabat_bin-014,Not found,Not found,Not found
A-1_megahit_metabat_bin-456,bin-456:490/684_1,MtoA,Not found
A-1_megahit_metabat_bin-456,bin-456:490/684_2,MtrB_TIGR03509,Not found
A-1_megahit_metabat_bin-456,bin-456:660/684_1,Cyc2_repCluster2,Not found
A-1_megahit_metabat_bin-505,Not found,Not found,Not found
A-1_megahit_metabat_bin-436,Not found,Not found,Not found
A-1_megahit_metabat_bin-264,Not found,Not found,Not found
A-1_megahit_metabat_bin-099,Not found,Not found,Not found
A-1_megahit_metabat_bin-003,Not found,Not found,Not found
A-1_megahit_metabat_bin-559,Not found,Not found,Not found
A-1_megahit_metabat_bin-153,Not found,Not found,Not found
A-1_megahit_metabat_bin-492,bin-492:602/618_2,Cyc2_repCluster2,Not found
A-1_megahit_metabat_bin-422,Not found,Not found,Not found
A-1_megahit_metabat_bin-385,bin-385:171/484_1,Cyc2_repCluster2,Not found
A-1_megahit_metabat_bin-385,bin-385:171/484_2,Cyc1,Not found
A-1_megahit_metabat_bin-343,Not found,Not found,Not found
A-1_megahit_metabat_bin-473,Not found,Not found,Not found
A-1_megahit_metabat_bin-079,Not found,Not found,Not found
A-1_megahit_metabat_bin-081,Not found,Not found,Not found
A-1_megahit_metabat_bin-269,Not found,Not found,Not found
A-1_megahit_metabat_bin-466,bin-466:610/634_4,CymA,Not found
A-1_megahit_metabat_bin-466,bin-466:610/634_5,MtrB_TIGR03509,Not found
A-1_megahit_metabat_bin-466,bin-466:610/634_6,MtoA,Not found
A-1_megahit_metabat_bin-466,bin-466:435/634_1,Cyc2_repCluster2,Not found
A-1_megahit_metabat_bin-364,Not found,Not found,Not found
A-1_megahit_metabat_bin-052,Not found,Not found,Not found
A-1_megahit_metabat_bin-522,bin-522:080/256_1,MtrB_TIGR03509,Not found
A-1_megahit_metabat_bin-128,Not found,Not found,Not found
A-1_megahit_metabat_bin-080,Not found,Not found,Not found
A-1_megahit_metabat_bin-541,Not found,Not found,Not found
A-1_megahit_metabat_bin-116,Not found,Not found,Not found
A-1_megahit_metabat_bin-459,Not found,Not found,Not found
A-1_megahit_metabat_bin-534,Not found,Not found,Not found
A-1_megahit_metabat_bin-407,Not found,Not found,Not found
A-1_megahit_metabat_bin-293,Not found,Not found,Not found
A-1_megahit_metabat_bin-367,Not found,Not found,Not found
A-1_megahit_metabat_bin-162,Not found,Not found,Not found
A-1_megahit_metabat_bin-304,Not found,Not found,Not found
A-1_megahit_metabat_bin-101,bin-101:069/522_2,Cyc1,Not found
A-1_megahit_metabat_bin-101,bin-101:069/522_3,Cyc2_repCluster2,Not found
A-1_megahit_metabat_bin-556,Not found,Not found,Not found
A-1_megahit_metabat_bin-019,Not found,Not found,Not found
A-1_megahit_metabat_bin-241,bin-241:130/295_7,MtoA,Not found
A-1_megahit_metabat_bin-241,bin-241:130/295_8,MtrB_TIGR03509,Not found
A-1_megahit_metabat_bin-224,Not found,Not found,Not found
A-1_megahit_metabat_bin-042,Not found,Not found,Not found
A-1_megahit_metabat_bin-329,Not found,Not found,Not found
A-1_megahit_metabat_bin-400,bin-400:086/116_82,Cyc1,Not found
A-1_megahit_metabat_bin-400,bin-400:086/116_83,Cyc2_repCluster2,Not found
A-1_megahit_metabat_bin-400,bin-400:022/116_58,Cyc2_repCluster2,Not found
A-1_megahit_metabat_bin-477,Not found,Not found,Not found
A-1_megahit_metabat_bin-360,Not found,Not found,Not found
A-1_megahit_metabat_bin-295,Not found,Not found,Not found
A-1_megahit_metabat_bin-402,Not found,Not found,Not found
A-1_megahit_metabat_bin-531,bin-531:048/349_16,Cyc1,Not found
A-1_megahit_metabat_bin-531,bin-531:048/349_17,Cyc2_repCluster2,Not found
A-1_megahit_metabat_bin-023,Not found,Not found,Not found
A-1_megahit_metabat_bin-218,Not found,Not found,Not found
A-1_megahit_metabat_bin-104,Not found,Not found,Not found
A-1_megahit_metabat_bin-595,Not found,Not found,Not found
A-1_megahit_metabat_bin-578,bin-578:129/131_15,MtoA,Not found
A-1_megahit_metabat_bin-578,bin-578:129/131_16,MtrB_TIGR03509,Not found
A-1_megahit_metabat_bin-578,bin-578:129/131_17,CymA,Not found
A-1_megahit_metabat_bin-578,bin-578:019/131_8,EetB,Not found
A-1_megahit_metabat_bin-578,bin-578:019/131_9,EetA,Not found
