MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC
F1_megahit_metabat_bin-111,bin-111:128/284_13,Cyc2_repCluster2,Not_found,Not_found
F1_megahit_metabat_bin-111,bin-111:128/284_14,Cyc1,Not_found,Not_found
F1_megahit_metabat_bin-314,Not_found,Not_found,Not_found,Not_found
F1_megahit_metabat_bin-613,bin-613:268/348_1,Cyc1,Not_found,Not_found
F1_megahit_metabat_bin-613,bin-613:268/348_2,Cyc2_repCluster2,Not_found,Not_found
F1_megahit_metabat_bin-293,Not_found,Not_found,Not_found,Not_found
F1_megahit_metabat_bin-237,bin-237:1009/1098_2,Cyc2_repCluster2,Not_found,Not_found
F1_megahit_metabat_bin-237,bin-237:0692/1098_5,Cyc2_repCluster2,Not_found,Not_found
F1_megahit_metabat_bin-371,bin-371:037/292_1,EetB,Not_found,Not_found
F1_megahit_metabat_bin-371,bin-371:037/292_2,EetA,Not_found,Not_found
F1_megahit_metabat_bin-508,Not_found,Not_found,Not_found,Not_found
F1_megahit_metabat_bin-031,Not_found,Not_found,Not_found,Not_found
F1_megahit_metabat_bin-313,bin-313:281/546_1,Cyc2_repCluster2,Not_found,Not_found
F1_megahit_metabat_bin-195,Not_found,Not_found,Not_found,Not_found
F1_megahit_metabat_bin-016,Not_found,Not_found,Not_found,Not_found
F1_megahit_metabat_bin-421,bin-421:733/809_1,Cyc2_repCluster2,Not_found,Not_found
F1_megahit_metabat_bin-421,bin-421:319/809_1,Cyc2_repCluster2,Not_found,Not_found
F1_megahit_metabat_bin-266,Not_found,Not_found,Not_found,Not_found
F1_megahit_metabat_bin-259,Not_found,Not_found,Not_found,Not_found
F1_megahit_metabat_bin-089,bin-089:054/220_1,MtrB_TIGR03509,Not_found,Not_found
F1_megahit_metabat_bin-089,bin-089:099/220_5,EetA,Not_found,Not_found
F1_megahit_metabat_bin-089,bin-089:099/220_6,EetB,Not_found,Not_found
F1_megahit_metabat_bin-089,bin-089:128/220_2,MtoA,Not_found,Not_found
F1_megahit_metabat_bin-089,bin-089:149/220_1,EetB,Not_found,Not_found
F1_megahit_metabat_bin-424,bin-424:070/258_1,Cyc2_repCluster1,Not_found,Not_found
F1_megahit_metabat_bin-263,Not_found,Not_found,Not_found,Not_found
F1_megahit_metabat_bin-635,bin-635:383/537_13,CymA,Not_found,Not_found
F1_megahit_metabat_bin-635,bin-635:383/537_14,MtrB_TIGR03509,Not_found,Not_found
F1_megahit_metabat_bin-635,bin-635:383/537_15,MtoA,Not_found,Not_found
