MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
3300020730-bin_17,0,0,0,0,0
3300021135-bin_21,2,0,2,0,0
3300020734-bin_17,0,0,0,0,0
3300020734-bin_7,0,0,0,0,0
3300020723-bin_12,0,0,0,0,0
3300020734-bin_14,0,0,0,0,0
3300020723-bin_4,3,0,2,0,1
3300020698-bin_7,0,0,0,0,0
3300020734-bin_3,0,0,0,0,0
3300021135-bin_31,0,0,0,0,0
3300020734-bin_13,0,0,0,0,0
3300020713-bin_6,0,0,0,0,0
3300020711-bin_1,0,0,0,0,0
3300020682-bin_12,0,0,0,0,0
3300020713-bin_7,5,1,0,4,0
3300020712-bin_4,0,0,0,0,0
3300020730-bin_23,2,0,2,0,0
3300020703-bin_3,0,0,0,0,0
3300020724-bin_4,0,0,0,0,0
3300020726-bin_3,0,0,0,0,0
3300020682-bin_2,0,0,0,0,0
3300020683-bin_1,0,0,0,0,0
3300021135-bin_29,4,0,1,0,3
3300020730-bin_21,0,0,0,0,0
3300020703-bin_1,2,0,1,0,1
3300020698-bin_10,0,0,0,0,0
3300021135-bin_4,2,0,1,0,1
3300020711-bin_8,0,0,0,0,0
3300020682-bin_7,0,0,0,0,0
3300020700-bin_2,0,0,0,0,0
3300020726-bin_5,0,0,0,0,0
3300020726-bin_14,0,0,0,0,0
3300021135-bin_38,0,0,0,0,0
3300020723-bin_22,6,1,2,3,0
