MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
bin_74,0,0,0,0,0
bin_17,0,0,0,0,0
bin_29,0,0,0,0,0
bin_2,0,0,0,0,0
bin_61,0,0,0,0,0
bin_28,15,0,8,0,7
bin_3,4,0,3,0,1
bin_75,0,0,0,0,0
bin_16,4,0,4,0,0
bin_60,1,0,1,0,0
bin_63,0,0,0,0,0
bin_15,0,0,0,0,0
bin_76,1,0,1,0,0
bin_48,4,0,4,0,0
bin_62,0,0,0,0,0
bin_49,0,0,0,0,0
bin_1,3,0,2,0,1
bin_14,0,0,0,0,0
bin_77,0,0,0,0,0
bin_12,2,0,2,0,0
bin_71,0,0,0,0,0
bin_7,0,0,0,0,0
bin_39,8,0,5,0,3
bin_64,0,0,0,0,0
bin_6,0,0,0,0,0
bin_13,0,0,0,0,0
bin_70,0,0,0,0,0
bin_65,0,0,0,0,0
bin_38,0,0,0,0,0
bin_58,1,0,1,0,0
bin_66,0,0,0,0,0
bin_73,2,0,1,0,1
bin_10,11,0,9,0,2
bin_5,0,0,0,0,0
bin_67,3,0,1,0,2
bin_59,0,0,0,0,0
bin_4,2,0,1,0,1
bin_72,1,0,1,0,0
bin_11,0,0,0,0,0
bin_40,0,0,0,0,0
bin_8,0,0,0,0,0
bin_23,0,0,0,0,0
bin_86,0,0,0,0,0
bin_36,3,0,3,0,0
bin_55,0,0,0,0,0
bin_87,0,0,0,0,0
bin_41,0,0,0,0,0
bin_9,0,0,0,0,0
bin_22,1,0,1,0,0
bin_37,2,0,1,0,1
bin_54,0,0,0,0,0
bin_69,0,0,0,0,0
bin_57,7,0,4,0,3
bin_34,11,1,6,3,1
bin_21,0,0,0,0,0
bin_42,1,0,1,0,0
bin_84,0,0,0,0,0
bin_56,3,0,2,0,1
bin_35,0,0,0,0,0
bin_68,0,0,0,0,0
bin_85,0,0,0,0,0
bin_20,0,0,0,0,0
bin_43,0,0,0,0,0
bin_26,0,0,0,0,0
bin_45,0,0,0,0,0
bin_83,0,0,0,0,0
bin_18,0,0,0,0,0
bin_50,0,0,0,0,0
bin_33,0,0,0,0,0
bin_82,0,0,0,0,0
bin_19,0,0,0,0,0
bin_27,0,0,0,0,0
bin_44,0,0,0,0,0
bin_51,0,0,0,0,0
bin_32,0,0,0,0,0
bin_31,1,0,1,0,0
bin_52,0,0,0,0,0
bin_47,3,0,2,0,1
bin_24,0,0,0,0,0
bin_79,0,0,0,0,0
bin_81,1,0,1,0,0
bin_30,0,0,0,0,0
bin_53,0,0,0,0,0
bin_78,0,0,0,0,0
bin_80,0,0,0,0,0
bin_46,0,0,0,0,0
bin_25,0,0,0,0,0
