MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC,Within80
Ki2-D2_megahit_metabat_bin-0949,bin-0949:021/175_6,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0949,bin-0949:080/175_48,DFE_0461,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1025,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1411,bin-1411:027/265_14,FoxZ,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1291,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0609,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0013,bin-0013:785/844_5,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0013,bin-0013:037/844_1,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0013,bin-0013:037/844_2,Cyc1,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0013,bin-0013:620/844_4,DFE_0462,Outer_Surface_MHC_in_PCC,Not_found,DFE_0462&Outer_Surface_MHC_in_PCC&,
Ki2-D2_megahit_metabat_bin-0013,bin-0013:620/844_3,Not_found,PCC_porin,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0830,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1044,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0248,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0960,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1019,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1413,bin-1413:0196/1215_2,FoxZ,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0599,bin-0599:0631/1064_1,CbcL,Not_found,Not_found,CbcL&,
Ki2-D2_megahit_metabat_bin-1310,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0446,bin-0446:295/599_4,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0643,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0575,bin-0575:462/912_3,CbcB,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0575,bin-0575:148/912_3,FoxZ,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0575,bin-0575:768/912_1,DFE_0462,Outer_Surface_MHC,Not_found,DFE_0462&Outer_Surface_MHC&,
Ki2-D2_megahit_metabat_bin-1255,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0351,bin-0351:017/104_36,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0351,bin-0351:017/104_37,Cyc1,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0351,bin-0351:017/104_152,CymA,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0351,bin-0351:017/104_153,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0351,bin-0351:017/104_154,MtoA,Not_found,Not_found,MtoA&,
Ki2-D2_megahit_metabat_bin-1462,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0493,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0700,bin-0700:734/779_3,DFE_0461,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0289,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0195,bin-0195:017/142_23,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0195,bin-0195:067/142_37,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1231,bin-1231:069/719_1,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
Ki2-D2_megahit_metabat_bin-0320,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0125,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0511,bin-0511:36/51_2,MtoA,Not_found,Not_found,MtoA&,
Ki2-D2_megahit_metabat_bin-0511,bin-0511:36/51_3,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0511,bin-0511:36/51_4,CymA,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0511,bin-0511:19/51_3,Cyc1,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0511,bin-0511:19/51_4,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0512,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0210,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1475,bin-1475:14/65_114,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1475,bin-1475:14/65_140,DFE_0465,Not_found,nrfA,Irrelevant
Ki2-D2_megahit_metabat_bin-1475,bin-1475:43/65_139,DFE_0461,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0703,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0267,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1531,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0050,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0920,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1122,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0603,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1502,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1517,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1447,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1419,bin-1419:474/705_1,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1419,bin-1419:488/705_2,MtoA,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1482,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1346,bin-1346:030/363_4,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1346,bin-1346:030/363_5,Cyc1,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1346,bin-1346:250/363_8,FoxZ,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0867,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0859,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0117,bin-0117:608/675_3,MtrA,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0269,bin-0269:0209/1379_3,ImcH,Not_found,Not_found,ImcH&,
Ki2-D2_megahit_metabat_bin-0269,bin-0269:0209/1379_2,DFE_0461,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0269,bin-0269:1223/1379_2,DFE_0465,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0733,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0405,bin-0405:1012/1115_3,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0405,bin-0405:1012/1115_4,MtoA,Not_found,Not_found,MtoA&,
Ki2-D2_megahit_metabat_bin-0405,bin-0405:0258/1115_10,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-1184,Not_found,Not_found,Not_found,Not_found,Irrelevant
Ki2-D2_megahit_metabat_bin-0175,bin-0175:025/754_3,MtoA,Not_found,Not_found,MtoA&,
