MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
metabat_bin_29,1,0,1,0,0
metabat_bin_74,0,0,0,0,0
metabat_bin_17,2,0,1,0,1
metabat_bin_60,0,0,0,0,0
metabat_bin_75,6,0,5,0,1
metabat_bin_48,6,0,3,0,3
metabat_bin_63,1,0,1,0,0
metabat_bin_49,0,0,0,0,0
metabat_bin_64,0,0,0,0,0
metabat_bin_71,1,0,1,0,0
metabat_bin_70,1,0,1,0,0
metabat_bin_9,0,0,0,0,0
metabat_bin_73,0,0,0,0,0
metabat_bin_66,0,0,0,0,0
metabat_bin_72,0,0,0,0,0
metabat_bin_36,0,0,0,0,0
metabat_bin_55,1,0,1,0,0
metabat_bin_4,1,0,1,0,0
metabat_bin_40,0,0,0,0,0
metabat_bin_23,0,0,0,0,0
metabat_bin_37,6,1,2,3,0
metabat_bin_5,0,0,0,0,0
metabat_bin_21,0,0,0,0,0
metabat_bin_42,0,0,0,0,0
metabat_bin_57,0,0,0,0,0
metabat_bin_20,1,0,1,0,0
metabat_bin_7,0,0,0,0,0
metabat_bin_35,1,0,1,0,0
metabat_bin_50,1,0,1,0,0
metabat_bin_33,0,0,0,0,0
metabat_bin_18,0,0,0,0,0
metabat_bin_26,3,0,2,0,1
metabat_bin_45,3,0,2,0,1
metabat_bin_1,0,0,0,0,0
metabat_bin_51,4,0,2,0,2
metabat_bin_19,0,0,0,0,0
metabat_bin_3,0,0,0,0,0
metabat_bin_47,0,0,0,0,0
metabat_bin_24,0,0,0,0,0
metabat_bin_31,14,3,0,11,0
metabat_bin_25,0,0,0,0,0
metabat_bin_30,1,0,1,0,0
metabat_bin_53,0,0,0,0,0
