MAG,orf,FeGenie_HMM,Shaomei_Type
LinL3_megahit_metabat_bin-0378,Not found,Not found,Not found
LinL3_megahit_metabat_bin-0562,Not found,Not found,Not found
LinL3_megahit_metabat_bin-0184,bin-0184:0257/1064_3,MtoA,Not found
LinL3_megahit_metabat_bin-0705,bin-0705:1170/2369_2,ImcH,Not found
LinL3_megahit_metabat_bin-0705,bin-0705:1170/2369_3,CbcL,Not found
LinL3_megahit_metabat_bin-0705,bin-0705:1170/2369_5,CbcL,Not found
LinL3_megahit_metabat_bin-0705,bin-0705:1456/2369_3,ImcH,Not found
LinL3_megahit_metabat_bin-0705,bin-0705:1487/2369_1,CbcL,Not found
LinL3_megahit_metabat_bin-0705,bin-0705:0265/2369_2,DFE_0461,Not found
LinL3_megahit_metabat_bin-0705,bin-0705:0543/2369_4,DFE_0461,Not found
LinL3_megahit_metabat_bin-0705,bin-0705:1617/2369_15,DFE_0461,Not found
LinL3_megahit_metabat_bin-0705,bin-0705:1983/2369_2,MtrB_TIGR03509,Not found
LinL3_megahit_metabat_bin-0067,Not found,Not found,Not found
LinL3_megahit_metabat_bin-0109,Not found,Not found,Not found
LinL3_megahit_metabat_bin-1115,bin-1115:040/686_26,Cyc2_repCluster2,Not found
LinL3_megahit_metabat_bin-1115,bin-1115:097/686_3,MtoA,Not found
LinL3_megahit_metabat_bin-1115,bin-1115:097/686_4,MtrB_TIGR03509,Not found
LinL3_megahit_metabat_bin-0713,bin-0713:098/170_2,MtoA,Not found
LinL3_megahit_metabat_bin-0713,bin-0713:098/170_3,MtrB_TIGR03509,Not found
LinL3_megahit_metabat_bin-0713,bin-0713:098/170_4,CymA,Not found
LinL3_megahit_metabat_bin-0713,bin-0713:066/170_6,EetB,Not found
LinL3_megahit_metabat_bin-0713,bin-0713:066/170_7,EetA,Not found
LinL3_megahit_metabat_bin-0713,bin-0713:115/170_10,DFE_0448,Not found
LinL3_megahit_metabat_bin-0713,bin-0713:106/170_10,Not found,Outer Surface MHC
LinL3_megahit_metabat_bin-0447,Not found,Not found,Not found
LinL3_megahit_metabat_bin-0886,bin-0886:265/543_2,DFE_0461,Not found
LinL3_megahit_metabat_bin-1054,bin-1054:017/207_5,EetB,Not found
LinL3_megahit_metabat_bin-1054,bin-1054:017/207_6,EetA,Not found
LinL3_megahit_metabat_bin-0761,Not found,Not found,Not found
LinL3_megahit_metabat_bin-0133,Not found,Not found,Not found
LinL3_megahit_metabat_bin-1009,bin-1009:0859/1752_2,MtoA,Not found
LinL3_megahit_metabat_bin-0694,bin-0694:671/769_1,Not found,Outer Surface MHC
LinL3_megahit_metabat_bin-0015,bin-0015:189/339_3,ImcH,Not found
LinL3_megahit_metabat_bin-0015,bin-0015:189/339_4,CbcL,Not found
LinL3_megahit_metabat_bin-0015,bin-0015:111/339_1,MtrC_TIGR03507,Outer Surface MHC
