MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
Ki1-0-7m_megahit_metabat_bin-1094,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0142,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-1208,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0635,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0878,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0073,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0910,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0238,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0701,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0840,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-1230,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0436,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0455,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-1022,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-1314,3,1,0,2,0
Ki1-0-7m_megahit_metabat_bin-0386,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0839,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0209,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-1327,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0731,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-1201,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0537,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-1229,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0458,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0129,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0613,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-1133,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0816,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0093,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0639,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0303,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0950,0,0,0,0,0
Ki1-0-7m_megahit_metabat_bin-0755,0,0,0,0,0
