MAG,orf,FeGenie_HMM,Shaomei_Type
Umea2p3_megahit_metabat_bin-0511,Not found,Not found,Not found
Umea2p3_megahit_metabat_bin-0422,bin-0422:12/98_179,ImcH,Not found
Umea2p3_megahit_metabat_bin-0422,bin-0422:12/98_180,CbcL,Not found
Umea2p3_megahit_metabat_bin-0422,bin-0422:26/98_78,Cyc2_repCluster2,Not found
Umea2p3_megahit_metabat_bin-0422,bin-0422:78/98_6,CbcL,Not found
Umea2p3_megahit_metabat_bin-0422,bin-0422:48/98_56,Cyc2_repCluster2,Not found
Umea2p3_megahit_metabat_bin-0422,bin-0422:48/98_57,Cyc2_repCluster2,Not found
Umea2p3_megahit_metabat_bin-0422,bin-0422:12/98_15,DFE_0461,Not found
Umea2p3_megahit_metabat_bin-0422,bin-0422:42/98_12,DFE_0462,Outer Surface MHC
Umea2p3_megahit_metabat_bin-0125,bin-0125:1007/1042_2,CbcL,Not found
Umea2p3_megahit_metabat_bin-0125,bin-0125:0886/1042_1,CbcL,Not found
Umea2p3_megahit_metabat_bin-0125,bin-0125:0972/1042_1,Cyc2_repCluster2,Not found
Umea2p3_megahit_metabat_bin-0125,bin-0125:0972/1042_3,Cyc2_repCluster2,Not found
Umea2p3_megahit_metabat_bin-0125,bin-0125:0026/1042_1,MtoA,Not found
Umea2p3_megahit_metabat_bin-0125,bin-0125:0118/1042_3,MtoA,Not found
Umea2p3_megahit_metabat_bin-0125,bin-0125:0373/1042_2,MtrA,Not found
Umea2p3_megahit_metabat_bin-0125,bin-0125:0741/1042_2,DFE_0449,Outer Surface MHC in PCC
Umea2p3_megahit_metabat_bin-0125,bin-0125:0761/1042_4,DFE_0462,Outer Surface MHC
Umea2p3_megahit_metabat_bin-0125,bin-0125:0957/1042_1,DFE_0462,Outer Surface MHC
Umea2p3_megahit_metabat_bin-0125,bin-0125:0987/1042_6,DFE_0449,Not found
Umea2p3_megahit_metabat_bin-0125,bin-0125:0987/1042_7,DFE_0449,Not found
Umea2p3_megahit_metabat_bin-0125,bin-0125:0741/1042_1,Not found,PCC porin
Umea2p3_megahit_metabat_bin-0125,bin-0125:0313/1042_7,Not found,Outer Surface MHC
Umea2p3_megahit_metabat_bin-1281,bin-1281:286/674_2,DFE_0465,Not found
Umea2p3_megahit_metabat_bin-1281,bin-1281:286/674_4,DFE_0462,Periplasmic MHC in PCC
Umea2p3_megahit_metabat_bin-1281,bin-1281:286/674_7,DFE_0462,Outer Surface MHC
Umea2p3_megahit_metabat_bin-1281,bin-1281:286/674_8,DFE_0463,Not found
Umea2p3_megahit_metabat_bin-1281,bin-1281:388/674_2,ImcH,Not found
Umea2p3_megahit_metabat_bin-1281,bin-1281:069/674_2,DFE_0461,Not found
Umea2p3_megahit_metabat_bin-1281,bin-1281:114/674_7,Not found,Outer Surface MHC
Umea2p3_megahit_metabat_bin-0098,Not found,Not found,Not found
Umea2p3_megahit_metabat_bin-1708,bin-1708:036/132_30,CbcL,Not found
Umea2p3_megahit_metabat_bin-1708,bin-1708:036/132_36,ImcH,Not found
Umea2p3_megahit_metabat_bin-1708,bin-1708:095/132_4,CbcL,Not found
Umea2p3_megahit_metabat_bin-1708,bin-1708:060/132_6,DFE_0449,Not found
Umea2p3_megahit_metabat_bin-1708,bin-1708:095/132_12,DFE_0462,Outer Surface MHC
Umea2p3_megahit_metabat_bin-1708,bin-1708:095/132_9,DFE_0462,Periplasmic MHC in PCC
Umea2p3_megahit_metabat_bin-1708,bin-1708:095/132_7,Not found,Outer Surface MHC
Umea2p3_megahit_metabat_bin-1708,bin-1708:121/132_24,Not found,Outer Surface MHC
Umea2p3_megahit_metabat_bin-0238,bin-0238:01/10_19,DFE_0461,Not found
Umea2p3_megahit_metabat_bin-0238,bin-0238:01/10_24,DFE_0461,Not found
Umea2p3_megahit_metabat_bin-1231,bin-1231:11/85_2,MtoA,Not found
Umea2p3_megahit_metabat_bin-1231,bin-1231:11/85_3,MtrB_TIGR03509,Not found
Umea2p3_megahit_metabat_bin-1231,bin-1231:11/85_4,CymA,Not found
Umea2p3_megahit_metabat_bin-1596,bin-1596:258/317_58,CbcL,Not found
Umea2p3_megahit_metabat_bin-1596,bin-1596:258/317_60,CbcL,Periplasmic MHC in PCC
Umea2p3_megahit_metabat_bin-1596,bin-1596:194/317_18,ImcH,Not found
Umea2p3_megahit_metabat_bin-1596,bin-1596:258/317_50,DFE_0462,Outer Surface MHC
Umea2p3_megahit_metabat_bin-1596,bin-1596:258/317_53,DFE_0462,Periplasmic MHC in PCC
Umea2p3_megahit_metabat_bin-1596,bin-1596:090/317_7,Not found,Periplasmic MHC in PCC
Umea2p3_megahit_metabat_bin-1596,bin-1596:090/317_13,Not found,Outer Surface MHC
Umea2p3_megahit_metabat_bin-1596,bin-1596:258/317_55,Not found,Outer Surface MHC
Umea2p3_megahit_metabat_bin-1527,Not found,Not found,Not found
Umea2p3_megahit_metabat_bin-1449,bin-1449:063/221_4,MtrB_TIGR03509,Not found
Umea2p3_megahit_metabat_bin-1449,bin-1449:063/221_5,MtoA,Not found
Umea2p3_megahit_metabat_bin-1113,bin-1113:581/637_6,MtrB_TIGR03509,Not found
Umea2p3_megahit_metabat_bin-1113,bin-1113:581/637_7,MtrA,Periplasmic MHC in PCC
Umea2p3_megahit_metabat_bin-1113,bin-1113:581/637_8,MtrC_TIGR03507,Outer Surface MHC
