MAG,orf,FeGenie_HMM,Shaomei_Type
C3_megahit_metabat_bin-506,Not found,Not found,Not found
C3_megahit_metabat_bin-485,Not found,Not found,Not found
C3_megahit_metabat_bin-239,Not found,Not found,Not found
C3_megahit_metabat_bin-099,Not found,Not found,Not found
C3_megahit_metabat_bin-619,bin-619:145/263_15,Cyc2_repCluster2,Not found
C3_megahit_metabat_bin-619,bin-619:160/263_3,Cyc2_repCluster2,Not found
C3_megahit_metabat_bin-619,bin-619:160/263_4,Cyc1,Not found
C3_megahit_metabat_bin-632,bin-632:113/331_1,Cyc2_repCluster2,Not found
C3_megahit_metabat_bin-632,bin-632:314/331_8,Cyc1,Not found
C3_megahit_metabat_bin-632,bin-632:314/331_9,Cyc2_repCluster2,Not found
C3_megahit_metabat_bin-632,bin-632:314/331_10,Cyc2_repCluster2,Not found
C3_megahit_metabat_bin-632,bin-632:105/331_11,EetA,Not found
C3_megahit_metabat_bin-632,bin-632:105/331_12,EetB,Not found
C3_megahit_metabat_bin-431,bin-431:204/379_80,MtoA,Not found
C3_megahit_metabat_bin-431,bin-431:204/379_81,MtrB_TIGR03509,Not found
C3_megahit_metabat_bin-431,bin-431:111/379_5,Cyc2_repCluster2,Not found
C3_megahit_metabat_bin-771,Not found,Not found,Not found
C3_megahit_metabat_bin-184,Not found,Not found,Not found
C3_megahit_metabat_bin-687,Not found,Not found,Not found
C3_megahit_metabat_bin-583,bin-583:548/702_1,Cyc2_repCluster2,Not found
C3_megahit_metabat_bin-583,bin-583:180/702_3,Cyc1,Not found
C3_megahit_metabat_bin-583,bin-583:180/702_4,Cyc2_repCluster2,Not found
C3_megahit_metabat_bin-532,Not found,Not found,Not found
C3_megahit_metabat_bin-688,Not found,Not found,Not found
C3_megahit_metabat_bin-466,bin-466:259/378_2,Cyc2_repCluster2,Not found
C3_megahit_metabat_bin-115,Not found,Not found,Not found
C3_megahit_metabat_bin-292,Not found,Not found,Not found
