MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
I3-5_megahit_metabat_bin-213,0,0,0,0,0
I3-5_megahit_metabat_bin-619,0,0,0,0,0
I3-5_megahit_metabat_bin-441,0,0,0,0,0
I3-5_megahit_metabat_bin-368,3,0,3,0,0
I3-5_megahit_metabat_bin-265,0,0,0,0,0
I3-5_megahit_metabat_bin-002,0,0,0,0,0
I3-5_megahit_metabat_bin-680,0,0,0,0,0
I3-5_megahit_metabat_bin-000,0,0,0,0,0
I3-5_megahit_metabat_bin-679,0,0,0,0,0
I3-5_megahit_metabat_bin-577,0,0,0,0,0
I3-5_megahit_metabat_bin-260,2,0,1,0,1
I3-5_megahit_metabat_bin-576,0,0,0,0,0
I3-5_megahit_metabat_bin-563,0,0,0,0,0
I3-5_megahit_metabat_bin-059,0,0,0,0,0
I3-5_megahit_metabat_bin-332,1,0,1,0,0
I3-5_megahit_metabat_bin-382,2,0,1,0,1
I3-5_megahit_metabat_bin-643,1,0,1,0,0
I3-5_megahit_metabat_bin-073,0,0,0,0,0
I3-5_megahit_metabat_bin-159,0,0,0,0,0
I3-5_megahit_metabat_bin-104,0,0,0,0,0
I3-5_megahit_metabat_bin-300,1,0,1,0,0
I3-5_megahit_metabat_bin-105,0,0,0,0,0
I3-5_megahit_metabat_bin-402,2,0,2,0,0
I3-5_megahit_metabat_bin-629,0,0,0,0,0
I3-5_megahit_metabat_bin-305,2,0,1,0,1
I3-5_megahit_metabat_bin-534,0,0,0,0,0
I3-5_megahit_metabat_bin-600,0,0,0,0,0
