MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
D3_megahit_metabat_bin-098,0,0,0,0,0
D3_megahit_metabat_bin-125,0,0,0,0,0
D3_megahit_metabat_bin-146,0,0,0,0,0
D3_megahit_metabat_bin-061,1,0,1,0,0
D3_megahit_metabat_bin-131,0,0,0,0,0
D3_megahit_metabat_bin-147,0,0,0,0,0
D3_megahit_metabat_bin-001,0,0,0,0,0
D3_megahit_metabat_bin-133,3,0,3,0,0
D3_megahit_metabat_bin-150,0,0,0,0,0
D3_megahit_metabat_bin-006,0,0,0,0,0
D3_megahit_metabat_bin-143,0,0,0,0,0
D3_megahit_metabat_bin-134,0,0,0,0,0
D3_megahit_metabat_bin-157,0,0,0,0,0
D3_megahit_metabat_bin-121,0,0,0,0,0
D3_megahit_metabat_bin-122,0,0,0,0,0
D3_megahit_metabat_bin-141,1,0,1,0,0
D3_megahit_metabat_bin-137,6,1,3,2,0
D3_megahit_metabat_bin-123,20,1,15,1,3
D3_megahit_metabat_bin-167,0,0,0,0,0
D3_megahit_metabat_bin-037,0,0,0,0,0
D3_megahit_metabat_bin-105,0,0,0,0,0
D3_megahit_metabat_bin-173,0,0,0,0,0
D3_megahit_metabat_bin-086,0,0,0,0,0
D3_megahit_metabat_bin-085,0,0,0,0,0
D3_megahit_metabat_bin-170,0,0,0,0,0
D3_megahit_metabat_bin-043,0,0,0,0,0
D3_megahit_metabat_bin-113,0,0,0,0,0
D3_megahit_metabat_bin-084,0,0,0,0,0
D3_megahit_metabat_bin-139,0,0,0,0,0
D3_megahit_metabat_bin-101,0,0,0,0,0
D3_megahit_metabat_bin-027,0,0,0,0,0
D3_megahit_metabat_bin-163,0,0,0,0,0
D3_megahit_metabat_bin-083,1,0,1,0,0
D3_megahit_metabat_bin-080,0,0,0,0,0
D3_megahit_metabat_bin-081,0,0,0,0,0
D3_megahit_metabat_bin-052,0,0,0,0,0
D3_megahit_metabat_bin-102,0,0,0,0,0
