MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
E-3_megahit_metabat_bin-087,0,0,0,0,0
E-3_megahit_metabat_bin-170,0,0,0,0,0
E-3_megahit_metabat_bin-035,2,0,2,0,0
E-3_megahit_metabat_bin-042,0,0,0,0,0
E-3_megahit_metabat_bin-171,5,0,5,0,0
E-3_megahit_metabat_bin-163,0,0,0,0,0
E-3_megahit_metabat_bin-045,0,0,0,0,0
E-3_megahit_metabat_bin-148,0,0,0,0,0
E-3_megahit_metabat_bin-161,0,0,0,0,0
E-3_megahit_metabat_bin-003,0,0,0,0,0
E-3_megahit_metabat_bin-098,0,0,0,0,0
E-3_megahit_metabat_bin-049,0,0,0,0,0
E-3_megahit_metabat_bin-137,10,2,3,3,2
E-3_megahit_metabat_bin-058,0,0,0,0,0
E-3_megahit_metabat_bin-005,0,0,0,0,0
