MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC
G-1_megahit_metabat_bin-764,Not_found,Not_found,Not_found,Not_found
G-1_megahit_metabat_bin-058,bin-058:490/634_17,Cyc2_repCluster2,Not_found,Not_found
G-1_megahit_metabat_bin-058,bin-058:490/634_18,Cyc1,Not_found,Not_found
G-1_megahit_metabat_bin-058,bin-058:435/634_4,Cyc2_repCluster2,Not_found,Not_found
G-1_megahit_metabat_bin-058,bin-058:435/634_5,Cyc1,Not_found,Not_found
G-1_megahit_metabat_bin-715,Not_found,Not_found,Not_found,Not_found
G-1_megahit_metabat_bin-571,bin-571:192/200_27,Cyc2_repCluster2,Not_found,Not_found
G-1_megahit_metabat_bin-571,bin-571:192/200_87,Cyc2_repCluster2,Not_found,Not_found
G-1_megahit_metabat_bin-393,bin-393:1520/1549_1,CbcL,Not_found,Not_found
G-1_megahit_metabat_bin-393,bin-393:1520/1549_2,CbcL,Not_found,Not_found
G-1_megahit_metabat_bin-393,bin-393:0817/1549_1,ImcH,Not_found,Not_found
G-1_megahit_metabat_bin-393,bin-393:0316/1549_2,DFE_0462,Outer_Surface_MHC,Not_found
G-1_megahit_metabat_bin-393,bin-393:0795/1549_5,MtoA,Not_found,Not_found
G-1_megahit_metabat_bin-393,bin-393:1038/1549_7,DFE_0462,Not_found,Not_found
G-1_megahit_metabat_bin-305,Not_found,Not_found,Not_found,Not_found
G-1_megahit_metabat_bin-158,bin-158:249/605_1,Cyc2_repCluster2,Not_found,Not_found
G-1_megahit_metabat_bin-801,bin-801:581/708_4,Cyc2_repCluster3,Not_found,Not_found
G-1_megahit_metabat_bin-801,bin-801:052/708_1,Cyc2_repCluster3,Not_found,Not_found
