MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC,Within80
D4_megahit_metabat_bin-075,Not_found,Not_found,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-074,Not_found,Not_found,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-147,Not_found,Not_found,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-212,Not_found,Not_found,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-179,Not_found,Not_found,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-194,Not_found,Not_found,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-002,Not_found,Not_found,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-061,bin-061:303/357_8,ExtB_porin,PCC_porin,Not_found,Irrelevant
D4_megahit_metabat_bin-061,bin-061:303/357_9,ExtC_pcc_lp_cyt,Outer_Surface_MHC_in_PCC,Not_found,ExtC_pcc_lp_cyt&Outer_Surface_MHC_in_PCC&,
D4_megahit_metabat_bin-061,bin-061:057/357_29,ImcH,Not_found,Not_found,ImcH&,
D4_megahit_metabat_bin-061,bin-061:354/357_8,CbcL,Not_found,Not_found,CbcL&,
D4_megahit_metabat_bin-061,bin-061:354/357_9,CbcL,Not_found,Not_found,CbcL&,
D4_megahit_metabat_bin-061,bin-061:068/357_1,CbcL,Not_found,Not_found,CbcL&,
D4_megahit_metabat_bin-061,bin-061:116/357_8,CbcL,Not_found,Not_found,CbcL&,
D4_megahit_metabat_bin-061,bin-061:303/357_10,637127415_NP_953769_{omc}_cytochrome_c_family_protein_[Geobacter_sulfurreducens_PCA:_NC_002939],Outer_Surface_MHC_in_PCC,Not_found,637127415_NP_953769_{omc}_cytochrome_c_family_protein_[Geobacter_sulfurreducens_PCA:_NC_002939]&Outer_Surface_MHC_in_PCC&,
D4_megahit_metabat_bin-061,bin-061:303/357_7,Not_found,Outer_Surface_MHC_in_PCC,mtrC,mtrC&Outer_Surface_MHC_in_PCC&,
D4_megahit_metabat_bin-061,bin-061:064/357_8,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D4_megahit_metabat_bin-061,bin-061:133/357_3,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D4_megahit_metabat_bin-061,bin-061:285/357_17,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
D4_megahit_metabat_bin-152,bin-152:079/470_5,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-152,bin-152:449/470_6,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-152,bin-152:083/470_16,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-152,bin-152:277/470_10,Cyc2_repCluster3,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-152,bin-152:277/470_4,DFE_0461,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-211,Not_found,Not_found,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-077,Not_found,Not_found,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-063,Not_found,Not_found,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-000,Not_found,Not_found,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-205,bin-205:640/883_3,ImcH,Not_found,Not_found,ImcH&Outer_Surface_MHC&,
D4_megahit_metabat_bin-205,bin-205:014/883_5,DFE_0449,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-015,Not_found,Not_found,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-013,Not_found,Not_found,Not_found,Not_found,Irrelevant
D4_megahit_metabat_bin-156,Not_found,Not_found,Not_found,Not_found,Irrelevant
