MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC,Within80
KT1_megahit_metabat_bin-326,Not_found,Not_found,Not_found,Not_found,Irrelevant
KT1_megahit_metabat_bin-431,bin-431:024/679_2,DFE_0461,Outer_Surface_MHC,Not_found,DFE_0461&Outer_Surface_MHC&,
KT1_megahit_metabat_bin-431,bin-431:196/679_3,DFE_0462,Not_found,Not_found,Irrelevant
KT1_megahit_metabat_bin-431,bin-431:443/679_3,DFE_0465,Outer_Surface_MHC,Not_found,DFE_0465&Outer_Surface_MHC&Outer_Surface_MHC_in_PCC&,
KT1_megahit_metabat_bin-431,bin-431:443/679_6,Not_found,Periplasmic_MHC_in_PCC,Not_found,Outer_Surface_MHC&Outer_Surface_MHC_in_PCC&Periplasmic_MHC_in_PCC&,
KT1_megahit_metabat_bin-599,Not_found,Not_found,Not_found,Not_found,Irrelevant
KT1_megahit_metabat_bin-478,Not_found,Not_found,Not_found,Not_found,Irrelevant
KT1_megahit_metabat_bin-446,bin-446:487/661_2,DFE_0461,Not_found,Not_found,Irrelevant
KT1_megahit_metabat_bin-831,bin-831:479/523_3,DFE_0449,Not_found,Not_found,Irrelevant
KT1_megahit_metabat_bin-824,bin-824:0450/1165_1,MtoA,Not_found,Not_found,Irrelevant
KT1_megahit_metabat_bin-656,Not_found,Not_found,Not_found,Not_found,Irrelevant
KT1_megahit_metabat_bin-007,Not_found,Not_found,Not_found,Not_found,Irrelevant
KT1_megahit_metabat_bin-433,bin-433:0628/1056_1,DFE_0449,Outer_Surface_MHC,Not_found,DFE_0449&Outer_Surface_MHC&,
KT1_megahit_metabat_bin-433,bin-433:0751/1056_1,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
KT1_megahit_metabat_bin-433,bin-433:0759/1056_1,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
KT1_megahit_metabat_bin-433,bin-433:1048/1056_1,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
