MAG,orf,FeGenie_HMM,Shaomei_Type
E3_megahit_metabat_bin-148,Not_found,Not_found,Not_found
E3_megahit_metabat_bin-305,bin-305:188/384_43,Cyc2_repCluster3,Not_found
E3_megahit_metabat_bin-305,bin-305:128/384_4,Cyc2_repCluster3,Not_found
E3_megahit_metabat_bin-305,bin-305:001/384_3,DFE_0461,Not_found
E3_megahit_metabat_bin-082,Not_found,Not_found,Not_found
E3_megahit_metabat_bin-568,bin-568:108/118_8,Cyc2_repCluster3,Not_found
E3_megahit_metabat_bin-568,bin-568:074/118_8,Cyc2_repCluster1,Not_found
E3_megahit_metabat_bin-568,bin-568:072/118_83,DFE_0461,Not_found
E3_megahit_metabat_bin-438,bin-438:450/631_2,Cyc2_repCluster2,Not_found
E3_megahit_metabat_bin-312,bin-312:165/621_1,Cyc2_repCluster3,Not_found
E3_megahit_metabat_bin-312,bin-312:569/621_3,CbcA,Not_found
E3_megahit_metabat_bin-312,bin-312:569/621_4,CbcB,Not_found
E3_megahit_metabat_bin-312,bin-312:387/621_2,ImcH,Not_found
E3_megahit_metabat_bin-312,bin-312:539/621_1,CbcL,Not_found
E3_megahit_metabat_bin-312,bin-312:040/621_1,649931662_YP_004200173_{porin}_hypothetical_protein_[Geobacter_sp._M18_chromosome:_NC_014973],PCC_porin
E3_megahit_metabat_bin-312,bin-312:040/621_3,640549328_YP_001230600_{omc}_cytochrome_C_family_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483],Outer_Surface_MHC_in_PCC
E3_megahit_metabat_bin-312,bin-312:119/621_11,DFE_0461,Not_found
E3_megahit_metabat_bin-312,bin-312:207/621_3,DFE_0448,Outer_Surface_MHC
E3_megahit_metabat_bin-312,bin-312:601/621_1,Not_found,Outer_Surface_MHC
E3_megahit_metabat_bin-509,Not_found,Not_found,Not_found
E3_megahit_metabat_bin-235,bin-235:0006/1754_1,ExtB_porin,PCC_porin
E3_megahit_metabat_bin-235,bin-235:0006/1754_2,ExtC_pcc_lp_cyt,Outer_Surface_MHC_in_PCC
E3_megahit_metabat_bin-235,bin-235:0441/1754_3,ImcH,Not_found
E3_megahit_metabat_bin-235,bin-235:1238/1754_1,CbcL,Not_found
E3_megahit_metabat_bin-235,bin-235:1238/1754_2,CbcL,Not_found
E3_megahit_metabat_bin-235,bin-235:0517/1754_1,CbcL,Not_found
E3_megahit_metabat_bin-235,bin-235:1334/1754_3,CbcL,Not_found
E3_megahit_metabat_bin-235,bin-235:0006/1754_3,637127415_NP_953769_{omc}_cytochrome_c_family_protein_[Geobacter_sulfurreducens_PCA:_NC_002939],Outer_Surface_MHC_in_PCC
E3_megahit_metabat_bin-235,bin-235:1309/1754_6,MtrC_TIGR03507,Outer_Surface_MHC
E3_megahit_metabat_bin-235,bin-235:1309/1754_7,Not_found,Periplasmic_MHC_in_PCC
E3_megahit_metabat_bin-235,bin-235:1309/1754_8,Not_found,Periplasmic_MHC_in_PCC
E3_megahit_metabat_bin-235,bin-235:0334/1754_1,Not_found,Outer_Surface_MHC
E3_megahit_metabat_bin-235,bin-235:0628/1754_1,Not_found,Outer_Surface_MHC
E3_megahit_metabat_bin-235,bin-235:1323/1754_2,Not_found,Outer_Surface_MHC
E3_megahit_metabat_bin-235,bin-235:1680/1754_5,Not_found,Outer_Surface_MHC
E3_megahit_metabat_bin-160,Not_found,Not_found,Not_found
E3_megahit_metabat_bin-226,Not_found,Not_found,Not_found
E3_megahit_metabat_bin-244,Not_found,Not_found,Not_found
E3_megahit_metabat_bin-428,Not_found,Not_found,Not_found
E3_megahit_metabat_bin-525,bin-525:275/611_8,Cyc2_repCluster2,Not_found
E3_megahit_metabat_bin-525,bin-525:473/611_3,MtoA,Not_found
E3_megahit_metabat_bin-525,bin-525:473/611_4,MtrB_TIGR03509,Not_found
E3_megahit_metabat_bin-525,bin-525:486/611_1,Not_found,Outer_Surface_MHC
E3_megahit_metabat_bin-297,bin-297:475/615_1,Cyc2_repCluster3,Not_found
E3_megahit_metabat_bin-297,bin-297:430/615_1,Cyc2_repCluster3,Not_found
E3_megahit_metabat_bin-297,bin-297:070/615_1,Cyc2_repCluster3,Not_found
E3_megahit_metabat_bin-297,bin-297:149/615_1,Cyc2_repCluster2,Not_found
