MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
3300021142-bin_78,2,0,2,0,0
3300021127-bin_9,0,0,0,0,0
3300021132-bin_18,0,0,0,0,0
3300021138-bin_29,0,0,0,0,0
3300021138-bin_61,0,0,0,0,0
3300020714-bin_15,0,0,0,0,0
3300021138-bin_16,0,0,0,0,0
3300021134-bin_6,0,0,0,0,0
3300021131-bin_8,0,0,0,0,0
3300020725-bin_23,0,0,0,0,0
3300021142-bin_26,3,0,1,0,2
3300020716-bin_1,0,0,0,0,0
3300021133-bin_8,0,0,0,0,0
3300021118-bin_7,0,0,0,0,0
3300020714-bin_12,0,0,0,0,0
3300021134-bin_12,0,0,0,0,0
3300021124-bin_8,0,0,0,0,0
3300021138-bin_10,0,0,0,0,0
3300020714-bin_13,0,0,0,0,0
3300021142-bin_84,0,0,0,0,0
3300020728-bin_9,0,0,0,0,0
3300020696-bin_3,0,0,0,0,0
3300021134-bin_1,0,0,0,0,0
3300021142-bin_34,2,0,2,0,0
3300020728-bin_13,0,0,0,0,0
3300021139-bin_24,0,0,0,0,0
3300020731-bin_33,0,0,0,0,0
3300021120-bin_11,0,0,0,0,0
3300020732-bin_21,0,0,0,0,0
3300020733-bin_17,3,0,2,0,1
3300021138-bin_39,0,0,0,0,0
3300021130-bin_10,0,0,0,0,0
3300020694-bin_7,0,0,0,0,0
3300021142-bin_23,0,0,0,0,0
3300021134-bin_11,0,0,0,0,0
3300020695-bin_4,3,0,3,0,0
3300021138-bin_65,0,0,0,0,0
3300021125-bin_4,0,0,0,0,0
3300021132-bin_13,0,0,0,0,0
3300021138-bin_21,0,0,0,0,0
3300021131-bin_14,0,0,0,0,0
3300020705-bin_3,6,1,1,4,0
3300021138-bin_42,0,0,0,0,0
3300021142-bin_73,0,0,0,0,0
3300020733-bin_25,0,0,0,0,0
3300020677-bin_2,0,0,0,0,0
3300021139-bin_5,0,0,0,0,0
3300021126-bin_13,0,0,0,0,0
3300021139-bin_28,0,0,0,0,0
3300020714-bin_21,0,0,0,0,0
3300021126-bin_3,0,0,0,0,0
3300020677-bin_1,0,0,0,0,0
3300021131-bin_2,0,0,0,0,0
3300021124-bin_4,0,0,0,0,0
3300021138-bin_37,1,0,1,0,0
3300021142-bin_49,0,0,0,0,0
3300021126-bin_17,0,0,0,0,0
3300021131-bin_11,0,0,0,0,0
3300020732-bin_8,0,0,0,0,0
3300021138-bin_3,4,0,2,0,2
3300021138-bin_30,0,0,0,0,0
3300021131-bin_5,0,0,0,0,0
3300021130-bin_6,0,0,0,0,0
3300021132-bin_14,0,0,0,0,0
3300021130-bin_5,0,0,0,0,0
3300021131-bin_6,0,0,0,0,0
3300021142-bin_75,0,0,0,0,0
3300021138-bin_44,0,0,0,0,0
3300021128-bin_9,0,0,0,0,0
