MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
AM-lipid-02-D2_megahit_metabat_bin-1130,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0673,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0281,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0035,1,0,1,0,0
AM-lipid-02-D2_megahit_metabat_bin-0106,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-1289,2,1,0,1,0
AM-lipid-02-D2_megahit_metabat_bin-0278,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-1271,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-1321,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0721,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-1144,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0036,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0978,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0158,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0734,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0720,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-1126,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0802,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0291,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-1006,7,1,3,2,1
AM-lipid-02-D2_megahit_metabat_bin-0733,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0047,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0404,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0160,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0727,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0285,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-1327,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0838,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-1187,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0602,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0293,2,0,1,0,1
AM-lipid-02-D2_megahit_metabat_bin-0287,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0413,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0019,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-1200,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0209,3,1,0,2,0
AM-lipid-02-D2_megahit_metabat_bin-0568,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0938,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0197,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0625,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-1188,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0179,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0763,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0505,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-1230,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0893,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0333,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0825,1,0,1,0,0
AM-lipid-02-D2_megahit_metabat_bin-1305,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0277,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0319,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-1310,4,0,3,0,1
AM-lipid-02-D2_megahit_metabat_bin-0548,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0064,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0427,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0915,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-1161,3,0,2,0,1
AM-lipid-02-D2_megahit_metabat_bin-0562,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0298,0,0,0,0,0
AM-lipid-02-D2_megahit_metabat_bin-0497,0,0,0,0,0
