MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
I-1_megahit_metabat_bin-191,0,0,0,0,0
I-1_megahit_metabat_bin-249,0,0,0,0,0
I-1_megahit_metabat_bin-066,0,0,0,0,0
I-1_megahit_metabat_bin-075,0,0,0,0,0
I-1_megahit_metabat_bin-003,2,0,2,0,0
I-1_megahit_metabat_bin-197,0,0,0,0,0
I-1_megahit_metabat_bin-176,0,0,0,0,0
I-1_megahit_metabat_bin-024,0,0,0,0,0
I-1_megahit_metabat_bin-166,0,0,0,0,0
I-1_megahit_metabat_bin-085,0,0,0,0,0
I-1_megahit_metabat_bin-252,0,0,0,0,0
I-1_megahit_metabat_bin-112,0,0,0,0,0
