MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC
B-1_megahit_metabat_bin-213,bin-213:310/664_2,Cyc2_repCluster2,Not_found,Not_found
B-1_megahit_metabat_bin-213,bin-213:010/664_3,FoxZ,Not_found,Not_found
B-1_megahit_metabat_bin-000,Not_found,Not_found,Not_found,Not_found
B-1_megahit_metabat_bin-352,bin-352:254/797_6,Cyc1,Not_found,Not_found
B-1_megahit_metabat_bin-352,bin-352:254/797_7,Cyc2_repCluster2,Not_found,Not_found
B-1_megahit_metabat_bin-352,bin-352:628/797_1,Cyc1,Not_found,Not_found
B-1_megahit_metabat_bin-352,bin-352:628/797_2,Cyc2_repCluster2,Not_found,Not_found
B-1_megahit_metabat_bin-352,bin-352:680/797_1,Cyc2_repCluster2,Not_found,Not_found
B-1_megahit_metabat_bin-352,bin-352:680/797_2,Cyc1,Not_found,Not_found
B-1_megahit_metabat_bin-827,bin-827:0688/1196_1,Not_found,Outer_Surface_MHC,Not_found
B-1_megahit_metabat_bin-185,bin-185:1189/1239_3,ImcH,Not_found,Not_found
B-1_megahit_metabat_bin-185,bin-185:0085/1239_1,CbcL,Not_found,Not_found
B-1_megahit_metabat_bin-185,bin-185:0154/1239_3,DFE_0462,Not_found,Not_found
B-1_megahit_metabat_bin-185,bin-185:0442/1239_1,DFE_0462,Outer_Surface_MHC,Not_found
B-1_megahit_metabat_bin-578,Not_found,Not_found,Not_found,Not_found
B-1_megahit_metabat_bin-377,Not_found,Not_found,Not_found,Not_found
B-1_megahit_metabat_bin-177,bin-177:141/346_8,Cyc2_repCluster2,Not_found,Not_found
