MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC
3300020546-bin_10,Not_found,Not_found,Not_found,Not_found
3300020510-bin_6,Not_found,Not_found,Not_found,Not_found
3300020491-bin_6,Not_found,Not_found,Not_found,Not_found
3300020497-bin_28,Not_found,Not_found,Not_found,Not_found
3300020522-bin_7,Not_found,Not_found,Not_found,Not_found
3300020540-bin_20,Not_found,Not_found,Not_found,Not_found
3300020544-bin_2,Not_found,Not_found,Not_found,Not_found
3300020573-bin_18,Not_found,Not_found,Not_found,Not_found
3300021141-bin_54,Not_found,Not_found,Not_found,Not_found
3300020542-bin_8,Not_found,Not_found,Not_found,Not_found
3300020575-bin_17,Not_found,Not_found,Not_found,Not_found
3300020558-bin_22,Not_found,Not_found,Not_found,Not_found
3300020568-bin_4,Not_found,Not_found,Not_found,Not_found
3300020566-bin_10,Not_found,Not_found,Not_found,Not_found
3300020509-bin_9,Not_found,Not_found,Not_found,Not_found
3300020522-bin_12,Not_found,Not_found,Not_found,Not_found
3300020555-bin_16,Not_found,Not_found,Not_found,Not_found
3300020557-bin_24,Not_found,Not_found,Not_found,Not_found
3300020562-bin_39,Not_found,Not_found,Not_found,Not_found
3300021141-bin_35,Not_found,Not_found,Not_found,Not_found
3300020562-bin_12,Not_found,Not_found,Not_found,Not_found
3300020537-bin_19,Not_found,Not_found,Not_found,Not_found
3300020562-bin_5,Not_found,Not_found,Not_found,Not_found
3300020562-bin_13,Not_found,Not_found,Not_found,Not_found
3300020539-bin_14,Not_found,Not_found,Not_found,Not_found
3300021108-bin_1,Ga0214162_1002216_3,Not_found,Outer_Surface_MHC,Not_found
3300020547-bin_4,Not_found,Not_found,Not_found,Not_found
3300020521-bin_7,Not_found,Not_found,Not_found,Not_found
3300020556-bin_9,Not_found,Not_found,Not_found,Not_found
3300020558-bin_18,Not_found,Not_found,Not_found,Not_found
3300020544-bin_7,Ga0207937_1000339_3,Not_found,Outer_Surface_MHC,Not_found
3300020553-bin_6,Not_found,Not_found,Not_found,Not_found
3300020552-bin_15,Not_found,Not_found,Not_found,Not_found
3300020492-bin_7,Ga0208483_1000037_6,Not_found,Outer_Surface_MHC,Not_found
3300020492-bin_7,Ga0208483_1000805_6,Not_found,Outer_Surface_MHC,Not_found
3300021140-bin_2,Not_found,Not_found,Not_found,Not_found
3300020525-bin_11,Not_found,Not_found,Not_found,Not_found
3300020569-bin_10,Ga0208229_1003919_2,DFE_0448,Not_found,Not_found
3300020569-bin_10,Ga0208229_1005133_4,EetB,Not_found,Not_found
3300020560-bin_30,Not_found,Not_found,Not_found,Not_found
3300020549-bin_11,Not_found,Not_found,Not_found,Not_found
3300020523-bin_3,Not_found,Not_found,Not_found,Not_found
3300020558-bin_31,Not_found,Not_found,Not_found,Not_found
3300020566-bin_16,Not_found,Not_found,Not_found,Not_found
3300020568-bin_25,Not_found,Not_found,Not_found,Not_found
3300020516-bin_14,Not_found,Not_found,Not_found,Not_found
3300020509-bin_11,Not_found,Not_found,Not_found,Not_found
3300021141-bin_52,Ga0214163_1000121_13,DFE_0462,Not_found,Not_found
3300021141-bin_52,Ga0214163_1000850_7,Not_found,Outer_Surface_MHC,Not_found
3300021141-bin_52,Ga0214163_1001344_4,Not_found,Outer_Surface_MHC,Not_found
3300020544-bin_4,Not_found,Not_found,Not_found,Not_found
3300020528-bin_19,Not_found,Not_found,Not_found,Not_found
3300020536-bin_4,Not_found,Not_found,Not_found,Not_found
3300020563-bin_20,Not_found,Not_found,Not_found,Not_found
3300020546-bin_16,Not_found,Not_found,Not_found,Not_found
3300021141-bin_24,Not_found,Not_found,Not_found,Not_found
3300020547-bin_20,Not_found,Not_found,Not_found,Not_found
3300020538-bin_15,Not_found,Not_found,Not_found,Not_found
3300020562-bin_31,Not_found,Not_found,Not_found,Not_found
3300020519-bin_22,Not_found,Not_found,Not_found,Not_found
3300020562-bin_25,Not_found,Not_found,Not_found,Not_found
3300020516-bin_18,Not_found,Not_found,Not_found,Not_found
3300021141-bin_17,Ga0214163_1012934_1,sulfocyanin,Not_found,Not_found
3300021140-bin_34,Not_found,Not_found,Not_found,Not_found
3300020548-bin_16,Not_found,Not_found,Not_found,Not_found
3300021140-bin_57,Not_found,Not_found,Not_found,Not_found
3300020540-bin_4,Not_found,Not_found,Not_found,Not_found
3300020509-bin_3,Not_found,Not_found,Not_found,Not_found
3300020533-bin_7,Not_found,Not_found,Not_found,Not_found
3300020564-bin_6,Not_found,Not_found,Not_found,Not_found
3300020518-bin_8,Not_found,Not_found,Not_found,Not_found
3300020513-bin_8,Not_found,Not_found,Not_found,Not_found
3300020543-bin_11,Ga0208089_1000054_28,DFE_0462,Not_found,Not_found
3300020543-bin_11,Ga0208089_1000300_6,DFE_0465,Outer_Surface_MHC_in_PCC,Not_found
3300020543-bin_11,Ga0208089_1000300_4,Not_found,PCC_porin,Not_found
3300020543-bin_11,Ga0208089_1000300_1,Not_found,Outer_Surface_MHC_in_PCC,Not_found
3300020543-bin_11,Ga0208089_1000300_2,Not_found,Outer_Surface_MHC_in_PCC,Not_found
3300020543-bin_11,Ga0208089_1000300_9,Not_found,Outer_Surface_MHC_in_PCC,Not_found
3300020543-bin_11,Ga0208089_1000405_5,Not_found,Periplasmic_MHC_in_PCC,Not_found
3300020543-bin_11,Ga0208089_1000405_6,Not_found,Outer_Surface_MHC,Not_found
3300021140-bin_22,Not_found,Not_found,Not_found,Not_found
3300020500-bin_15,Not_found,Not_found,Not_found,Not_found
3300020566-bin_3,Not_found,Not_found,Not_found,Not_found
3300020568-bin_14,Ga0208598_1003235_2,EetB,Not_found,Not_found
3300020568-bin_14,Ga0208598_1003235_3,EetA,Not_found,Not_found
3300020557-bin_7,Not_found,Not_found,Not_found,Not_found
3300020548-bin_2,Not_found,Not_found,Not_found,Not_found
3300020539-bin_6,Not_found,Not_found,Not_found,Not_found
3300020573-bin_11,Not_found,Not_found,Not_found,Not_found
3300020560-bin_28,Not_found,Not_found,Not_found,Not_found
3300020572-bin_32,Not_found,Not_found,Not_found,Not_found
3300020562-bin_44,Ga0208597_1000152_15,Not_found,Outer_Surface_MHC,Not_found
3300020538-bin_10,Not_found,Not_found,Not_found,Not_found
3300020544-bin_10,Not_found,Not_found,Not_found,Not_found
3300020524-bin_12,Not_found,Not_found,Not_found,Not_found
3300020523-bin_14,Not_found,Not_found,Not_found,Not_found
3300020502-bin_7,Not_found,Not_found,Not_found,Not_found
3300020508-bin_4,Ga0208225_1000239_4,DFE_0462,Not_found,Not_found
3300020508-bin_4,Ga0208225_1000419_3,Not_found,Outer_Surface_MHC,Not_found
3300020508-bin_4,Ga0208225_1000948_4,Not_found,Outer_Surface_MHC,Not_found
3300020547-bin_9,Ga0208361_1000220_10,DFE_0449,Outer_Surface_MHC,Not_found
3300020547-bin_9,Ga0208361_1000220_8,DFE_0449,Periplasmic_MHC_in_PCC,Not_found
3300020547-bin_9,Ga0208361_1000089_9,Not_found,Outer_Surface_MHC,Not_found
3300020562-bin_20,Not_found,Not_found,Not_found,Not_found
3300020569-bin_8,Not_found,Not_found,Not_found,Not_found
3300020548-bin_13,Ga0208856_1001200_4,EetA,Not_found,Not_found
3300020548-bin_13,Ga0208856_1001200_5,EetB,Not_found,Not_found
3300021140-bin_31,Not_found,Not_found,Not_found,Not_found
3300020555-bin_7,Not_found,Not_found,Not_found,Not_found
3300020497-bin_26,Not_found,Not_found,Not_found,Not_found
3300020519-bin_18,Not_found,Not_found,Not_found,Not_found
3300020534-bin_13,Not_found,Not_found,Not_found,Not_found
3300020562-bin_36,Not_found,Not_found,Not_found,Not_found
3300020512-bin_21,Not_found,Not_found,Not_found,Not_found
3300020539-bin_2,Not_found,Not_found,Not_found,Not_found
3300020520-bin_11,Not_found,Not_found,Not_found,Not_found
3300020517-bin_16,Not_found,Not_found,Not_found,Not_found
3300020546-bin_23,Not_found,Not_found,Not_found,Not_found
3300020538-bin_12,Not_found,Not_found,Not_found,Not_found
3300020497-bin_30,Not_found,Not_found,Not_found,Not_found
3300020575-bin_25,Not_found,Not_found,Not_found,Not_found
3300020495-bin_7,Not_found,Not_found,Not_found,Not_found
3300020540-bin_12,Not_found,Not_found,Not_found,Not_found
3300020570-bin_4,Ga0208465_1000178_9,Not_found,Outer_Surface_MHC,Not_found
3300021140-bin_33,Not_found,Not_found,Not_found,Not_found
3300020557-bin_14,Not_found,Not_found,Not_found,Not_found
3300020509-bin_4,Not_found,Not_found,Not_found,Not_found
3300020534-bin_11,Ga0208596_1004103_1,Not_found,Outer_Surface_MHC,Not_found
3300020551-bin_8,Not_found,Not_found,Not_found,Not_found
3300020497-bin_31,Not_found,Not_found,Not_found,Not_found
3300020548-bin_6,Not_found,Not_found,Not_found,Not_found
3300020572-bin_37,Ga0207909_1003710_4,Not_found,Outer_Surface_MHC,Not_found
3300020500-bin_11,Not_found,Not_found,Not_found,Not_found
