MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC
Ki3-D2_megahit_metabat_bin-1183,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-1512,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-1421,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-1015,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-2344,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-0874,bin-0874:144/363_3,DFE_0449,Outer_Surface_MHC,Not_found
Ki3-D2_megahit_metabat_bin-0817,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-0790,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-0086,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-1049,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-0226,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-1151,bin-1151:041/371_9,sulfocyanin,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-2140,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-0816,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-2120,bin-2120:140/279_8,ImcH,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-2120,bin-2120:034/279_18,CbcL,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-2120,bin-2120:140/279_4,DFE_0461,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-0926,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-2419,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-1369,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-0709,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-1505,bin-1505:311/379_2,Cyc2_repCluster2,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-1505,bin-1505:141/379_2,EetA,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-1505,bin-1505:317/379_3,DFE_0449,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-1423,Not_found,Not_found,Not_found,Not_found
Ki3-D2_megahit_metabat_bin-0043,Not_found,Not_found,Not_found,Not_found
