MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
2582580674,0,0,0,0,0
2593339191,0,0,0,0,0
2593339184,0,0,0,0,0
2582580699,0,0,0,0,0
2582580675,0,0,0,0,0
2593339185,0,0,0,0,0
2582580698,0,0,0,0,0
2582580663,0,0,0,0,0
2593339186,0,0,0,0,0
2582580662,4,1,2,1,0
2593339192,0,0,0,0,0
2582580677,0,0,0,0,0
2582580671,0,0,0,0,0
2582580689,21,3,9,7,2
2582580664,1,0,1,0,0
2593339179,2,0,1,0,1
2593339181,0,0,0,0,0
2582580670,0,0,0,0,0
2582580688,0,0,0,0,0
2582580665,2,0,2,0,0
2593339178,0,0,0,0,0
2593339180,0,0,0,0,0
2593339183,1,0,1,0,0
2582580658,0,0,0,0,0
2582580708,0,0,0,0,0
2582580673,2,0,2,0,0
2582580659,0,0,0,0,0
2582580709,0,0,0,0,0
2593339182,0,0,0,0,0
2582580672,2,0,2,0,0
2582580686,0,0,0,0,0
2582580705,0,0,0,0,0
2582580693,0,0,0,0,0
2593339176,0,0,0,0,0
2582580711,0,0,0,0,0
2588253500,0,0,0,0,0
2582580687,3,1,0,2,0
2582580692,0,0,0,0,0
2593339177,0,0,0,0,0
2582580704,0,0,0,0,0
2582580654,2,0,2,0,0
2582580657,0,0,0,0,0
2582580707,0,0,0,0,0
2582580669,0,0,0,0,0
2582580691,0,0,0,0,0
2582580684,0,0,0,0,0
2582580712,0,0,0,0,0
2582580668,3,0,2,0,1
2582580690,0,0,0,0,0
2582580706,0,0,0,0,0
2582580685,1,0,1,0,0
2582580683,0,0,0,0,0
2582580700,0,0,0,0,0
2582580714,0,0,0,0,0
2582580682,0,0,0,0,0
2582580697,5,1,2,2,0
2582580651,0,0,0,0,0
2582580701,0,0,0,0,0
2582580702,6,0,2,0,4
2582580652,0,0,0,0,0
2582580694,1,0,1,0,0
2582580679,0,0,0,0,0
2582580695,6,1,1,4,0
2582580703,0,0,0,0,0
2582580653,2,0,2,0,0
2582580680,1,0,1,0,0
