MAG,orf,FeGenie_HMM,Shaomei_Type
MJ110712A_megahit_metabat_bin-318,bin-318:406/440_3,Cyc1,Not found
MJ110712A_megahit_metabat_bin-318,bin-318:406/440_4,Cyc2_repCluster2,Not found
MJ110712A_megahit_metabat_bin-318,bin-318:189/440_6,CbcL,Not found
MJ110712A_megahit_metabat_bin-318,bin-318:342/440_4,CbcB,Not found
MJ110712A_megahit_metabat_bin-318,bin-318:189/440_1,DFE_0449,Not found
MJ110712A_megahit_metabat_bin-318,bin-318:365/440_2,MtoA,Periplasmic MHC in PCC
MJ110712A_megahit_metabat_bin-318,bin-318:365/440_3,MtrB_TIGR03509,Not found
MJ110712A_megahit_metabat_bin-318,bin-318:365/440_4,MtrC_TIGR03507,Outer Surface MHC
MJ110712A_megahit_metabat_bin-262,Not found,Not found,Not found
MJ110712A_megahit_metabat_bin-004,bin-004:080/283_6,Cyc2_repCluster2,Not found
MJ110712A_megahit_metabat_bin-004,bin-004:089/283_8,Not found,Outer Surface MHC
MJ110712A_megahit_metabat_bin-004,bin-004:161/283_11,Not found,Outer Surface MHC
MJ110712A_megahit_metabat_bin-575,bin-575:211/887_5,CbcB,Not found
MJ110712A_megahit_metabat_bin-575,bin-575:035/887_1,MtrB_TIGR03509,Not found
MJ110712A_megahit_metabat_bin-575,bin-575:209/887_2,DFE_0462,Outer Surface MHC in PCC
MJ110712A_megahit_metabat_bin-575,bin-575:401/887_2,MtoA,Not found
MJ110712A_megahit_metabat_bin-575,bin-575:482/887_2,MtoA,Not found
MJ110712A_megahit_metabat_bin-575,bin-575:592/887_1,MtoA,Not found
MJ110712A_megahit_metabat_bin-575,bin-575:209/887_1,Not found,PCC porin
MJ110712A_megahit_metabat_bin-184,Not found,Not found,Not found
MJ110712A_megahit_metabat_bin-450,Not found,Not found,Not found
MJ110712A_megahit_metabat_bin-039,Not found,Not found,Not found
MJ110712A_megahit_metabat_bin-261,bin-261:297/966_1,Cyc2_repCluster2,Not found
MJ110712A_megahit_metabat_bin-261,bin-261:663/966_2,CbcL,Not found
MJ110712A_megahit_metabat_bin-261,bin-261:366/966_4,CbcL,Not found
MJ110712A_megahit_metabat_bin-261,bin-261:171/966_2,MtoA,Not found
MJ110712A_megahit_metabat_bin-261,bin-261:284/966_1,MtrC_TIGR03507,Outer Surface MHC
MJ110712A_megahit_metabat_bin-261,bin-261:360/966_1,MtrC_TIGR03507,Outer Surface MHC
MJ110712A_megahit_metabat_bin-261,bin-261:360/966_2,MtoA,Periplasmic MHC in PCC
MJ110712A_megahit_metabat_bin-261,bin-261:496/966_2,DFE_0449,Not found
MJ110712A_megahit_metabat_bin-261,bin-261:592/966_1,DFE_0462,Outer Surface MHC
MJ110712A_megahit_metabat_bin-120,Not found,Not found,Not found
