MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC,Within80
E5_megahit_metabat_bin-153,bin-153:035/442_21,ExtB_porin,PCC_porin,Not_found,Irrelevant
E5_megahit_metabat_bin-153,bin-153:035/442_22,ExtC_pcc_lp_cyt,Outer_Surface_MHC_in_PCC,Not_found,ExtC_pcc_lp_cyt&Outer_Surface_MHC_in_PCC&,
E5_megahit_metabat_bin-153,bin-153:079/442_5,CbcA,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-153,bin-153:079/442_6,CbcB,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-153,bin-153:373/442_11,DFE_0462,Outer_Surface_MHC,Not_found,DFE_0462&Outer_Surface_MHC&,
E5_megahit_metabat_bin-153,bin-153:373/442_14,DFE_0462,Outer_Surface_MHC,Not_found,DFE_0462&Outer_Surface_MHC&,
E5_megahit_metabat_bin-153,bin-153:373/442_15,DFE_0463,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-153,bin-153:373/442_16,DFE_0461,Periplasmic_MHC_in_PCC,Not_found,DFE_0461&Periplasmic_MHC_in_PCC&,
E5_megahit_metabat_bin-153,bin-153:025/442_1,ImcH,Not_found,Not_found,ImcH&,
E5_megahit_metabat_bin-153,bin-153:115/442_2,ImcH,Not_found,Not_found,ImcH&,
E5_megahit_metabat_bin-153,bin-153:115/442_7,CbcL,Not_found,Not_found,CbcL&,
E5_megahit_metabat_bin-153,bin-153:035/442_23,640549328_YP_001230600_{omc}_cytochrome_C_family_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483],Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-153,bin-153:061/442_7,DFE_0448,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-153,bin-153:079/442_7,,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-153,bin-153:100/442_17,DFE_0462,Outer_Surface_MHC,Not_found,DFE_0462&Outer_Surface_MHC&,
E5_megahit_metabat_bin-153,bin-153:233/442_39,DFE_0448,Not_found,Not_found,Irrelevant
E5_megahit_metabat_bin-153,bin-153:373/442_9,,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-153,bin-153:100/442_18,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-153,bin-153:100/442_19,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-153,bin-153:100/442_20,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-153,bin-153:159/442_27,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-153,bin-153:196/442_18,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-153,bin-153:316/442_5,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-153,bin-153:356/442_24,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
E5_megahit_metabat_bin-153,bin-153:373/442_7,Not_found,Outer_Surface_MHC,Not_found,Outer_Surface_MHC&,
