MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
E2_megahit_metabat_bin-517,0,0,0,0,0
E2_megahit_metabat_bin-192,0,0,0,0,0
E2_megahit_metabat_bin-827,0,0,0,0,0
E2_megahit_metabat_bin-705,0,0,0,0,0
E2_megahit_metabat_bin-331,0,0,0,0,0
E2_megahit_metabat_bin-142,0,0,0,0,0
E2_megahit_metabat_bin-826,0,0,0,0,0
E2_megahit_metabat_bin-687,0,0,0,0,0
E2_megahit_metabat_bin-420,0,0,0,0,0
E2_megahit_metabat_bin-493,0,0,0,0,0
E2_megahit_metabat_bin-454,0,0,0,0,0
E2_megahit_metabat_bin-410,0,0,0,0,0
E2_megahit_metabat_bin-744,0,0,0,0,0
E2_megahit_metabat_bin-858,0,0,0,0,0
E2_megahit_metabat_bin-176,0,0,0,0,0
E2_megahit_metabat_bin-240,0,0,0,0,0
E2_megahit_metabat_bin-724,0,0,0,0,0
E2_megahit_metabat_bin-470,0,0,0,0,0
E2_megahit_metabat_bin-139,2,0,2,0,0
E2_megahit_metabat_bin-611,0,0,0,0,0
E2_megahit_metabat_bin-848,0,0,0,0,0
E2_megahit_metabat_bin-462,0,0,0,0,0
E2_megahit_metabat_bin-363,0,0,0,0,0
E2_megahit_metabat_bin-023,0,0,0,0,0
E2_megahit_metabat_bin-803,0,0,0,0,0
E2_megahit_metabat_bin-613,0,0,0,0,0
