MAG,orf,FeGenie_HMM,Shaomei_Type
UppL6_megahit_metabat_bin-1098,Not found,Not found,Not found
UppL6_megahit_metabat_bin-0545,bin-0545:472/556_5,DFE_0462,Outer Surface MHC
UppL6_megahit_metabat_bin-1125,Not found,Not found,Not found
UppL6_megahit_metabat_bin-1570,bin-1570:372/526_2,Cyc1,Not found
UppL6_megahit_metabat_bin-1570,bin-1570:372/526_3,Cyc2_repCluster2,Not found
UppL6_megahit_metabat_bin-0160,Not found,Not found,Not found
UppL6_megahit_metabat_bin-0256,bin-0256:0718/2120_3,sulfocyanin,Not found
UppL6_megahit_metabat_bin-0256,bin-0256:0308/2120_1,DFE_0449,Not found
UppL6_megahit_metabat_bin-0256,bin-0256:1845/2120_1,MtoA,Not found
UppL6_megahit_metabat_bin-0256,bin-0256:0414/2120_1,Not found,Outer Surface MHC
UppL6_megahit_metabat_bin-0256,bin-0256:0622/2120_1,Not found,Outer Surface MHC
UppL6_megahit_metabat_bin-0046,Not found,Not found,Not found
UppL6_megahit_metabat_bin-0718,bin-0718:124/140_98,CbcL,Not found
UppL6_megahit_metabat_bin-0718,bin-0718:124/140_99,ImcH,Not found
UppL6_megahit_metabat_bin-0718,bin-0718:124/140_96,DFE_0461,Not found
UppL6_megahit_metabat_bin-1833,bin-1833:25/79_1,Not found,Outer Surface MHC
UppL6_megahit_metabat_bin-1833,bin-1833:72/79_62,Not found,Outer Surface MHC
UppL6_megahit_metabat_bin-1620,Not found,Not found,Not found
UppL6_megahit_metabat_bin-1277,Not found,Not found,Not found
UppL6_megahit_metabat_bin-0870,bin-0870:132/281_2,MtoA,Not found
UppL6_megahit_metabat_bin-1607,Not found,Not found,Not found
UppL6_megahit_metabat_bin-1862,Not found,Not found,Not found
UppL6_megahit_metabat_bin-0320,Not found,Not found,Not found
UppL6_megahit_metabat_bin-0368,Not found,Not found,Not found
UppL6_megahit_metabat_bin-1020,bin-1020:016/273_4,EetA,Not found
UppL6_megahit_metabat_bin-1020,bin-1020:016/273_5,EetB,Not found
UppL6_megahit_metabat_bin-0131,bin-0131:0808/1210_2,MtoA,Not found
UppL6_megahit_metabat_bin-0131,bin-0131:0808/1210_3,MtrB_TIGR03509,Not found
UppL6_megahit_metabat_bin-0131,bin-0131:0771/1210_2,CbcL,Not found
UppL6_megahit_metabat_bin-0131,bin-0131:0835/1210_4,MtrB_TIGR03509,Not found
UppL6_megahit_metabat_bin-0131,bin-0131:0835/1210_5,MtoA,Periplasmic MHC in PCC
UppL6_megahit_metabat_bin-0131,bin-0131:0835/1210_6,MtrC_TIGR03507,Outer Surface MHC
UppL6_megahit_metabat_bin-0192,bin-0192:153/680_2,ImcH,Not found
UppL6_megahit_metabat_bin-0192,bin-0192:393/680_3,DFE_0462,Not found
UppL6_megahit_metabat_bin-0192,bin-0192:255/680_2,Not found,Outer Surface MHC
UppL6_megahit_metabat_bin-1026,Not found,Not found,Not found
UppL6_megahit_metabat_bin-0833,Not found,Not found,Not found
UppL6_megahit_metabat_bin-1954,Not found,Not found,Not found
UppL6_megahit_metabat_bin-1600,bin-1600:237/377_2,DFE_0461,Not found
UppL6_megahit_metabat_bin-1161,bin-1161:06/85_27,MtoA,Not found
UppL6_megahit_metabat_bin-1161,bin-1161:06/85_28,MtrB_TIGR03509,Not found
UppL6_megahit_metabat_bin-1161,bin-1161:06/85_29,CymA,Not found
UppL6_megahit_metabat_bin-1080,bin-1080:474/883_4,DFE_0462,Outer Surface MHC
UppL6_megahit_metabat_bin-1080,bin-1080:847/883_1,MtrC_TIGR03507,Outer Surface MHC
UppL6_megahit_metabat_bin-1235,bin-1235:044/143_3,Cyc2_repCluster1,Not found
UppL6_megahit_metabat_bin-1365,Not found,Not found,Not found
