MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC
Ja2-D2_megahit_metabat_bin-0558,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0194,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0626,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0179,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0748,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0074,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0195,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0504,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-1042,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0512,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0717,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0258,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0703,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0062,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0001,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0331,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0450,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-1116,bin-1116:308/389_1,Not_found,Outer_Surface_MHC,Not_found
Ja2-D2_megahit_metabat_bin-0217,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0948,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0216,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0963,bin-0963:075/408_2,sulfocyanin,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0140,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0529,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0707,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0344,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-1045,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0446,bin-0446:393/573_2,DFE_0461,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0382,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0453,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0109,bin-0109:014/151_19,DFE_0462,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0824,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0430,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0495,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0283,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0023,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0092,bin-0092:249/698_2,MtrB_TIGR03509,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0092,bin-0092:249/698_3,MtoA,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-1133,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0104,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0994,bin-0994:147/177_12,CymA,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0994,bin-0994:147/177_13,MtrB_TIGR03509,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0994,bin-0994:147/177_14,MtoA,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0043,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0462,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0366,bin-0366:062/441_2,sulfocyanin,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0366,bin-0366:038/441_1,sulfocyanin,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0556,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0984,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0117,Not_found,Not_found,Not_found,Not_found
Ja2-D2_megahit_metabat_bin-0554,Not_found,Not_found,Not_found,Not_found
