MAG,orf,FeGenie_HMM,Shaomei_Type
E-1_megahit_metabat_bin-309,bin-309:091/197_9,Cyc1,Not found
E-1_megahit_metabat_bin-309,bin-309:091/197_10,Cyc2_repCluster2,Not found
E-1_megahit_metabat_bin-309,bin-309:113/197_1,EetB,Not found
E-1_megahit_metabat_bin-309,bin-309:113/197_2,EetA,Not found
E-1_megahit_metabat_bin-309,bin-309:188/197_23,EetB,Not found
E-1_megahit_metabat_bin-197,Not found,Not found,Not found
E-1_megahit_metabat_bin-002,Not found,Not found,Not found
E-1_megahit_metabat_bin-369,bin-369:383/659_1,Cyc2_repCluster2,Not found
E-1_megahit_metabat_bin-369,bin-369:631/659_1,Cyc2_repCluster2,Not found
E-1_megahit_metabat_bin-437,Not found,Not found,Not found
E-1_megahit_metabat_bin-003,Not found,Not found,Not found
E-1_megahit_metabat_bin-075,bin-075:106/135_3,Cyc2_repCluster1,Not found
E-1_megahit_metabat_bin-075,bin-075:108/135_65,Cyc2_repCluster3,Not found
E-1_megahit_metabat_bin-075,bin-075:112/135_49,DFE_0461,Not found
E-1_megahit_metabat_bin-066,Not found,Not found,Not found
E-1_megahit_metabat_bin-108,Not found,Not found,Not found
E-1_megahit_metabat_bin-187,Not found,Not found,Not found
E-1_megahit_metabat_bin-192,Not found,Not found,Not found
E-1_megahit_metabat_bin-137,bin-137:531/574_1,Cyc2_repCluster2,Not found
E-1_megahit_metabat_bin-262,Not found,Not found,Not found
E-1_megahit_metabat_bin-331,Not found,Not found,Not found
E-1_megahit_metabat_bin-168,Not found,Not found,Not found
E-1_megahit_metabat_bin-112,Not found,Not found,Not found
E-1_megahit_metabat_bin-164,Not found,Not found,Not found
E-1_megahit_metabat_bin-068,bin-068:009/166_2,Cyc2_repCluster2,Not found
E-1_megahit_metabat_bin-068,bin-068:009/166_3,Cyc1,Not found
E-1_megahit_metabat_bin-055,Not found,Not found,Not found
E-1_megahit_metabat_bin-301,Not found,Not found,Not found
E-1_megahit_metabat_bin-227,bin-227:155/171_8,Cyc2_repCluster3,Not found
E-1_megahit_metabat_bin-227,bin-227:049/171_52,Cyc2_repCluster3,Not found
E-1_megahit_metabat_bin-227,bin-227:029/171_36,Cyc2_repCluster3,Not found
E-1_megahit_metabat_bin-161,bin-161:063/536_2,Cyc2_repCluster2,Not found
E-1_megahit_metabat_bin-175,bin-175:276/680_4,Cyc2_repCluster2,Not found
E-1_megahit_metabat_bin-103,Not found,Not found,Not found
E-1_megahit_metabat_bin-286,Not found,Not found,Not found
E-1_megahit_metabat_bin-241,Not found,Not found,Not found
