MAG,orf,FeGenie_HMM,Shaomei_Type
Erken-D6_megahit_metabat_bin-0632,Not_found,Not_found,Not_found
Erken-D6_megahit_metabat_bin-0098,Not_found,Not_found,Not_found
Erken-D6_megahit_metabat_bin-0492,Not_found,Not_found,Not_found
Erken-D6_megahit_metabat_bin-0809,bin-0809:395/646_6,CbcL,Not_found
Erken-D6_megahit_metabat_bin-0809,bin-0809:329/646_1,637778189_YP_383877_{omc}_hypothetical_protein_[Geobacter_metallireducens_GS-15:_NC_007517],Not_found
Erken-D6_megahit_metabat_bin-0809,bin-0809:329/646_2,642557020_CAJ74788_{pc}_hypothetical_multiheme_cytochrome_c_protein_[Kuenenia_stuttgartiensis_genome_fragment_KUST_E_(5_of_5).:_CT573071],Outer_Surface_MHC_in_PCC
Erken-D6_megahit_metabat_bin-0809,bin-0809:329/646_3,642557019_CAJ74787_{porin}_unknown_protein_[Kuenenia_stuttgartiensis_genome_fragment_KUST_E_(5_of_5).:_CT573071],PCC_porin
Erken-D6_megahit_metabat_bin-0809,bin-0809:366/646_4,DFE_0449,Outer_Surface_MHC
Erken-D6_megahit_metabat_bin-0809,bin-0809:395/646_4,DFE_0462,Not_found
Erken-D6_megahit_metabat_bin-0809,bin-0809:395/646_5,DFE_0449,Not_found
Erken-D6_megahit_metabat_bin-0809,bin-0809:643/646_1,DFE_0449,Outer_Surface_MHC
Erken-D6_megahit_metabat_bin-0809,bin-0809:049/646_2,Not_found,Outer_Surface_MHC
Erken-D6_megahit_metabat_bin-0809,bin-0809:055/646_5,Not_found,Outer_Surface_MHC
Erken-D6_megahit_metabat_bin-0809,bin-0809:298/646_1,Not_found,Outer_Surface_MHC
Erken-D6_megahit_metabat_bin-1056,bin-1056:471/700_3,Not_found,Outer_Surface_MHC
Erken-D6_megahit_metabat_bin-1056,bin-1056:650/700_5,Not_found,Outer_Surface_MHC
Erken-D6_megahit_metabat_bin-0239,Not_found,Not_found,Not_found
Erken-D6_megahit_metabat_bin-0062,Not_found,Not_found,Not_found
Erken-D6_megahit_metabat_bin-0695,Not_found,Not_found,Not_found
Erken-D6_megahit_metabat_bin-0322,Not_found,Not_found,Not_found
