MAG,orf,FeGenie_HMM,Shaomei_Type
3300025578-bin_22,Not found,Not found,Not found
3300025591-bin_2,Ga0208496_1000252_8,MtrB_TIGR03509,Not found
3300025591-bin_2,Ga0208496_1000252_9,MtoA,Not found
3300025591-bin_2,Ga0208496_1002799_2,Cyc2_repCluster2,Not found
3300025616-bin_8,Ga0208613_1000208_3,CymA,Not found
3300025616-bin_8,Ga0208613_1000208_7,Cyc1,Not found
3300025616-bin_8,Ga0208613_1003437_1,Cyc2_repCluster2,Not found
3300025616-bin_8,Ga0208613_1003437_2,Cyc1,Not found
3300025616-bin_8,Ga0208613_1000093_31,CbcL,Not found
3300025616-bin_8,Ga0208613_1000362_12,DFE_0461,Periplasmic MHC in PCC
3300025616-bin_8,Ga0208613_1000362_13,MtrC_TIGR03507,Outer Surface MHC
3300025616-bin_8,Ga0208613_1000362_14,MtoA,Periplasmic MHC in PCC
3300025616-bin_8,Ga0208613_1000646_1,DFE_0449,Outer Surface MHC in PCC
3300025616-bin_8,Ga0208613_1000646_7,DFE_0462,Outer Surface MHC in PCC
3300025616-bin_8,Ga0208613_1001174_4,MtrC_TIGR03507,Outer Surface MHC
3300025616-bin_8,Ga0208613_1001174_5,MtrB_TIGR03509,Not found
3300025616-bin_8,Ga0208613_1002780_3,DFE_0461,Periplasmic MHC in PCC
3300025616-bin_8,Ga0208613_1002780_4,MtrC_TIGR03507,Outer Surface MHC
3300025616-bin_8,Ga0208613_1005596_3,MtoA,Not found
3300025616-bin_8,Ga0208613_1006135_1,MtrC_TIGR03507,Outer Surface MHC
3300025616-bin_8,Ga0208613_1006271_2,MtoA,Not found
3300025616-bin_8,Ga0208613_1000646_6,Not found,PCC porin
3300025476-bin_4,Ga0208495_1000097_6,CbcL,Not found
3300025606-bin_3,Not found,Not found,Not found
3300025578-bin_21,Not found,Not found,Not found
3300025595-bin_10,Ga0208248_1000033_26,Cyc2_repCluster1,Not found
3300025595-bin_10,Ga0208248_1000088_5,MtoA,Not found
3300025595-bin_10,Ga0208248_1000088_6,MtrB_TIGR03509,Not found
3300025595-bin_10,Ga0208248_1000088_7,CymA,Not found
3300025595-bin_10,Ga0208248_1000018_41,EetA,Not found
3300025595-bin_10,Ga0208248_1000018_42,EetB,Not found
3300025591-bin_10,Not found,Not found,Not found
3300025476-bin_5,Not found,Not found,Not found
3300025376-bin_1,Not found,Not found,Not found
3300025591-bin_28,Not found,Not found,Not found
3300025455-bin_8,Ga0208376_1001006_5,DFE_0449,Not found
3300025455-bin_8,Ga0208376_1000570_4,Not found,Outer Surface MHC
3300025578-bin_31,Not found,Not found,Not found
3300025616-bin_14,Ga0208613_1000381_11,ImcH,Outer Surface MHC in PCC
3300025616-bin_14,Ga0208613_1000381_12,CbcL,Not found
3300025616-bin_14,Ga0208613_1000381_13,CbcL,Not found
3300025616-bin_14,Ga0208613_1000381_2,643638980 YP_002537145 {omc} hypothetical protein [Geobacter sp. FRC-32: NC_011979],Outer Surface MHC in PCC
3300025616-bin_14,Ga0208613_1000381_3,642557019 CAJ74787 {porin} unknown protein [Kuenenia stuttgartiensis genome fragment KUST_E (5 of 5).: CT573071],PCC porin
3300025476-bin_1,Not found,Not found,Not found
3300025606-bin_19,Not found,Not found,Not found
3300025595-bin_18,Ga0208248_1001565_1,CbcL,Not found
3300025595-bin_18,Ga0208248_1001565_2,CbcL,Not found
3300025595-bin_18,Ga0208248_1000160_8,637127415 NP_953769 {omc} cytochrome c family protein [Geobacter sulfurreducens PCA: NC_002939],Outer Surface MHC in PCC
3300025595-bin_18,Ga0208248_1000160_7,MtrC_TIGR03507,Outer Surface MHC in PCC
3300025595-bin_18,Ga0208248_1000160_10,Not found,PCC porin
3300025595-bin_18,Ga0208248_1000160_9,Not found,Outer Surface MHC in PCC
3300025595-bin_18,Ga0208248_1000235_13,Not found,Outer Surface MHC
3300025595-bin_18,Ga0208248_1003450_1,Not found,Outer Surface MHC
3300025595-bin_18,Ga0208248_1002011_3,Not found,Outer Surface MHC
3300025532-bin_18,Not found,Not found,Not found
3300025616-bin_19,Ga0208613_1000525_3,Cyc2_repCluster2,Not found
3300025616-bin_19,Ga0208613_1000525_4,Cyc1,Not found
3300025616-bin_19,Ga0208613_1006420_3,MtrB_TIGR03509,Not found
3300025447-bin_8,Ga0208102_1000060_51,CbcL,Not found
3300025447-bin_8,Ga0208102_1000150_18,ImcH,Outer Surface MHC
3300025447-bin_8,Ga0208102_1000039_23,DFE_0449,Periplasmic MHC in PCC
3300025447-bin_8,Ga0208102_1000039_24,DFE_0449,Outer Surface MHC
3300025447-bin_8,Ga0208102_1000030_22,Not found,Outer Surface MHC
3300025447-bin_9,Ga0208102_1000012_47,ImcH,Not found
3300025447-bin_9,Ga0208102_1000042_2,DFE_0448,Not found
3300025447-bin_9,Ga0208102_1000081_24,DFE_0449,Periplasmic MHC in PCC
3300025447-bin_9,Ga0208102_1000081_25,DFE_0449,Outer Surface MHC
3300025447-bin_9,Ga0208102_1000087_29,Not found,Outer Surface MHC
3300025591-bin_18,Not found,Not found,Not found
3300025455-bin_4,Ga0208376_1001384_9,Cyc1,Not found
3300025455-bin_4,Ga0208376_1001384_10,Cyc2_repCluster2,Not found
3300025532-bin_25,Ga0208249_1004011_3,Not found,Outer Surface MHC
3300025532-bin_3,Not found,Not found,Not found
3300025455-bin_5,Ga0208376_1000284_8,CbcL,Not found
3300025455-bin_5,Ga0208376_1000355_1,Cyc2_repCluster2,Not found
3300025455-bin_5,Ga0208376_1000411_13,MtrC_TIGR03507,Outer Surface MHC
3300025455-bin_5,Ga0208376_1000753_3,EetB,Not found
3300025455-bin_5,Ga0208376_1000881_1,DFE_0462,Outer Surface MHC
3300025455-bin_5,Ga0208376_1000881_2,DFE_0449,Periplasmic MHC in PCC
3300025455-bin_5,Ga0208376_1002609_1,DFE_0462,Outer Surface MHC
3300025455-bin_5,Ga0208376_1002609_2,DFE_0449,Periplasmic MHC in PCC
3300025455-bin_5,Ga0208376_1003360_4,DFE_0449,Not found
3300025455-bin_5,Ga0208376_1004131_3,MtoA,Outer Surface MHC
3300025455-bin_5,Ga0208376_1007136_2,MtoA,Not found
3300025455-bin_5,Ga0208376_1001521_3,Not found,Outer Surface MHC
3300025476-bin_8,Ga0208495_1003697_1,Cyc2_repCluster2,Not found
3300025476-bin_8,Ga0208495_1001997_1,Cyc2_repCluster2,Not found
3300025476-bin_8,Ga0208495_1000845_10,Cyc2_repCluster2,Not found
3300025476-bin_8,Ga0208495_1001995_4,CbcL,Not found
3300025436-bin_14,Ga0208103_1000097_37,DFE_0463,Not found
3300025436-bin_14,Ga0208103_1000097_38,DFE_0462,Outer Surface MHC
3300025436-bin_14,Ga0208103_1000097_43,DFE_0462,Periplasmic MHC in PCC
3300025436-bin_14,Ga0208103_1000097_45,DFE_0461,Periplasmic MHC in PCC
3300025436-bin_14,Ga0208103_1000108_27,ImcH,Outer Surface MHC
3300025436-bin_14,Ga0208103_1000251_7,CbcL,Not found
3300025436-bin_14,Ga0208103_1000008_109,DFE_0449,Periplasmic MHC in PCC
3300025436-bin_14,Ga0208103_1000008_110,DFE_0449,Outer Surface MHC
3300025436-bin_14,Ga0208103_1000026_70,Not found,Outer Surface MHC
3300025436-bin_14,Ga0208103_1001372_6,Not found,Outer Surface MHC
3300025370-bin_3,Not found,Not found,Not found
3300025476-bin_16,Ga0208495_1000958_1,CbcB,Not found
3300025476-bin_16,Ga0208495_1000796_4,EetB,Not found
3300025476-bin_16,Ga0208495_1000796_5,EetA,Not found
3300025455-bin_10,Ga0208376_1000550_12,CymA,Not found
3300025455-bin_10,Ga0208376_1000550_13,MtrB_TIGR03509,Not found
3300025455-bin_10,Ga0208376_1000550_14,MtoA,Not found
3300025455-bin_10,Ga0208376_1000800_10,MtoA,Not found
3300025591-bin_34,Ga0208496_1000006_57,Cyc2_repCluster2,Not found
3300025591-bin_34,Ga0208496_1000051_14,DFE_0461,Not found
3300025591-bin_34,Ga0208496_1000051_9,DFE_0461,Not found
