MAG,orf,FeGenie_HMM,Shaomei_Type
E1_megahit_metabat_bin-043,bin-043:153/496_6,Cyc2_repCluster2,Not found
E1_megahit_metabat_bin-106,Not found,Not found,Not found
E1_megahit_metabat_bin-875,Not found,Not found,Not found
E1_megahit_metabat_bin-784,bin-784:074/563_2,DFE_0461,Not found
E1_megahit_metabat_bin-416,Not found,Not found,Not found
E1_megahit_metabat_bin-458,Not found,Not found,Not found
E1_megahit_metabat_bin-208,Not found,Not found,Not found
E1_megahit_metabat_bin-838,Not found,Not found,Not found
E1_megahit_metabat_bin-628,bin-628:192/328_1,Cyc2_repCluster2,Not found
E1_megahit_metabat_bin-628,bin-628:192/328_2,Cyc1,Not found
E1_megahit_metabat_bin-210,bin-210:081/237_2,Cyc2_repCluster3,Not found
E1_megahit_metabat_bin-210,bin-210:005/237_23,Cyc2_repCluster3,Not found
E1_megahit_metabat_bin-210,bin-210:102/237_25,Cyc2_repCluster3,Not found
E1_megahit_metabat_bin-308,Not found,Not found,Not found
E1_megahit_metabat_bin-127,Not found,Not found,Not found
E1_megahit_metabat_bin-436,Not found,Not found,Not found
E1_megahit_metabat_bin-271,Not found,Not found,Not found
E1_megahit_metabat_bin-186,bin-186:065/255_1,EetB,Not found
E1_megahit_metabat_bin-186,bin-186:065/255_2,EetA,Not found
E1_megahit_metabat_bin-186,bin-186:130/255_1,EetB,Not found
E1_megahit_metabat_bin-830,bin-830:470/681_2,Cyc2_repCluster2,Not found
E1_megahit_metabat_bin-830,bin-830:470/681_3,Cyc1,Not found
E1_megahit_metabat_bin-187,bin-187:340/713_2,Cyc2_repCluster2,Not found
E1_megahit_metabat_bin-187,bin-187:486/713_1,Cyc2_repCluster2,Not found
E1_megahit_metabat_bin-766,Not found,Not found,Not found
E1_megahit_metabat_bin-184,Not found,Not found,Not found
E1_megahit_metabat_bin-217,bin-217:071/149_34,Cyc2_repCluster3,Not found
E1_megahit_metabat_bin-217,bin-217:135/149_1,Cyc2_repCluster1,Not found
E1_megahit_metabat_bin-217,bin-217:052/149_20,DFE_0461,Not found
E1_megahit_metabat_bin-395,Not found,Not found,Not found
