MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
T7-022_megahit_metabat_bin-222,0,0,0,0,0
T7-022_megahit_metabat_bin-045,4,1,2,1,0
T7-022_megahit_metabat_bin-310,3,1,0,2,0
T7-022_megahit_metabat_bin-591,0,0,0,0,0
T7-022_megahit_metabat_bin-293,0,0,0,0,0
T7-022_megahit_metabat_bin-407,0,0,0,0,0
T7-022_megahit_metabat_bin-031,0,0,0,0,0
T7-022_megahit_metabat_bin-079,1,0,1,0,0
T7-022_megahit_metabat_bin-463,0,0,0,0,0
T7-022_megahit_metabat_bin-281,0,0,0,0,0
T7-022_megahit_metabat_bin-120,2,0,1,0,1
T7-022_megahit_metabat_bin-228,0,0,0,0,0
T7-022_megahit_metabat_bin-483,0,0,0,0,0
T7-022_megahit_metabat_bin-548,2,1,0,1,0
T7-022_megahit_metabat_bin-169,0,0,0,0,0
T7-022_megahit_metabat_bin-396,0,0,0,0,0
T7-022_megahit_metabat_bin-248,0,0,0,0,0
T7-022_megahit_metabat_bin-369,3,1,0,2,0
T7-022_megahit_metabat_bin-565,0,0,0,0,0
T7-022_megahit_metabat_bin-570,0,0,0,0,0
