MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC,Within80
T8-5_megahit_metabat_bin-177,bin-177:586/755_1,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
T8-5_megahit_metabat_bin-177,bin-177:586/755_2,Cyc1,Not_found,Not_found,Irrelevant
T8-5_megahit_metabat_bin-177,bin-177:416/755_1,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
T8-5_megahit_metabat_bin-177,bin-177:287/755_1,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
T8-5_megahit_metabat_bin-177,bin-177:287/755_2,Cyc1,Not_found,Not_found,Irrelevant
T8-5_megahit_metabat_bin-177,bin-177:247/755_1,MtoA,Not_found,Not_found,MtoA&,
T8-5_megahit_metabat_bin-177,bin-177:247/755_2,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
T8-5_megahit_metabat_bin-177,bin-177:393/755_1,DFE_0461,Outer_Surface_MHC_in_PCC,Not_found,DFE_0461&Outer_Surface_MHC_in_PCC&,
T8-5_megahit_metabat_bin-177,bin-177:513/755_1,DFE_0461,Outer_Surface_MHC,Not_found,DFE_0461&Outer_Surface_MHC&,
T8-5_megahit_metabat_bin-177,bin-177:393/755_2,Not_found,PCC_porin,Not_found,Irrelevant
T8-5_megahit_metabat_bin-177,bin-177:056/755_1,Not_found,Outer_Surface_MHC,Not_found,DFE_0461&mtrC&Outer_Surface_MHC&Outer_Surface_MHC_in_PCC&,
T8-5_megahit_metabat_bin-162,Not_found,Not_found,Not_found,Not_found,Irrelevant
T8-5_megahit_metabat_bin-236,Not_found,Not_found,Not_found,Not_found,Irrelevant
T8-5_megahit_metabat_bin-234,bin-234:124/151_2,Cyc1,Not_found,Not_found,Irrelevant
T8-5_megahit_metabat_bin-234,bin-234:124/151_3,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
T8-5_megahit_metabat_bin-086,bin-086:215/226_13,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
T8-5_megahit_metabat_bin-086,bin-086:215/226_14,Cyc1,Not_found,Not_found,Irrelevant
T8-5_megahit_metabat_bin-086,bin-086:171/226_10,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
T8-5_megahit_metabat_bin-086,bin-086:027/226_27,CbcL,Outer_Surface_MHC_in_PCC,Not_found,CbcL&Outer_Surface_MHC&Outer_Surface_MHC_in_PCC&,
T8-5_megahit_metabat_bin-086,bin-086:027/226_26,Not_found,PCC_porin,Not_found,Irrelevant
T8-5_megahit_metabat_bin-055,Not_found,Not_found,Not_found,Not_found,Irrelevant
T8-5_megahit_metabat_bin-184,Not_found,Not_found,Not_found,Not_found,Irrelevant
T8-5_megahit_metabat_bin-109,bin-109:191/425_1,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
T8-5_megahit_metabat_bin-109,bin-109:191/425_2,Cyc1,Not_found,Not_found,Irrelevant
