MAG,orf,FeGenie_HMM,Shaomei_Type
M_DeepCast_100m_m2_072,M_DeepCast_100m_m2_072_Ga0194119_10000331_13,DFE_0461,Not found
M_DeepCast_100m_m2_072,M_DeepCast_100m_m2_072_Ga0194119_10000681_17,Not found,Outer Surface MHC
M_DeepCast_50m_m2_049,Not found,Not found,Not found
K_DeepCast_1200m_m2_272,Not found,Not found,Not found
M_surface_9_mx_152,M_surface_9_mx_152_TA2MahsurfametaG_9.148617.fna_Ga0194116_10020225_4,Not found,Outer Surface MHC
M_DeepCast_100m_m1_317,M_DeepCast_100m_m1_317_Ga0194119_10000450_11,Not found,Outer Surface MHC
M_DeepCast_100m_m2_214,Not found,Not found,Not found
K_Offshore_40m_mx_035,Not found,Not found,Not found
M_surface_10_m2_179,Not found,Not found,Not found
K_DeepCast_35m_m1_288,Not found,Not found,Not found
K_Offshore_40m_m1_069,Not found,Not found,Not found
K_DeepCast_65m_m1_015,Not found,Not found,Not found
K_Offshore_surface_m2_092,Not found,Not found,Not found
M_DeepCast_65m_m2_016,Not found,Not found,Not found
M_DeepCast_200m_m2_133,Not found,Not found,Not found
M_DeepCast_50m_m2_151,Not found,Not found,Not found
K_Offshore_80m_m1_220,K_Offshore_80m_m1_220_TA2KigOf80mmetaG_2.148612.fna_Ga0194132_10083704_1,FoxZ,Not found
K_DeepCast_300m_m2_067,K_DeepCast_300m_m2_067_TA2KigC300mmetaG_2.146194.fna_Ga0194111_10029732_1,CbcL,Not found
K_DeepCast_100m_m2_028,Not found,Not found,Not found
K_DeepCast_65m_m1_133,K_DeepCast_65m_m1_133_TA2KigCa65mmetaG_2.148650.fna_Ga0194128_10000054_71,DFE_0448,Not found
K_DeepCast_65m_m1_133,K_DeepCast_65m_m1_133_TA2KigCa65mmetaG_2.148650.fna_Ga0194128_10000505_55,EetA,Not found
M_surface_10_mx_236,Not found,Not found,Not found
K_DeepCast_150m_m2_048,Not found,Not found,Not found
K_Offshore_80m_m2_183,Not found,Not found,Not found
K_DeepCast_35m_m2_096,Not found,Not found,Not found
K_Offshore_80m_m2_048,Not found,Not found,Not found
K_DeepCast_150m_m1_388,K_DeepCast_150m_m1_388_TA2KigC150mmetaG_2.148641.assembled.fna_Ga0194126_10001352_20,Not found,Outer Surface MHC
K_DeepCast_150m_m2_126,K_DeepCast_150m_m2_126_TA2KigC150mmetaG_2.148641.assembled.fna_Ga0194126_10015581_5,DFE_0448,Not found
K_DeepCast_150m_m2_126,K_DeepCast_150m_m2_126_TA2KigC150mmetaG_2.148641.assembled.fna_Ga0194126_10015928_4,DFE_0449,Not found
K_DeepCast_150m_m2_126,K_DeepCast_150m_m2_126_TA2KigC150mmetaG_2.148641.assembled.fna_Ga0194126_10019052_5,FoxA,Not found
