MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
C-2_megahit_metabat_bin-466,0,0,0,0,0
C-2_megahit_metabat_bin-593,0,0,0,0,0
C-2_megahit_metabat_bin-031,0,0,0,0,0
C-2_megahit_metabat_bin-365,0,0,0,0,0
C-2_megahit_metabat_bin-235,0,0,0,0,0
C-2_megahit_metabat_bin-305,0,0,0,0,0
C-2_megahit_metabat_bin-489,0,0,0,0,0
C-2_megahit_metabat_bin-254,0,0,0,0,0
C-2_megahit_metabat_bin-400,0,0,0,0,0
C-2_megahit_metabat_bin-106,0,0,0,0,0
C-2_megahit_metabat_bin-245,0,0,0,0,0
C-2_megahit_metabat_bin-086,0,0,0,0,0
C-2_megahit_metabat_bin-073,0,0,0,0,0
C-2_megahit_metabat_bin-574,0,0,0,0,0
C-2_megahit_metabat_bin-248,0,0,0,0,0
C-2_megahit_metabat_bin-424,0,0,0,0,0
C-2_megahit_metabat_bin-503,0,0,0,0,0
C-2_megahit_metabat_bin-299,0,0,0,0,0
C-2_megahit_metabat_bin-071,0,0,0,0,0
C-2_megahit_metabat_bin-013,0,0,0,0,0
C-2_megahit_metabat_bin-334,0,0,0,0,0
C-2_megahit_metabat_bin-212,0,0,0,0,0
C-2_megahit_metabat_bin-124,0,0,0,0,0
C-2_megahit_metabat_bin-180,0,0,0,0,0
