MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC
Umea3p4_megahit_metabat_bin-0652,bin-0652:176/362_36,ImcH,Not_found,Not_found
Umea3p4_megahit_metabat_bin-0652,bin-0652:081/362_4,CbcL,Not_found,Not_found
Umea3p4_megahit_metabat_bin-0652,bin-0652:070/362_26,637127415_NP_953769_{omc}_cytochrome_c_family_protein_[Geobacter_sulfurreducens_PCA:_NC_002939],Outer_Surface_MHC_in_PCC,Not_found
Umea3p4_megahit_metabat_bin-0652,bin-0652:070/362_27,MtrC_TIGR03507,Outer_Surface_MHC_in_PCC,mtrC
Umea3p4_megahit_metabat_bin-0652,bin-0652:070/362_24,Not_found,PCC_porin,Not_found
Umea3p4_megahit_metabat_bin-0652,bin-0652:070/362_25,Not_found,Outer_Surface_MHC_in_PCC,Not_found
Umea3p4_megahit_metabat_bin-0652,bin-0652:055/362_7,Not_found,Outer_Surface_MHC,Not_found
Umea3p4_megahit_metabat_bin-0652,bin-0652:289/362_13,Not_found,Outer_Surface_MHC,Not_found
Umea3p4_megahit_metabat_bin-0564,bin-0564:323/627_5,ImcH,Not_found,Not_found
Umea3p4_megahit_metabat_bin-0564,bin-0564:281/627_2,CbcL,Not_found,Not_found
Umea3p4_megahit_metabat_bin-0564,bin-0564:287/627_1,CbcL,Not_found,Not_found
Umea3p4_megahit_metabat_bin-0564,bin-0564:113/627_3,642557019_CAJ74787_{porin}_unknown_protein_[Kuenenia_stuttgartiensis_genome_fragment_KUST_E_(5_of_5).:_CT573071],PCC_porin,Not_found
Umea3p4_megahit_metabat_bin-0564,bin-0564:113/627_4,642557020_CAJ74788_{pc}_hypothetical_multiheme_cytochrome_c_protein_[Kuenenia_stuttgartiensis_genome_fragment_KUST_E_(5_of_5).:_CT573071],Outer_Surface_MHC_in_PCC,Not_found
Umea3p4_megahit_metabat_bin-0564,bin-0564:113/627_2,Not_found,Outer_Surface_MHC_in_PCC,Not_found
Umea3p4_megahit_metabat_bin-1111,Not_found,Not_found,Not_found,Not_found
Umea3p4_megahit_metabat_bin-0630,bin-0630:358/496_17,CbcL,Not_found,Not_found
Umea3p4_megahit_metabat_bin-0630,bin-0630:358/496_18,CbcL,Not_found,Not_found
Umea3p4_megahit_metabat_bin-0630,bin-0630:358/496_19,CbcL,Not_found,Not_found
Umea3p4_megahit_metabat_bin-0630,bin-0630:358/496_20,CbcL,Not_found,Not_found
Umea3p4_megahit_metabat_bin-0630,bin-0630:293/496_3,CbcL,Periplasmic_MHC_in_PCC,Not_found
Umea3p4_megahit_metabat_bin-0630,bin-0630:345/496_15,DFE_0449,Not_found,Not_found
Umea3p4_megahit_metabat_bin-0630,bin-0630:358/496_15,DFE_0449,Not_found,Not_found
Umea3p4_megahit_metabat_bin-0630,bin-0630:495/496_8,DFE_0449,Not_found,Not_found
Umea3p4_megahit_metabat_bin-0630,bin-0630:293/496_5,Not_found,Periplasmic_MHC_in_PCC,Not_found
Umea3p4_megahit_metabat_bin-0630,bin-0630:293/496_8,Not_found,Outer_Surface_MHC,Not_found
Umea3p4_megahit_metabat_bin-0630,bin-0630:313/496_1,Not_found,Outer_Surface_MHC,Not_found
Umea3p4_megahit_metabat_bin-0821,bin-0821:105/225_4,MtrC_TIGR03507,Outer_Surface_MHC,mtrC
Umea3p4_megahit_metabat_bin-0821,bin-0821:105/225_5,MtrC_TIGR03507,Outer_Surface_MHC,mtrC
Umea3p4_megahit_metabat_bin-0821,bin-0821:105/225_6,MtrA,Periplasmic_MHC_in_PCC,Not_found
Umea3p4_megahit_metabat_bin-0821,bin-0821:105/225_7,MtrB_TIGR03509,Not_found,Not_found
