MAG,orf,FeGenie_HMM,Shaomei_Type
F-5_megahit_metabat_bin-091,bin-091:250/591_4,Cyc2_repCluster3,Not found
F-5_megahit_metabat_bin-091,bin-091:084/591_3,Cyc2_repCluster1,Not found
F-5_megahit_metabat_bin-091,bin-091:140/591_2,DFE_0461,Not found
F-5_megahit_metabat_bin-090,bin-090:16/24_8,Cyc2_repCluster1,Not found
F-5_megahit_metabat_bin-090,bin-090:08/24_82,DFE_0461,Not found
F-5_megahit_metabat_bin-033,bin-033:2/6_8,Cyc2_repCluster3,Not found
F-5_megahit_metabat_bin-051,bin-051:069/100_48,ExtB_porin,PCC porin
F-5_megahit_metabat_bin-051,bin-051:044/100_82,ExtB_porin,PCC porin
F-5_megahit_metabat_bin-051,bin-051:031/100_101,CbcB,Not found
F-5_megahit_metabat_bin-051,bin-051:031/100_102,CbcA,Not found
F-5_megahit_metabat_bin-051,bin-051:039/100_4,ExtC_pcc_lp_cyt,Outer Surface MHC in PCC
F-5_megahit_metabat_bin-051,bin-051:039/100_5,ExtB_porin,PCC porin
F-5_megahit_metabat_bin-051,bin-051:023/100_16,CbcL,Not found
F-5_megahit_metabat_bin-051,bin-051:023/100_26,ImcH,Not found
F-5_megahit_metabat_bin-051,bin-051:039/100_3,640549328 YP_001230600 {omc} cytochrome C family protein [Geobacter uraniumreducens Rf4: NC_009483],Outer Surface MHC in PCC
F-5_megahit_metabat_bin-051,bin-051:044/100_83,640549328 YP_001230600 {omc} cytochrome C family protein [Geobacter uraniumreducens Rf4: NC_009483],Outer Surface MHC in PCC
F-5_megahit_metabat_bin-051,bin-051:023/100_14,DFE_0448,Not found
F-5_megahit_metabat_bin-051,bin-051:069/100_47,DFE_0462,Outer Surface MHC in PCC
F-5_megahit_metabat_bin-051,bin-051:044/100_86,Not found,Outer Surface MHC in PCC
F-5_megahit_metabat_bin-051,bin-051:031/100_169,Not found,Periplasmic MHC in PCC
F-5_megahit_metabat_bin-051,bin-051:031/100_178,Not found,Periplasmic MHC in PCC
F-5_megahit_metabat_bin-051,bin-051:031/100_170,Not found,Outer Surface MHC
F-5_megahit_metabat_bin-051,bin-051:044/100_2,Not found,Outer Surface MHC
F-5_megahit_metabat_bin-051,bin-051:044/100_3,Not found,Outer Surface MHC
F-5_megahit_metabat_bin-001,Not found,Not found,Not found
F-5_megahit_metabat_bin-071,bin-071:473/886_1,MtrB_TIGR03509,Not found
F-5_megahit_metabat_bin-071,bin-071:473/886_2,MtoA,Not found
F-5_megahit_metabat_bin-071,bin-071:759/886_2,CbcB,Not found
F-5_megahit_metabat_bin-071,bin-071:119/886_2,CbcL,Not found
F-5_megahit_metabat_bin-071,bin-071:731/886_2,Cyc1,Not found
F-5_megahit_metabat_bin-071,bin-071:731/886_3,Cyc2_repCluster2,Not found
F-5_megahit_metabat_bin-071,bin-071:825/886_4,MtrC_TIGR03507,Outer Surface MHC
