MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
A3_megahit_metabat_bin-200,20,1,16,1,2
A3_megahit_metabat_bin-140,0,0,0,0,0
A3_megahit_metabat_bin-574,0,0,0,0,0
A3_megahit_metabat_bin-137,0,0,0,0,0
A3_megahit_metabat_bin-418,18,1,14,2,1
A3_megahit_metabat_bin-217,0,0,0,0,0
A3_megahit_metabat_bin-142,0,0,0,0,0
A3_megahit_metabat_bin-515,0,0,0,0,0
A3_megahit_metabat_bin-007,0,0,0,0,0
A3_megahit_metabat_bin-202,1,0,1,0,0
A3_megahit_metabat_bin-134,4,0,3,0,1
A3_megahit_metabat_bin-346,1,0,1,0,0
A3_megahit_metabat_bin-631,7,1,3,3,0
A3_megahit_metabat_bin-210,0,0,0,0,0
A3_megahit_metabat_bin-484,0,0,0,0,0
A3_megahit_metabat_bin-273,0,0,0,0,0
A3_megahit_metabat_bin-267,0,0,0,0,0
A3_megahit_metabat_bin-259,7,1,4,2,0
A3_megahit_metabat_bin-565,0,0,0,0,0
A3_megahit_metabat_bin-387,0,0,0,0,0
A3_megahit_metabat_bin-211,0,0,0,0,0
A3_megahit_metabat_bin-618,0,0,0,0,0
A3_megahit_metabat_bin-194,0,0,0,0,0
A3_megahit_metabat_bin-505,0,0,0,0,0
A3_megahit_metabat_bin-239,13,3,1,7,2
A3_megahit_metabat_bin-131,0,0,0,0,0
A3_megahit_metabat_bin-002,0,0,0,0,0
A3_megahit_metabat_bin-178,0,0,0,0,0
A3_megahit_metabat_bin-492,0,0,0,0,0
A3_megahit_metabat_bin-567,0,0,0,0,0
A3_megahit_metabat_bin-632,0,0,0,0,0
A3_megahit_metabat_bin-291,0,0,0,0,0
A3_megahit_metabat_bin-389,2,0,1,0,1
A3_megahit_metabat_bin-117,0,0,0,0,0
A3_megahit_metabat_bin-081,0,0,0,0,0
A3_megahit_metabat_bin-473,0,0,0,0,0
A3_megahit_metabat_bin-404,0,0,0,0,0
A3_megahit_metabat_bin-411,0,0,0,0,0
A3_megahit_metabat_bin-243,5,1,1,3,0
A3_megahit_metabat_bin-534,6,1,2,2,1
A3_megahit_metabat_bin-585,0,0,0,0,0
A3_megahit_metabat_bin-032,5,0,3,0,2
A3_megahit_metabat_bin-304,0,0,0,0,0
A3_megahit_metabat_bin-406,0,0,0,0,0
A3_megahit_metabat_bin-465,0,0,0,0,0
A3_megahit_metabat_bin-091,0,0,0,0,0
A3_megahit_metabat_bin-231,0,0,0,0,0
A3_megahit_metabat_bin-042,0,0,0,0,0
A3_megahit_metabat_bin-068,0,0,0,0,0
A3_megahit_metabat_bin-283,0,0,0,0,0
A3_megahit_metabat_bin-525,0,0,0,0,0
A3_megahit_metabat_bin-087,0,0,0,0,0
A3_megahit_metabat_bin-104,0,0,0,0,0
A3_megahit_metabat_bin-251,0,0,0,0,0
A3_megahit_metabat_bin-159,0,0,0,0,0
