MAG,Total EET,EET Porin, Outer Surface MHC in PCC, Outer Surface MHC, Periplasmic MHC in PCC
C5_megahit_metabat_bin-1517,2,0,1,0,1
C5_megahit_metabat_bin-1132,0,0,0,0,0
C5_megahit_metabat_bin-0214,0,0,0,0,0
C5_megahit_metabat_bin-1473,0,0,0,0,0
C5_megahit_metabat_bin-1525,0,0,0,0,0
C5_megahit_metabat_bin-1219,0,0,0,0,0
C5_megahit_metabat_bin-0653,0,0,0,0,0
C5_megahit_metabat_bin-0588,0,0,0,0,0
C5_megahit_metabat_bin-0570,0,0,0,0,0
C5_megahit_metabat_bin-0180,0,0,0,0,0
C5_megahit_metabat_bin-0390,0,0,0,0,0
C5_megahit_metabat_bin-1550,0,0,0,0,0
