MAG,orf,FeGenie_HMM,Shaomei_Type
MJ-2014-D3_megahit_metabat_bin-101,Not found,Not found,Not found
MJ-2014-D3_megahit_metabat_bin-413,bin-413:087/220_2,EetA,Not found
MJ-2014-D3_megahit_metabat_bin-413,bin-413:087/220_3,EetB,Not found
MJ-2014-D3_megahit_metabat_bin-807,Not found,Not found,Not found
MJ-2014-D3_megahit_metabat_bin-675,bin-675:429/461_3,Cyc2_repCluster2,Not found
MJ-2014-D3_megahit_metabat_bin-163,bin-163:018/117_12,CbcL,Not found
MJ-2014-D3_megahit_metabat_bin-163,bin-163:018/117_16,ImcH,Not found
MJ-2014-D3_megahit_metabat_bin-163,bin-163:018/117_17,DFE_0448,Not found
MJ-2014-D3_megahit_metabat_bin-163,bin-163:018/117_24,DFE_0461,Not found
MJ-2014-D3_megahit_metabat_bin-163,bin-163:058/117_13,DFE_0461,Outer Surface MHC in PCC
MJ-2014-D3_megahit_metabat_bin-163,bin-163:114/117_2,EetB,Not found
MJ-2014-D3_megahit_metabat_bin-163,bin-163:114/117_3,EetA,Not found
MJ-2014-D3_megahit_metabat_bin-163,bin-163:058/117_14,Not found,PCC porin
MJ-2014-D3_megahit_metabat_bin-781,Not found,Not found,Not found
MJ-2014-D3_megahit_metabat_bin-542,bin-542:43/62_33,EetA,Not found
MJ-2014-D3_megahit_metabat_bin-542,bin-542:43/62_34,EetB,Not found
MJ-2014-D3_megahit_metabat_bin-744,bin-744:220/601_11,CbcB,Not found
MJ-2014-D3_megahit_metabat_bin-744,bin-744:132/601_2,CbcL,Not found
MJ-2014-D3_megahit_metabat_bin-744,bin-744:273/601_1,CbcL,Not found
MJ-2014-D3_megahit_metabat_bin-744,bin-744:084/601_11,MtrC_TIGR03507,Outer Surface MHC
MJ-2014-D3_megahit_metabat_bin-744,bin-744:149/601_4,DFE_0462,Not found
MJ-2014-D3_megahit_metabat_bin-744,bin-744:220/601_10,DFE_0461,Not found
MJ-2014-D3_megahit_metabat_bin-744,bin-744:230/601_10,MtoA,Periplasmic MHC in PCC
MJ-2014-D3_megahit_metabat_bin-744,bin-744:230/601_11,MtrC_TIGR03507,Outer Surface MHC
MJ-2014-D3_megahit_metabat_bin-744,bin-744:230/601_6,MtrC_TIGR03507,Outer Surface MHC
MJ-2014-D3_megahit_metabat_bin-744,bin-744:230/601_7,MtrC_TIGR03507,Outer Surface MHC
MJ-2014-D3_megahit_metabat_bin-744,bin-744:230/601_9,MtrB_TIGR03509,Not found
MJ-2014-D3_megahit_metabat_bin-744,bin-744:332/601_1,DFE_0462,Outer Surface MHC in PCC
MJ-2014-D3_megahit_metabat_bin-744,bin-744:332/601_8,DFE_0449,Outer Surface MHC in PCC
MJ-2014-D3_megahit_metabat_bin-744,bin-744:510/601_1,DFE_0461,Outer Surface MHC in PCC
MJ-2014-D3_megahit_metabat_bin-744,bin-744:510/601_4,DFE_0462,Outer Surface MHC in PCC
MJ-2014-D3_megahit_metabat_bin-744,bin-744:563/601_2,MtoA,Outer Surface MHC
MJ-2014-D3_megahit_metabat_bin-744,bin-744:332/601_2,Not found,PCC porin
MJ-2014-D3_megahit_metabat_bin-744,bin-744:510/601_3,Not found,PCC porin
MJ-2014-D3_megahit_metabat_bin-256,bin-256:198/221_1,Cyc2_repCluster3,Not found
MJ-2014-D3_megahit_metabat_bin-256,bin-256:083/221_3,Cyc2_repCluster3,Not found
MJ-2014-D3_megahit_metabat_bin-256,bin-256:174/221_1,Cyc2_repCluster3,Not found
MJ-2014-D3_megahit_metabat_bin-256,bin-256:161/221_5,Cyc2_repCluster3,Not found
MJ-2014-D3_megahit_metabat_bin-256,bin-256:046/221_7,DFE_0461,Not found
MJ-2014-D3_megahit_metabat_bin-256,bin-256:147/221_5,DFE_0461,Not found
MJ-2014-D3_megahit_metabat_bin-306,Not found,Not found,Not found
MJ-2014-D3_megahit_metabat_bin-508,bin-508:111/261_16,CymA,Not found
MJ-2014-D3_megahit_metabat_bin-508,bin-508:111/261_17,MtrB_TIGR03509,Not found
MJ-2014-D3_megahit_metabat_bin-508,bin-508:111/261_18,MtoA,Not found
MJ-2014-D3_megahit_metabat_bin-167,Not found,Not found,Not found
MJ-2014-D3_megahit_metabat_bin-037,Not found,Not found,Not found
MJ-2014-D3_megahit_metabat_bin-314,bin-314:170/471_2,DFE_0462,Not found
MJ-2014-D3_megahit_metabat_bin-499,bin-499:61/82_38,Cyc2_repCluster2,Not found
MJ-2014-D3_megahit_metabat_bin-769,Not found,Not found,Not found
MJ-2014-D3_megahit_metabat_bin-105,Not found,Not found,Not found
MJ-2014-D3_megahit_metabat_bin-173,bin-173:501/602_1,MtrB_TIGR03509,Not found
MJ-2014-D3_megahit_metabat_bin-173,bin-173:501/602_2,MtoA,Not found
MJ-2014-D3_megahit_metabat_bin-173,bin-173:066/602_3,EetB,Not found
MJ-2014-D3_megahit_metabat_bin-173,bin-173:066/602_4,EetA,Not found
MJ-2014-D3_megahit_metabat_bin-173,bin-173:587/602_4,EetA,Not found
MJ-2014-D3_megahit_metabat_bin-173,bin-173:587/602_5,EetB,Not found
MJ-2014-D3_megahit_metabat_bin-376,bin-376:066/303_1,Cyc2_repCluster2,Not found
MJ-2014-D3_megahit_metabat_bin-376,bin-376:069/303_8,MtoA,Not found
MJ-2014-D3_megahit_metabat_bin-376,bin-376:125/303_16,Cyc2_repCluster2,Not found
MJ-2014-D3_megahit_metabat_bin-086,Not found,Not found,Not found
MJ-2014-D3_megahit_metabat_bin-218,Not found,Not found,Not found
MJ-2014-D3_megahit_metabat_bin-170,bin-170:065/171_2,Cyc1,Not found
MJ-2014-D3_megahit_metabat_bin-170,bin-170:065/171_3,Cyc2_repCluster2,Not found
MJ-2014-D3_megahit_metabat_bin-170,bin-170:065/171_11,Cyc1,Not found
MJ-2014-D3_megahit_metabat_bin-170,bin-170:115/171_2,MtrB_TIGR03509,Not found
MJ-2014-D3_megahit_metabat_bin-170,bin-170:115/171_3,MtoA,Not found
MJ-2014-D3_megahit_metabat_bin-246,bin-246:106/790_1,Cyc2_repCluster2,Not found
MJ-2014-D3_megahit_metabat_bin-246,bin-246:483/790_2,ImcH,Not found
MJ-2014-D3_megahit_metabat_bin-246,bin-246:369/790_2,DFE_0449,Not found
MJ-2014-D3_megahit_metabat_bin-246,bin-246:652/790_2,DFE_0449,Not found
MJ-2014-D3_megahit_metabat_bin-246,bin-246:124/790_8,Not found,Outer Surface MHC
MJ-2014-D3_megahit_metabat_bin-084,Not found,Not found,Not found
MJ-2014-D3_megahit_metabat_bin-139,Not found,Not found,Not found
MJ-2014-D3_megahit_metabat_bin-231,bin-231:557/700_1,MtrB_TIGR03509,Not found
MJ-2014-D3_megahit_metabat_bin-231,bin-231:557/700_2,MtoA,Not found
MJ-2014-D3_megahit_metabat_bin-231,bin-231:621/700_1,MtrC_TIGR03507,Not found
MJ-2014-D3_megahit_metabat_bin-361,bin-361:004/273_2,EetA,Not found
MJ-2014-D3_megahit_metabat_bin-361,bin-361:004/273_3,EetB,Not found
MJ-2014-D3_megahit_metabat_bin-395,bin-395:138/246_2,Cyc1,Not found
MJ-2014-D3_megahit_metabat_bin-395,bin-395:138/246_3,Cyc2_repCluster2,Not found
MJ-2014-D3_megahit_metabat_bin-143,bin-143:249/757_2,Cyc2_repCluster2,Not found
MJ-2014-D3_megahit_metabat_bin-143,bin-143:714/757_4,CbcL,Not found
MJ-2014-D3_megahit_metabat_bin-143,bin-143:714/757_5,CbcL,Not found
MJ-2014-D3_megahit_metabat_bin-143,bin-143:714/757_6,ImcH,Not found
MJ-2014-D3_megahit_metabat_bin-143,bin-143:467/757_5,DFE_0461,Not found
MJ-2014-D3_megahit_metabat_bin-134,bin-134:138/234_36,Cyc2_repCluster2,Not found
MJ-2014-D3_megahit_metabat_bin-134,bin-134:133/234_51,Cyc1,Not found
MJ-2014-D3_megahit_metabat_bin-134,bin-134:133/234_52,MtrB_TIGR03509,Not found
MJ-2014-D3_megahit_metabat_bin-134,bin-134:133/234_53,MtrA,Periplasmic MHC in PCC
