MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC
I2_megahit_metabat_bin-134,bin-134:075/231_29,CbcB,Not_found,Not_found
I2_megahit_metabat_bin-134,bin-134:144/231_14,CbcL,Not_found,Not_found
I2_megahit_metabat_bin-134,bin-134:102/231_7,CbcL,Not_found,Not_found
I2_megahit_metabat_bin-134,bin-134:179/231_1,CbcL,Not_found,Not_found
I2_megahit_metabat_bin-134,bin-134:104/231_28,Cyc2_repCluster2,Not_found,Not_found
I2_megahit_metabat_bin-134,bin-134:031/231_12,DFE_0449,Periplasmic_MHC_in_PCC,Not_found
I2_megahit_metabat_bin-134,bin-134:031/231_13,DFE_0462,Outer_Surface_MHC,Not_found
I2_megahit_metabat_bin-134,bin-134:075/231_28,DFE_0461,Not_found,Not_found
I2_megahit_metabat_bin-134,bin-134:113/231_11,MtrC_TIGR03507,Outer_Surface_MHC,mtrC
I2_megahit_metabat_bin-134,bin-134:113/231_12,MtrC_TIGR03507,Outer_Surface_MHC,mtrC
I2_megahit_metabat_bin-134,bin-134:113/231_14,MtrB_TIGR03509,Not_found,Not_found
I2_megahit_metabat_bin-134,bin-134:113/231_15,MtoA,Periplasmic_MHC_in_PCC,Not_found
I2_megahit_metabat_bin-134,bin-134:113/231_16,MtrC_TIGR03507,Outer_Surface_MHC,mtrC
I2_megahit_metabat_bin-134,bin-134:128/231_1,DFE_0461,Outer_Surface_MHC_in_PCC,Not_found
I2_megahit_metabat_bin-134,bin-134:128/231_2,Not_found,PCC_porin,Not_found
I2_megahit_metabat_bin-134,bin-134:113/231_4,Not_found,Periplasmic_MHC_in_PCC,Not_found
I2_megahit_metabat_bin-169,bin-169:180/376_1,Cyc2_repCluster2,Not_found,Not_found
I2_megahit_metabat_bin-169,bin-169:104/376_24,Cyc2_repCluster2,Not_found,Not_found
I2_megahit_metabat_bin-169,bin-169:029/376_18,Not_found,Outer_Surface_MHC,Not_found
I2_megahit_metabat_bin-169,bin-169:149/376_2,Not_found,Outer_Surface_MHC,Not_found
I2_megahit_metabat_bin-071,Not_found,Not_found,Not_found,Not_found
I2_megahit_metabat_bin-038,Not_found,Not_found,Not_found,Not_found
I2_megahit_metabat_bin-123,Not_found,Not_found,Not_found,Not_found
I2_megahit_metabat_bin-215,bin-215:592/658_6,Cyc2_repCluster2,Not_found,Not_found
I2_megahit_metabat_bin-215,bin-215:163/658_3,MtoA,Outer_Surface_MHC,Not_found
I2_megahit_metabat_bin-215,bin-215:264/658_1,MtrB_TIGR03509,Not_found,Not_found
I2_megahit_metabat_bin-066,bin-066:175/493_1,CbcL,Not_found,Not_found
I2_megahit_metabat_bin-066,bin-066:051/493_1,DFE_0449,Not_found,Not_found
I2_megahit_metabat_bin-066,bin-066:296/493_5,DFE_0461,Outer_Surface_MHC,Not_found
I2_megahit_metabat_bin-066,bin-066:296/493_9,Not_found,Periplasmic_MHC_in_PCC,Not_found
I2_megahit_metabat_bin-059,bin-059:223/228_4,Cyc2_repCluster3,Not_found,Not_found
I2_megahit_metabat_bin-059,bin-059:177/228_11,Cyc2_repCluster3,Not_found,Not_found
I2_megahit_metabat_bin-059,bin-059:083/228_3,Cyc2_repCluster3,Not_found,Not_found
I2_megahit_metabat_bin-059,bin-059:227/228_4,Cyc2_repCluster3,Not_found,Not_found
I2_megahit_metabat_bin-059,bin-059:019/228_2,Cyc2_repCluster3,Not_found,Not_found
I2_megahit_metabat_bin-201,Not_found,Not_found,Not_found,Not_found
I2_megahit_metabat_bin-264,bin-264:295/351_23,Cyc2_repCluster2,Not_found,Not_found
I2_megahit_metabat_bin-264,bin-264:295/351_24,Cyc1,Not_found,Not_found
I2_megahit_metabat_bin-264,bin-264:141/351_13,Not_found,Outer_Surface_MHC,octR
I2_megahit_metabat_bin-264,bin-264:143/351_56,Not_found,Outer_Surface_MHC,Not_found
