MAG,orf,FeGenie_HMM,Shaomei_Type
Ja1-D5_megahit_metabat_bin-059,Not found,Not found,Not found
Ja1-D5_megahit_metabat_bin-011,bin-011:009/831_2,ExtB_porin,PCC porin
Ja1-D5_megahit_metabat_bin-011,bin-011:009/831_3,ExtC_pcc_lp_cyt,Outer Surface MHC in PCC
Ja1-D5_megahit_metabat_bin-011,bin-011:173/831_7,CbcL,Not found
Ja1-D5_megahit_metabat_bin-011,bin-011:425/831_2,CbcB,Not found
Ja1-D5_megahit_metabat_bin-011,bin-011:009/831_4,649931666 YP_004200177 {omc} hypothetical protein [Geobacter sp. M18 chromosome: NC_014973],Not found
Ja1-D5_megahit_metabat_bin-011,bin-011:106/831_3,DFE_0462,Not found
Ja1-D5_megahit_metabat_bin-344,Not found,Not found,Not found
Ja1-D5_megahit_metabat_bin-345,bin-345:466/683_5,ImcH,Not found
Ja1-D5_megahit_metabat_bin-345,bin-345:138/683_10,DFE_0461,Not found
Ja1-D5_megahit_metabat_bin-345,bin-345:378/683_2,DFE_0462,Not found
Ja1-D5_megahit_metabat_bin-345,bin-345:379/683_1,DFE_0462,Outer Surface MHC
Ja1-D5_megahit_metabat_bin-345,bin-345:052/683_2,Not found,Outer Surface MHC
Ja1-D5_megahit_metabat_bin-038,bin-038:103/215_90,CbcB,Not found
Ja1-D5_megahit_metabat_bin-038,bin-038:133/215_10,EetA,Not found
Ja1-D5_megahit_metabat_bin-038,bin-038:133/215_9,EetB,Not found
Ja1-D5_megahit_metabat_bin-705,bin-705:264/548_6,EetB,Not found
Ja1-D5_megahit_metabat_bin-705,bin-705:274/548_3,MtoA,Not found
Ja1-D5_megahit_metabat_bin-456,bin-456:149/231_7,Cyc2_repCluster3,Not found
Ja1-D5_megahit_metabat_bin-456,bin-456:100/231_1,DFE_0461,Not found
Ja1-D5_megahit_metabat_bin-387,bin-387:485/960_8,CbcL,Periplasmic MHC in PCC
Ja1-D5_megahit_metabat_bin-387,bin-387:069/960_2,CbcL,Not found
Ja1-D5_megahit_metabat_bin-387,bin-387:128/960_5,DFE_0461,Not found
Ja1-D5_megahit_metabat_bin-387,bin-387:164/960_1,DFE_0449,Outer Surface MHC
Ja1-D5_megahit_metabat_bin-387,bin-387:296/960_1,DFE_0449,Not found
Ja1-D5_megahit_metabat_bin-387,bin-387:485/960_3,Not found,Outer Surface MHC
Ja1-D5_megahit_metabat_bin-387,bin-387:485/960_6,Not found,Outer Surface MHC
Ja1-D5_megahit_metabat_bin-266,bin-266:082/115_76,Cyc2_repCluster3,Not found
Ja1-D5_megahit_metabat_bin-266,bin-266:105/115_37,Cyc2_repCluster1,Not found
Ja1-D5_megahit_metabat_bin-266,bin-266:028/115_1,DFE_0461,Not found
Ja1-D5_megahit_metabat_bin-150,Not found,Not found,Not found
Ja1-D5_megahit_metabat_bin-717,bin-717:338/668_2,Cyc2_repCluster3,Not found
Ja1-D5_megahit_metabat_bin-340,bin-340:24/39_41,MtrB_TIGR03509,Not found
Ja1-D5_megahit_metabat_bin-340,bin-340:24/39_42,MtoA,Not found
Ja1-D5_megahit_metabat_bin-340,bin-340:18/39_120,Cyc2_repCluster2,Not found
Ja1-D5_megahit_metabat_bin-340,bin-340:31/39_104,DFE_0462,Not found
