MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC,Within80
AM-lipid-01-D3_megahit_metabat_bin-1127,bin-1127:169/423_2,DFE_0462,Not_found,Not_found,Irrelevant
AM-lipid-01-D3_megahit_metabat_bin-1127,bin-1127:393/423_2,DFE_0461,Not_found,Not_found,Irrelevant
AM-lipid-01-D3_megahit_metabat_bin-0349,bin-0349:0851/1199_1,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
AM-lipid-01-D3_megahit_metabat_bin-0349,bin-0349:0535/1199_2,MtoA,Not_found,Not_found,Irrelevant
AM-lipid-01-D3_megahit_metabat_bin-1213,Not_found,Not_found,Not_found,Not_found,Irrelevant
AM-lipid-01-D3_megahit_metabat_bin-1206,Not_found,Not_found,Not_found,Not_found,Irrelevant
AM-lipid-01-D3_megahit_metabat_bin-0449,Not_found,Not_found,Not_found,Not_found,Irrelevant
AM-lipid-01-D3_megahit_metabat_bin-0737,Not_found,Not_found,Not_found,Not_found,Irrelevant
AM-lipid-01-D3_megahit_metabat_bin-0883,Not_found,Not_found,Not_found,Not_found,Irrelevant
AM-lipid-01-D3_megahit_metabat_bin-0479,Not_found,Not_found,Not_found,Not_found,Irrelevant
AM-lipid-01-D3_megahit_metabat_bin-1021,Not_found,Not_found,Not_found,Not_found,Irrelevant
