MAG,orf,FeGenie_HMM,Shaomei_Type
2582580674,TH3415DRAFT_TBhypo_metabat_3415_10000271.39_44,Cyc2_repCluster1,Not_found
2582580674,TH3415DRAFT_TBhypo_metabat_3415_10005289.32_6,MtoA,Not_found
2582580674,TH3415DRAFT_TBhypo_metabat_3415_10005289.32_7,MtrB_TIGR03509,Not_found
2582580674,TH3415DRAFT_TBhypo_metabat_3415_10005289.32_8,CymA,Not_found
2582580674,TH3415DRAFT_TBhypo_metabat_3415_10000126.8_38,EetA,Not_found
2582580674,TH3415DRAFT_TBhypo_metabat_3415_10000126.8_39,EetB,Not_found
2593339191,TH1380DRAFT_TH01379_TBL_comb47_HYPODRAFT_10003490.45_14,Cyc2_repCluster2,Not_found
2593339191,TH1380DRAFT_TH01379_TBL_comb47_HYPODRAFT_10008118.86_7,Cyc2_repCluster2,Not_found
2593339184,TH03520DRAFT_TH03520_TBL_comb47_HYPODRAFT_10001232.24_29,Cyc2_repCluster1,Not_found
2593339184,TH03520DRAFT_TH03520_TBL_comb47_HYPODRAFT_10000450.8_14,Cyc2_repCluster3,Not_found
2593339184,TH03520DRAFT_TH03520_TBL_comb47_HYPODRAFT_10000518.11_24,Cyc2_repCluster3,Not_found
2582580699,Not_found,Not_found,Not_found
2582580675,Not_found,Not_found,Not_found
2593339185,Not_found,Not_found,Not_found
2582580698,Not_found,Not_found,Not_found
2582580663,Not_found,Not_found,Not_found
2593339186,Not_found,Not_found,Not_found
2582580662,TH254DRAFT_TBhypo_metabat_254_10013542.29_1,ExtC_pcc_lp_cyt,Outer_Surface_MHC_in_PCC
2582580662,TH254DRAFT_TBhypo_metabat_254_10013542.29_2,ExtB_porin,PCC_porin
2582580662,TH254DRAFT_TBhypo_metabat_254_10009021.23_8,CbcL,Not_found
2582580662,TH254DRAFT_TBhypo_metabat_254_10009021.23_9,CbcL,Not_found
2582580662,TH254DRAFT_TBhypo_metabat_254_10001120.71_18,DFE_0448,Not_found
2582580662,TH254DRAFT_TBhypo_metabat_254_10003497.185_1,MtrC_TIGR03507,Outer_Surface_MHC
2582580662,TH254DRAFT_TBhypo_metabat_254_10009004.53_7,MtrC_TIGR03507,Outer_Surface_MHC
2593339192,Not_found,Not_found,Not_found
2582580677,TH3552DRAFT_TBhypo_metabat_3552_10001193.2_33,MtrB_TIGR03509,Not_found
2582580677,TH3552DRAFT_TBhypo_metabat_3552_10001193.2_34,MtoA,Not_found
2582580677,TH3552DRAFT_TBhypo_metabat_3552_10000949.11_2,Cyc2_repCluster2,Not_found
2582580671,Not_found,Not_found,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10001352.334_19,ExtB_porin,PCC_porin
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10001352.334_20,ExtC_pcc_lp_cyt,Outer_Surface_MHC_in_PCC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10008651.20_4,OmcF,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10000864.181_24,Cyc2_repCluster3,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10009621.99_3,DFE_0461,Periplasmic_MHC_in_PCC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10009621.99_4,DFE_0463,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10009621.99_5,DFE_0462,Periplasmic_MHC_in_PCC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10009621.99_7,DFE_0463,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10009621.99_8,DFE_0462,Outer_Surface_MHC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10009873.456_2,ExtC_pcc_lp_cyt,Outer_Surface_MHC_in_PCC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10009873.456_3,ExtB_porin,PCC_porin
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10007532.117_3,CbcA,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10007532.117_4,CbcB,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10002427.326_8,ImcH,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10004994.474_14,ImcH,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10006000.51_1,CbcL,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10038080.356_2,CbcL,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10000698.205_26,OmcF,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10014868.465_2,637778190_YP_383878_{porin}_hypothetical_protein_[Geobacter_metallireducens_GS-15:_NC_007517],PCC_porin
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10014868.465_3,642769371_YP_002140171_{pc}_hypothetical_protein_[Geobacter_bemidjiensis_Bem:_NC_011146],Outer_Surface_MHC_in_PCC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10014868.465_4,643638976_YP_002537141_{omc}_hypothetical_protein_[Geobacter_sp._FRC-32:_NC_011979],Outer_Surface_MHC_in_PCC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10001352.334_21,640549328_YP_001230600_{omc}_cytochrome_C_family_protein_[Geobacter_uraniumreducens_Rf4:_NC_009483],Outer_Surface_MHC_in_PCC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10009873.456_1,637127415_NP_953769_{omc}_cytochrome_c_family_protein_[Geobacter_sulfurreducens_PCA:_NC_002939],Outer_Surface_MHC_in_PCC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10001352.334_24,DFE_0462,Outer_Surface_MHC_in_PCC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10003235.418_5,DFE_0465,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10007413.275_3,DFE_0449,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10009001.104_5,DFE_0448,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10011556.23_1,DFE_0448,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10013618.48_2,MtrA,Not_found
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10000864.181_25,Not_found,Outer_Surface_MHC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10016566.216_5,Not_found,Outer_Surface_MHC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10002232.344_5,Not_found,Outer_Surface_MHC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10002232.344_6,Not_found,Outer_Surface_MHC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10002232.344_7,Not_found,Outer_Surface_MHC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10007126.364_1,Not_found,Outer_Surface_MHC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10012688.409_5,Not_found,Outer_Surface_MHC
2582580689,TH4645DRAFT_TBhypo_metabat_4645_10018484.482_1,Not_found,Outer_Surface_MHC
2582580664,TH2746DRAFT_TBhypo_metabat_2746_10020536.270_1,CbcL,Not_found
2582580664,TH2746DRAFT_TBhypo_metabat_2746_10003656.636_11,DFE_0461,Not_found
2582580664,TH2746DRAFT_TBhypo_metabat_2746_10010270.320_2,Not_found,Outer_Surface_MHC
2593339179,TH02086DRAFT_TH02086_TBL_comb47_HYPODRAFT_10000180.3_23,ImcH,Periplasmic_MHC_in_PCC
2593339179,TH02086DRAFT_TH02086_TBL_comb47_HYPODRAFT_10005672.98_7,Cyc2_repCluster2,Not_found
2593339179,TH02086DRAFT_TH02086_TBL_comb47_HYPODRAFT_10000180.3_30,Not_found,Outer_Surface_MHC
2593339181,TH02519DRAFT_TH02519_TBL_comb47_HYPODRAFT_10009354.75_5,ImcH,Not_found
