
bin_73,NODE_468_length_46210_cov_22.945185_2,NODE_468_length_46210_cov_22.945185_8
bin_1,NODE_144_length_85954_cov_18.296104_69,NODE_144_length_85954_cov_18.296104_68
bin_34,NODE_20_length_12856_cov_3.525784_7,NODE_20_length_12856_cov_3.525784_8
bin_34,NODE_20_length_12856_cov_3.525784_7,NODE_20_length_12856_cov_3.525784_10
bin_34,NODE_150_length_6957_cov_2.801308_4,NODE_150_length_6957_cov_2.801308_5
bin_47,NODE_26_length_6619_cov_2.745032_6,NODE_26_length_6619_cov_2.745032_4
bin_4,NODE_1_length_88512_cov_30.102595_4,NODE_1_length_88512_cov_30.102595_5
bin_3,NODE_4538_length_13171_cov_8.916895_6,NODE_4538_length_13171_cov_8.916895_3
bin_3,NODE_4538_length_13171_cov_8.916895_6,NODE_4538_length_13171_cov_8.916895_4
bin_3,NODE_4538_length_13171_cov_8.916895_6,NODE_4538_length_13171_cov_8.916895_5
bin_67,NODE_8207_length_9221_cov_6.119136_3,NODE_8207_length_9221_cov_6.119136_5
bin_67,NODE_8207_length_9221_cov_6.119136_6,NODE_8207_length_9221_cov_6.119136_5
bin_56,NODE_435_length_47679_cov_11.304006_28,NODE_435_length_47679_cov_11.304006_29
bin_39,NODE_82_length_111810_cov_27.533775_61,NODE_82_length_111810_cov_27.533775_53
bin_39,NODE_82_length_111810_cov_27.533775_61,NODE_82_length_111810_cov_27.533775_56
bin_39,NODE_82_length_111810_cov_27.533775_63,NODE_82_length_111810_cov_27.533775_56
bin_39,NODE_255_length_63973_cov_25.112394_42,NODE_255_length_63973_cov_25.112394_41
bin_57,NODE_33_length_34387_cov_9.459225_18,NODE_33_length_34387_cov_9.459225_20
bin_57,NODE_36_length_33126_cov_8.547944_4,NODE_36_length_33126_cov_8.547944_1
bin_57,NODE_36_length_33126_cov_8.547944_8,NODE_36_length_33126_cov_8.547944_1
bin_28,NODE_2294_length_19507_cov_8.165073_12,NODE_2294_length_19507_cov_8.165073_7
bin_28,NODE_5586_length_11658_cov_6.968543_1,NODE_5586_length_11658_cov_6.968543_1
bin_28,NODE_5586_length_11658_cov_6.968543_2,NODE_5586_length_11658_cov_6.968543_1
bin_28,NODE_5586_length_11658_cov_6.968543_4,NODE_5586_length_11658_cov_6.968543_1
bin_28,NODE_5586_length_11658_cov_6.968543_4,NODE_5586_length_11658_cov_6.968543_11
bin_28,NODE_5586_length_11658_cov_6.968543_6,NODE_5586_length_11658_cov_6.968543_1
bin_28,NODE_5586_length_11658_cov_6.968543_6,NODE_5586_length_11658_cov_6.968543_11
bin_28,NODE_5586_length_11658_cov_6.968543_8,NODE_5586_length_11658_cov_6.968543_1
bin_28,NODE_5586_length_11658_cov_6.968543_8,NODE_5586_length_11658_cov_6.968543_11
bin_28,NODE_5586_length_11658_cov_6.968543_10,NODE_5586_length_11658_cov_6.968543_11
bin_37,NODE_10471_length_7929_cov_5.238379_3,NODE_10471_length_7929_cov_5.238379_2
bin_10,NODE_27_length_16499_cov_3.883205_4,NODE_27_length_16499_cov_3.883205_3
bin_10,NODE_265_length_6448_cov_4.047559_8,NODE_265_length_6448_cov_4.047559_7
