MAG,orf,FeGenie_HMM,Shaomei_Type,METABOLIC,Within80
Umea2p1_megahit_metabat_bin-1064,bin-1064:63/97_29,DFE_0449,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-0404,Not_found,Not_found,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-0805,Not_found,Not_found,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-0175,bin-0175:188/294_4,MtoA,Not_found,Not_found,MtoA&,
Umea2p1_megahit_metabat_bin-0175,bin-0175:188/294_5,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-0175,bin-0175:188/294_6,CymA,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-0175,bin-0175:285/294_12,DFE_0449,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-1006,bin-1006:055/123_16,CbcL,Not_found,Not_found,CbcL&,
Umea2p1_megahit_metabat_bin-1006,bin-1006:055/123_20,CbcL,Not_found,Not_found,CbcL&,
Umea2p1_megahit_metabat_bin-1006,bin-1006:055/123_21,ImcH,Not_found,Not_found,ImcH&,
Umea2p1_megahit_metabat_bin-1006,bin-1006:055/123_8,DFE_0461,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-1395,Not_found,Not_found,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-1228,bin-1228:048/153_36,EetA,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-1228,bin-1228:048/153_37,EetB,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-0937,Not_found,Not_found,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-1123,Not_found,Not_found,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-0969,bin-0969:027/241_43,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-0969,bin-0969:100/241_3,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-0969,bin-0969:204/241_1,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-0969,bin-0969:204/241_2,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-0969,bin-0969:147/241_4,MtoA,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-1447,bin-1447:035/174_1,MtoA,Not_found,Not_found,MtoA&Outer_Surface_MHC&,
Umea2p1_megahit_metabat_bin-1447,bin-1447:035/174_2,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-1447,bin-1447:035/174_3,CymA,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-0730,bin-0730:034/217_10,CbcL,Outer_Surface_MHC,mtrC,CbcL&DFE_0461&DFE_0462&mtrC&Outer_Surface_MHC&Outer_Surface_MHC_in_PCC&,
Umea2p1_megahit_metabat_bin-0730,bin-0730:206/217_23,MtrC_TIGR03507,Outer_Surface_MHC,mtrC,mtrC&MtrC_TIGR03507&Outer_Surface_MHC&,
Umea2p1_megahit_metabat_bin-0730,bin-0730:206/217_24,MtrC_TIGR03507,Outer_Surface_MHC,mtrC,mtrC&MtrC_TIGR03507&Outer_Surface_MHC&,
Umea2p1_megahit_metabat_bin-0730,bin-0730:206/217_25,MtrA,Periplasmic_MHC_in_PCC,Not_found,MtoA&MtrA&Outer_Surface_MHC&Periplasmic_MHC_in_PCC&,
Umea2p1_megahit_metabat_bin-0730,bin-0730:206/217_26,MtrB_TIGR03509,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-0730,bin-0730:132/217_6,Cyc1,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-0730,bin-0730:132/217_7,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-0730,bin-0730:213/217_6,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
Umea2p1_megahit_metabat_bin-0730,bin-0730:090/217_1,Cyc2_repCluster2,Not_found,Not_found,Irrelevant
